metric,pair,dataset_1,dataset_2,n,ccc,ccc_lower,ccc_upper,pearson_r,cb
breeder_peak_doy,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,59,0.522,0.253,0.765,0.522,1
breeder_peak_doy,Württemberg vs Bavaria,Württemberg,Bavaria,62,0.507,0.302,0.69,0.538,0.944
breeder_peak_doy,Württemberg vs Swiss,Württemberg,Swiss,18,0.684,0.253,0.913,0.7,0.978
breeder_peak_doy,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,86,0.606,0.437,0.742,0.634,0.955
breeder_peak_doy,Württemberg 2 vs Swiss,Württemberg 2,Swiss,21,-0.074,-0.412,0.361,-0.08,0.918
breeder_peak_doy,Bavaria vs Swiss,Bavaria,Swiss,44,0.488,0.195,0.69,0.539,0.905
migrant_peak_doy,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,59,0.358,0.09,0.599,0.36,0.993
migrant_peak_doy,Württemberg vs Bavaria,Württemberg,Bavaria,62,0.319,0.051,0.547,0.319,0.999
migrant_peak_doy,Württemberg vs Swiss,Württemberg,Swiss,18,0.263,-0.104,0.75,0.33,0.797
migrant_peak_doy,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,86,0.127,-0.093,0.329,0.127,0.997
migrant_peak_doy,Württemberg 2 vs Swiss,Württemberg 2,Swiss,21,0.287,-0.052,0.701,0.394,0.728
migrant_peak_doy,Bavaria vs Swiss,Bavaria,Swiss,41,0.403,0.162,0.654,0.487,0.827
migrant_50_doy,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,23,0.46,0.051,0.788,0.461,0.997
migrant_50_doy,Württemberg vs Bavaria,Württemberg,Bavaria,28,0.039,-0.357,0.447,0.04,0.99
migrant_50_doy,Württemberg vs Swiss,Württemberg,Swiss,10,0.265,-0.333,0.866,0.287,0.923
migrant_50_doy,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,29,0.213,-0.171,0.533,0.215,0.991
migrant_50_doy,Württemberg 2 vs Swiss,Württemberg 2,Swiss,15,0.217,-0.227,0.799,0.244,0.889
migrant_50_doy,Bavaria vs Swiss,Bavaria,Swiss,23,0.114,-0.258,0.5,0.12,0.952
