metric,zug,pair,dataset_1,dataset_2,n,ccc,ccc_lower,ccc_upper,pearson_r,cb
ref_minus_breed,Kst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,44,0.453,0.174,0.71,0.455,0.996
ref_minus_breed,Kst,Württemberg vs Bavaria,Württemberg,Bavaria,45,0.544,0.247,0.745,0.578,0.941
ref_minus_breed,Kst,Württemberg vs Swiss,Württemberg,Swiss,8,0.832,0.548,0.978,0.877,0.949
ref_minus_breed,Kst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,63,0.581,0.374,0.741,0.602,0.966
ref_minus_breed,Kst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,9,-0.063,-0.594,0.358,-0.087,0.732
ref_minus_breed,Kst,Bavaria vs Swiss,Bavaria,Swiss,16,0.556,0.09,0.821,0.663,0.838
ref_minus_breed,Lst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,15,0.979,0.945,0.989,0.981,0.998
ref_minus_breed,Lst,Württemberg vs Bavaria,Württemberg,Bavaria,17,0.665,0.249,0.902,0.694,0.959
ref_minus_breed,Lst,Württemberg vs Swiss,Württemberg,Swiss,10,0.595,-0.306,0.902,0.621,0.958
ref_minus_breed,Lst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,22,0.659,0.236,0.917,0.697,0.945
ref_minus_breed,Lst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,12,-0.074,-0.665,0.704,-0.075,0.991
ref_minus_breed,Lst,Bavaria vs Swiss,Bavaria,Swiss,16,0.521,0.173,0.765,0.633,0.822
ref_minus_mig,Kst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,44,0.281,-0.012,0.541,0.286,0.98
ref_minus_mig,Kst,Württemberg vs Bavaria,Württemberg,Bavaria,45,0.343,-0.038,0.62,0.343,0.999
ref_minus_mig,Kst,Württemberg vs Swiss,Württemberg,Swiss,8,0.268,-0.106,0.585,0.484,0.555
ref_minus_mig,Kst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,63,-0.023,-0.264,0.215,-0.023,0.99
ref_minus_mig,Kst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,9,-0.018,-0.161,0.393,-0.042,0.418
ref_minus_mig,Kst,Bavaria vs Swiss,Bavaria,Swiss,16,0.199,-0.143,0.656,0.276,0.722
ref_minus_mig,Lst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,15,0.923,0.801,0.964,0.928,0.995
ref_minus_mig,Lst,Württemberg vs Bavaria,Württemberg,Bavaria,17,0.727,0.498,0.858,0.771,0.943
ref_minus_mig,Lst,Württemberg vs Swiss,Württemberg,Swiss,10,0.701,0.212,0.927,0.781,0.898
ref_minus_mig,Lst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,22,0.637,0.367,0.809,0.706,0.903
ref_minus_mig,Lst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,12,0.518,0.092,0.852,0.713,0.726
ref_minus_mig,Lst,Bavaria vs Swiss,Bavaria,Swiss,17,0.347,0.04,0.751,0.458,0.757
