metric,zug,pair,dataset_1,dataset_2,n,ccc,ccc_lower,ccc_upper,pearson_r,cb
ref_minus_breed,Kst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,7,0.058,-0.199,0.523,0.121,0.476
ref_minus_breed,Kst,Württemberg vs Bavaria,Württemberg,Bavaria,7,0.764,0.382,0.896,0.879,0.87
ref_minus_breed,Kst,Württemberg vs Swiss,Württemberg,Swiss,7,0.825,0.486,0.977,0.872,0.946
ref_minus_breed,Kst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,7,0.235,-0.282,0.877,0.336,0.7
ref_minus_breed,Kst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,7,0.129,-0.285,0.587,0.293,0.442
ref_minus_breed,Kst,Bavaria vs Swiss,Bavaria,Swiss,7,0.617,0.09,0.923,0.797,0.774
ref_minus_breed,Lst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,9,0.911,0.616,0.984,0.92,0.99
ref_minus_breed,Lst,Württemberg vs Bavaria,Württemberg,Bavaria,9,0.209,-0.407,0.86,0.218,0.958
ref_minus_breed,Lst,Württemberg vs Swiss,Württemberg,Swiss,9,0.209,-0.421,0.806,0.22,0.953
ref_minus_breed,Lst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,9,-0.02,-0.587,0.87,-0.022,0.926
ref_minus_breed,Lst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,9,-0.036,-0.698,0.809,-0.037,0.982
ref_minus_breed,Lst,Bavaria vs Swiss,Bavaria,Swiss,9,0.854,0.153,0.968,0.951,0.898
ref_minus_mig,Kst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,7,-0.116,-0.599,0.229,-0.226,0.513
ref_minus_mig,Kst,Württemberg vs Bavaria,Württemberg,Bavaria,7,0.81,0.074,0.979,0.82,0.988
ref_minus_mig,Kst,Württemberg vs Swiss,Württemberg,Swiss,7,0.273,-0.082,0.55,0.505,0.54
ref_minus_mig,Kst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,7,-0.131,-0.433,0.211,-0.293,0.448
ref_minus_mig,Kst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,7,-0.094,-0.232,0.052,-0.469,0.2
ref_minus_mig,Kst,Bavaria vs Swiss,Bavaria,Swiss,7,0.296,-0.057,0.927,0.516,0.574
ref_minus_mig,Lst,Württemberg vs Württemberg 2,Württemberg,Württemberg 2,9,0.747,0.224,0.923,0.782,0.956
ref_minus_mig,Lst,Württemberg vs Bavaria,Württemberg,Bavaria,9,0.628,0.174,0.881,0.685,0.916
ref_minus_mig,Lst,Württemberg vs Swiss,Württemberg,Swiss,9,0.566,0.121,0.869,0.731,0.774
ref_minus_mig,Lst,Württemberg 2 vs Bavaria,Württemberg 2,Bavaria,9,0.521,-0.011,0.872,0.578,0.901
ref_minus_mig,Lst,Württemberg 2 vs Swiss,Württemberg 2,Swiss,9,0.735,0.119,0.934,0.855,0.86
ref_minus_mig,Lst,Bavaria vs Swiss,Bavaria,Swiss,9,0.469,-0.061,0.97,0.523,0.896
