DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY113,12530,Acrocephalus arundinaceus,0,0
2020-04-09,2020,BY113,12530,Acrocephalus arundinaceus,0,0
2020-05-02,2020,BY113,12530,Acrocephalus arundinaceus,0,0
2020-06-18,2020,BY113,12530,Acrocephalus arundinaceus,1,1
2021-03-13,2021,BY113,12530,Acrocephalus arundinaceus,0,0
2021-03-29,2021,BY118,12530,Acrocephalus arundinaceus,0,0
2021-04-04,2021,BY113,12530,Acrocephalus arundinaceus,0,0
2021-04-16,2021,BY118,12530,Acrocephalus arundinaceus,0,0
2021-05-04,2021,BY113,12530,Acrocephalus arundinaceus,1,1
2021-05-19,2021,BY118,12530,Acrocephalus arundinaceus,0,0
2021-06-10,2021,BY113,12530,Acrocephalus arundinaceus,0,0
2021-06-11,2021,BY118,12530,Acrocephalus arundinaceus,1,1
2022-03-12,2022,BY203,12530,Acrocephalus arundinaceus,0,0
2022-03-24,2022,BY24,12530,Acrocephalus arundinaceus,0,0
2022-04-11,2022,BY203,12530,Acrocephalus arundinaceus,0,0
2022-04-23,2022,BY24,12530,Acrocephalus arundinaceus,0,0
2022-05-12,2022,BY203,12530,Acrocephalus arundinaceus,2,1
2022-05-15,2022,BY24,12530,Acrocephalus arundinaceus,1,1
2022-06-04,2022,BY24,12530,Acrocephalus arundinaceus,1,1
2022-06-19,2022,BY203,12530,Acrocephalus arundinaceus,0,0
2023-03-20,2023,BY118,12530,Acrocephalus arundinaceus,0,0
2023-05-04,2023,BY118,12530,Acrocephalus arundinaceus,0,0
2023-06-10,2023,BY118,12530,Acrocephalus arundinaceus,1,1
2023-06-20,2023,BY118,12530,Acrocephalus arundinaceus,0,0
2024-03-13,2024,BY5,12530,Acrocephalus arundinaceus,0,0
2024-04-04,2024,BY5,12530,Acrocephalus arundinaceus,0,0
2024-05-11,2024,BY5,12530,Acrocephalus arundinaceus,1,1
2024-06-06,2024,BY5,12530,Acrocephalus arundinaceus,0,0
