DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,5560,Actitis hypoleucos,0,0
2020-03-18,2020,BY173,5560,Actitis hypoleucos,0,0
2020-03-28,2020,BY332,5560,Actitis hypoleucos,0,0
2020-04-07,2020,BY388,5560,Actitis hypoleucos,0,0
2020-04-15,2020,BY173,5560,Actitis hypoleucos,0,0
2020-04-16,2020,BY203,5560,Actitis hypoleucos,0,0
2020-05-03,2020,BY332,5560,Actitis hypoleucos,0,0
2020-05-08,2020,BY203,5560,Actitis hypoleucos,0,0
2020-05-10,2020,BY388,5560,Actitis hypoleucos,0,0
2020-05-12,2020,BY173,5560,Actitis hypoleucos,0,0
2020-05-22,2020,BY388,5560,Actitis hypoleucos,0,0
2020-05-24,2020,BY332,5560,Actitis hypoleucos,1,1
2020-06-12,2020,BY388,5560,Actitis hypoleucos,0,0
2020-06-13,2020,BY332,5560,Actitis hypoleucos,2,1
2020-06-16,2020,BY173,5560,Actitis hypoleucos,0,0
2020-06-18,2020,BY203,5560,Actitis hypoleucos,0,0
2021-03-13,2021,BY332,5560,Actitis hypoleucos,0,0
2021-03-21,2021,BY203,5560,Actitis hypoleucos,0,0
2021-03-24,2021,BY358,5560,Actitis hypoleucos,0,0
2021-03-30,2021,BY173,5560,Actitis hypoleucos,0,0
2021-04-11,2021,BY203,5560,Actitis hypoleucos,2,0
2021-04-11,2021,BY358,5560,Actitis hypoleucos,0,0
2021-04-17,2021,BY332,5560,Actitis hypoleucos,0,0
2021-04-23,2021,BY173,5560,Actitis hypoleucos,0,0
2021-04-25,2021,BY388,5560,Actitis hypoleucos,0,0
2021-05-08,2021,BY203,5560,Actitis hypoleucos,1,0
2021-05-09,2021,BY173,5560,Actitis hypoleucos,0,0
2021-05-09,2021,BY332,5560,Actitis hypoleucos,1,1
2021-05-09,2021,BY358,5560,Actitis hypoleucos,1,0
2021-05-11,2021,BY388,5560,Actitis hypoleucos,0,0
2021-06-01,2021,BY203,5560,Actitis hypoleucos,0,0
2021-06-01,2021,BY388,5560,Actitis hypoleucos,0,0
2021-06-04,2021,BY173,5560,Actitis hypoleucos,0,0
2021-06-13,2021,BY332,5560,Actitis hypoleucos,1,1
2021-06-13,2021,BY358,5560,Actitis hypoleucos,0,0
2021-06-15,2021,BY388,5560,Actitis hypoleucos,0,0
2022-03-12,2022,BY203,5560,Actitis hypoleucos,0,0
2022-03-20,2022,BY332,5560,Actitis hypoleucos,0,0
2022-03-24,2022,BY358,5560,Actitis hypoleucos,0,0
2022-03-25,2022,BY173,5560,Actitis hypoleucos,0,0
2022-04-11,2022,BY203,5560,Actitis hypoleucos,0,0
2022-04-15,2022,BY173,5560,Actitis hypoleucos,0,0
2022-04-18,2022,BY332,5560,Actitis hypoleucos,1,1
2022-04-28,2022,BY358,5560,Actitis hypoleucos,0,0
2022-05-09,2022,BY358,5560,Actitis hypoleucos,0,0
2022-05-12,2022,BY173,5560,Actitis hypoleucos,2,0
2022-05-12,2022,BY203,5560,Actitis hypoleucos,0,0
2022-05-15,2022,BY332,5560,Actitis hypoleucos,2,1
2022-06-05,2022,BY332,5560,Actitis hypoleucos,1,1
2022-06-05,2022,BY358,5560,Actitis hypoleucos,0,0
2022-06-13,2022,BY173,5560,Actitis hypoleucos,0,0
2022-06-19,2022,BY203,5560,Actitis hypoleucos,0,0
2023-03-15,2023,BY173,5560,Actitis hypoleucos,0,0
2023-03-17,2023,BY358,5560,Actitis hypoleucos,0,0
2023-03-18,2023,BY203,5560,Actitis hypoleucos,1,0
2023-03-30,2023,BY332,5560,Actitis hypoleucos,0,0
2023-04-10,2023,BY203,5560,Actitis hypoleucos,0,0
2023-04-19,2023,BY173,5560,Actitis hypoleucos,0,0
2023-04-22,2023,BY332,5560,Actitis hypoleucos,1,0
2023-04-27,2023,BY358,5560,Actitis hypoleucos,0,0
2023-05-09,2023,BY358,5560,Actitis hypoleucos,0,0
2023-05-14,2023,BY332,5560,Actitis hypoleucos,0,0
2023-05-17,2023,BY173,5560,Actitis hypoleucos,0,0
2023-06-01,2023,BY203,5560,Actitis hypoleucos,0,0
2023-06-01,2023,BY358,5560,Actitis hypoleucos,0,0
2023-06-07,2023,BY173,5560,Actitis hypoleucos,0,0
2023-06-18,2023,BY332,5560,Actitis hypoleucos,2,0
2024-03-10,2024,BY332,5560,Actitis hypoleucos,0,0
2024-03-14,2024,BY358,5560,Actitis hypoleucos,0,0
2024-03-20,2024,BY173,5560,Actitis hypoleucos,0,0
2024-04-07,2024,BY332,5560,Actitis hypoleucos,0,0
2024-04-09,2024,BY173,5560,Actitis hypoleucos,0,0
2024-04-13,2024,BY358,5560,Actitis hypoleucos,0,0
2024-05-08,2024,BY173,5560,Actitis hypoleucos,0,0
2024-05-09,2024,BY332,5560,Actitis hypoleucos,1,0
2024-05-10,2024,BY388,5560,Actitis hypoleucos,0,0
2024-05-14,2024,BY358,5560,Actitis hypoleucos,0,0
2024-06-04,2024,BY173,5560,Actitis hypoleucos,0,0
2024-06-05,2024,BY388,5560,Actitis hypoleucos,0,0
2024-06-07,2024,BY358,5560,Actitis hypoleucos,0,0
2024-06-16,2024,BY332,5560,Actitis hypoleucos,0,0
2024-06-20,2024,BY388,5560,Actitis hypoleucos,1,0
2024-06-28,2024,BY388,5560,Actitis hypoleucos,1,0
