DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-28,2020,BY332,5560,Actitis hypoleucos,0,0
2020-05-03,2020,BY332,5560,Actitis hypoleucos,0,0
2020-05-24,2020,BY332,5560,Actitis hypoleucos,1,1
2020-06-13,2020,BY332,5560,Actitis hypoleucos,2,1
2021-03-13,2021,BY332,5560,Actitis hypoleucos,0,0
2021-04-17,2021,BY332,5560,Actitis hypoleucos,0,0
2021-05-09,2021,BY332,5560,Actitis hypoleucos,1,1
2021-06-13,2021,BY332,5560,Actitis hypoleucos,1,1
2022-03-20,2022,BY332,5560,Actitis hypoleucos,0,0
2022-04-18,2022,BY332,5560,Actitis hypoleucos,1,1
2022-05-15,2022,BY332,5560,Actitis hypoleucos,2,1
2022-06-05,2022,BY332,5560,Actitis hypoleucos,1,1
