DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-04-16,2020,BY383,7700,Aegolius funereus,0,0
2020-05-18,2020,BY383,7700,Aegolius funereus,0,0
2020-05-27,2020,BY383,7700,Aegolius funereus,0,0
2020-06-17,2020,BY383,7700,Aegolius funereus,0,0
2021-04-27,2021,BY383,7700,Aegolius funereus,1,1
2021-05-16,2021,BY383,7700,Aegolius funereus,0,0
2021-06-08,2021,BY383,7700,Aegolius funereus,1,1
2021-06-20,2021,BY383,7700,Aegolius funereus,0,0
2022-05-10,2022,BY383,7700,Aegolius funereus,0,0
2022-05-27,2022,BY383,7700,Aegolius funereus,0,0
2022-06-04,2022,BY383,7700,Aegolius funereus,0,0
2022-06-05,2022,BY383,7700,Aegolius funereus,0,0
2022-06-15,2022,BY383,7700,Aegolius funereus,0,0
2023-04-28,2023,BY383,7700,Aegolius funereus,0,0
2023-05-16,2023,BY383,7700,Aegolius funereus,0,0
2023-05-29,2023,BY383,7700,Aegolius funereus,0,0
2023-06-13,2023,BY383,7700,Aegolius funereus,0,0
