DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,9760,Alauda arvensis,19,13
2020-03-14,2020,BY127,9760,Alauda arvensis,0,0
2020-03-14,2020,BY272,9760,Alauda arvensis,14,4
2020-03-15,2020,BY113,9760,Alauda arvensis,0,0
2020-03-15,2020,BY119,9760,Alauda arvensis,3,4
2020-03-15,2020,BY133,9760,Alauda arvensis,4,1
2020-03-15,2020,BY230,9760,Alauda arvensis,2,1
2020-03-15,2020,BY242,9760,Alauda arvensis,1,3
2020-03-15,2020,BY57,9760,Alauda arvensis,0,0
2020-03-16,2020,BY151,9760,Alauda arvensis,2,3
2020-03-17,2020,BY276,9760,Alauda arvensis,2,1
2020-03-18,2020,BY173,9760,Alauda arvensis,2,5
2020-03-18,2020,BY221,9760,Alauda arvensis,1,1
2020-03-18,2020,BY231,9760,Alauda arvensis,0,0
2020-03-18,2020,BY243,9760,Alauda arvensis,4,10
2020-03-19,2020,BY109,9760,Alauda arvensis,10,12
2020-03-19,2020,BY114,9760,Alauda arvensis,0,0
2020-03-19,2020,BY19,9760,Alauda arvensis,3,3
2020-03-19,2020,BY236,9760,Alauda arvensis,0,0
2020-03-19,2020,BY237,9760,Alauda arvensis,1,1
2020-03-20,2020,BY193,9760,Alauda arvensis,0,0
2020-03-20,2020,BY286,9760,Alauda arvensis,0,0
2020-03-20,2020,BY31,9760,Alauda arvensis,14,16
2020-03-22,2020,BY137,9760,Alauda arvensis,1,1
2020-03-22,2020,BY86,9760,Alauda arvensis,9,6
2020-03-23,2020,BY138,9760,Alauda arvensis,2,3
2020-03-25,2020,BY238,9760,Alauda arvensis,4,11
2020-03-27,2020,BY120,9760,Alauda arvensis,2,2
2020-03-27,2020,BY139,9760,Alauda arvensis,15,22
2020-03-27,2020,BY271,9760,Alauda arvensis,2,9
2020-03-27,2020,BY369,9760,Alauda arvensis,0,0
2020-03-27,2020,BY453,9760,Alauda arvensis,7,6
2020-03-28,2020,BY290,9760,Alauda arvensis,1,9
2020-03-28,2020,BY291,9760,Alauda arvensis,1,3
2020-03-28,2020,BY65,9760,Alauda arvensis,18,29
2020-03-31,2020,BY169,9760,Alauda arvensis,8,10
2020-04-05,2020,BY127,9760,Alauda arvensis,1,2
2020-04-05,2020,BY242,9760,Alauda arvensis,0,0
2020-04-05,2020,BY286,9760,Alauda arvensis,0,0
2020-04-06,2020,BY221,9760,Alauda arvensis,0,0
2020-04-07,2020,BY114,9760,Alauda arvensis,1,2
2020-04-07,2020,BY243,9760,Alauda arvensis,5,10
2020-04-08,2020,BY151,9760,Alauda arvensis,3,3
2020-04-09,2020,BY113,9760,Alauda arvensis,7,13
2020-04-09,2020,BY230,9760,Alauda arvensis,3,1
2020-04-10,2020,BY133,9760,Alauda arvensis,1,1
2020-04-10,2020,BY272,9760,Alauda arvensis,4,4
2020-04-11,2020,BY137,9760,Alauda arvensis,1,1
2020-04-11,2020,BY236,9760,Alauda arvensis,1,1
2020-04-11,2020,BY290,9760,Alauda arvensis,3,9
2020-04-11,2020,BY57,9760,Alauda arvensis,0,0
2020-04-12,2020,BY119,9760,Alauda arvensis,5,4
2020-04-13,2020,BY274,9760,Alauda arvensis,2,3
2020-04-15,2020,BY173,9760,Alauda arvensis,3,5
2020-04-15,2020,BY231,9760,Alauda arvensis,0,0
2020-04-15,2020,BY271,9760,Alauda arvensis,5,9
2020-04-16,2020,BY203,9760,Alauda arvensis,14,13
2020-04-17,2020,BY276,9760,Alauda arvensis,0,0
2020-04-17,2020,BY31,9760,Alauda arvensis,16,16
2020-04-17,2020,BY65,9760,Alauda arvensis,24,29
2020-04-18,2020,BY120,9760,Alauda arvensis,1,2
2020-04-18,2020,BY161,9760,Alauda arvensis,13,8
2020-04-18,2020,BY169,9760,Alauda arvensis,11,10
2020-04-18,2020,BY86,9760,Alauda arvensis,5,6
2020-04-22,2020,BY453,9760,Alauda arvensis,6,6
2020-04-24,2020,BY139,9760,Alauda arvensis,12,22
2020-04-24,2020,BY19,9760,Alauda arvensis,1,3
2020-04-26,2020,BY109,9760,Alauda arvensis,20,12
2020-04-26,2020,BY369,9760,Alauda arvensis,3,2
2020-04-27,2020,BY193,9760,Alauda arvensis,1,1
2020-04-28,2020,BY291,9760,Alauda arvensis,1,3
2020-04-29,2020,BY238,9760,Alauda arvensis,5,11
2020-04-30,2020,BY138,9760,Alauda arvensis,1,3
2020-05-01,2020,BY114,9760,Alauda arvensis,1,2
2020-05-01,2020,BY230,9760,Alauda arvensis,0,0
2020-05-02,2020,BY113,9760,Alauda arvensis,7,13
2020-05-02,2020,BY221,9760,Alauda arvensis,1,1
2020-05-03,2020,BY127,9760,Alauda arvensis,2,2
2020-05-03,2020,BY274,9760,Alauda arvensis,2,3
2020-05-03,2020,BY286,9760,Alauda arvensis,0,0
2020-05-05,2020,BY151,9760,Alauda arvensis,3,3
2020-05-07,2020,BY271,9760,Alauda arvensis,4,9
2020-05-07,2020,BY57,9760,Alauda arvensis,0,0
2020-05-07,2020,BY65,9760,Alauda arvensis,19,29
2020-05-08,2020,BY203,9760,Alauda arvensis,7,13
2020-05-09,2020,BY272,9760,Alauda arvensis,3,4
2020-05-10,2020,BY119,9760,Alauda arvensis,5,4
2020-05-10,2020,BY133,9760,Alauda arvensis,2,1
2020-05-10,2020,BY242,9760,Alauda arvensis,2,3
2020-05-10,2020,BY290,9760,Alauda arvensis,9,9
2020-05-11,2020,BY243,9760,Alauda arvensis,6,10
2020-05-12,2020,BY173,9760,Alauda arvensis,4,5
2020-05-14,2020,BY231,9760,Alauda arvensis,0,0
2020-05-15,2020,BY139,9760,Alauda arvensis,15,22
2020-05-16,2020,BY120,9760,Alauda arvensis,1,2
2020-05-16,2020,BY137,9760,Alauda arvensis,0,0
2020-05-16,2020,BY31,9760,Alauda arvensis,13,16
2020-05-16,2020,BY86,9760,Alauda arvensis,6,6
2020-05-17,2020,BY169,9760,Alauda arvensis,7,10
2020-05-17,2020,BY237,9760,Alauda arvensis,1,1
2020-05-17,2020,BY276,9760,Alauda arvensis,3,1
2020-05-18,2020,BY19,9760,Alauda arvensis,1,3
2020-05-18,2020,BY236,9760,Alauda arvensis,0,0
2020-05-19,2020,BY193,9760,Alauda arvensis,1,1
2020-05-19,2020,BY238,9760,Alauda arvensis,8,11
2020-05-19,2020,BY291,9760,Alauda arvensis,2,3
2020-05-20,2020,BY109,9760,Alauda arvensis,7,12
2020-05-20,2020,BY138,9760,Alauda arvensis,2,3
2020-05-20,2020,BY453,9760,Alauda arvensis,5,6
2020-05-24,2020,BY230,9760,Alauda arvensis,1,1
2020-05-24,2020,BY286,9760,Alauda arvensis,0,0
2020-05-26,2020,BY221,9760,Alauda arvensis,1,1
2020-05-29,2020,BY271,9760,Alauda arvensis,4,9
2020-05-30,2020,BY274,9760,Alauda arvensis,2,3
2020-05-31,2020,BY137,9760,Alauda arvensis,0,0
2020-05-31,2020,BY290,9760,Alauda arvensis,3,9
2020-05-31,2020,BY369,9760,Alauda arvensis,3,2
2020-06-01,2020,BY133,9760,Alauda arvensis,1,1
2020-06-01,2020,BY57,9760,Alauda arvensis,1,1
2020-06-02,2020,BY19,9760,Alauda arvensis,2,3
2020-06-02,2020,BY65,9760,Alauda arvensis,29,29
2020-06-03,2020,BY238,9760,Alauda arvensis,5,11
2020-06-08,2020,BY151,9760,Alauda arvensis,2,3
2020-06-08,2020,BY243,9760,Alauda arvensis,2,10
2020-06-09,2020,BY31,9760,Alauda arvensis,17,16
2020-06-12,2020,BY139,9760,Alauda arvensis,16,22
2020-06-12,2020,BY231,9760,Alauda arvensis,0,0
2020-06-12,2020,BY242,9760,Alauda arvensis,1,3
2020-06-12,2020,BY272,9760,Alauda arvensis,3,4
2020-06-12,2020,BY276,9760,Alauda arvensis,2,1
2020-06-13,2020,BY114,9760,Alauda arvensis,0,0
2020-06-13,2020,BY119,9760,Alauda arvensis,8,4
2020-06-13,2020,BY236,9760,Alauda arvensis,0,0
2020-06-13,2020,BY237,9760,Alauda arvensis,0,0
2020-06-13,2020,BY86,9760,Alauda arvensis,4,6
2020-06-14,2020,BY127,9760,Alauda arvensis,0,0
2020-06-16,2020,BY173,9760,Alauda arvensis,4,5
2020-06-17,2020,BY193,9760,Alauda arvensis,1,1
2020-06-17,2020,BY453,9760,Alauda arvensis,5,6
2020-06-18,2020,BY113,9760,Alauda arvensis,8,13
2020-06-18,2020,BY120,9760,Alauda arvensis,2,2
2020-06-18,2020,BY203,9760,Alauda arvensis,6,13
2020-06-19,2020,BY169,9760,Alauda arvensis,8,10
2020-06-20,2020,BY109,9760,Alauda arvensis,9,12
2020-06-20,2020,BY138,9760,Alauda arvensis,2,3
2020-06-20,2020,BY291,9760,Alauda arvensis,2,3
2020-06-27,2020,BY369,9760,Alauda arvensis,2,2
2021-03-12,2021,BY243,9760,Alauda arvensis,2,5
2021-03-13,2021,BY113,9760,Alauda arvensis,5,12
2021-03-13,2021,BY165,9760,Alauda arvensis,9,14
2021-03-13,2021,BY237,9760,Alauda arvensis,1,0
2021-03-13,2021,BY302,9760,Alauda arvensis,0,0
2021-03-16,2021,BY110,9760,Alauda arvensis,5,5
2021-03-18,2021,BY182,9760,Alauda arvensis,3,5
2021-03-19,2021,BY117,9760,Alauda arvensis,13,14
2021-03-20,2021,BY114,9760,Alauda arvensis,0,0
2021-03-20,2021,BY116,9760,Alauda arvensis,11,9
2021-03-20,2021,BY181,9760,Alauda arvensis,6,15
2021-03-20,2021,BY241,9760,Alauda arvensis,10,14
2021-03-21,2021,BY119,9760,Alauda arvensis,4,6
2021-03-21,2021,BY126,9760,Alauda arvensis,7,3
2021-03-21,2021,BY127,9760,Alauda arvensis,1,2
2021-03-21,2021,BY180,9760,Alauda arvensis,0,0
2021-03-21,2021,BY203,9760,Alauda arvensis,1,20
2021-03-21,2021,BY274,9760,Alauda arvensis,0,0
2021-03-21,2021,BY86,9760,Alauda arvensis,8,10
2021-03-22,2021,BY221,9760,Alauda arvensis,1,2
2021-03-22,2021,BY230,9760,Alauda arvensis,1,1
2021-03-22,2021,BY31,9760,Alauda arvensis,9,12
2021-03-23,2021,BY205,9760,Alauda arvensis,17,16
2021-03-23,2021,BY338,9760,Alauda arvensis,0,0
