DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,1860,Anas platyrhynchos,0,0
2020-03-15,2020,BY119,1860,Anas platyrhynchos,0,0
2020-03-15,2020,BY230,1860,Anas platyrhynchos,5,0
2020-03-16,2020,BY151,1860,Anas platyrhynchos,0,0
2020-03-17,2020,BY276,1860,Anas platyrhynchos,0,0
2020-03-18,2020,BY221,1860,Anas platyrhynchos,0,0
2020-03-19,2020,BY109,1860,Anas platyrhynchos,0,0
2020-03-19,2020,BY124,1860,Anas platyrhynchos,1,0
2020-03-19,2020,BY236,1860,Anas platyrhynchos,0,0
2020-03-20,2020,BY193,1860,Anas platyrhynchos,1,0
2020-03-20,2020,BY31,1860,Anas platyrhynchos,1,0
2020-03-20,2020,BY321,1860,Anas platyrhynchos,0,0
2020-03-22,2020,BY137,1860,Anas platyrhynchos,2,0
2020-03-23,2020,BY138,1860,Anas platyrhynchos,0,0
2020-03-27,2020,BY120,1860,Anas platyrhynchos,0,0
2020-03-27,2020,BY139,1860,Anas platyrhynchos,0,0
2020-03-27,2020,BY369,1860,Anas platyrhynchos,0,0
2020-03-28,2020,BY290,1860,Anas platyrhynchos,0,0
2020-04-04,2020,BY354,1860,Anas platyrhynchos,2,0
2020-04-05,2020,BY124,1860,Anas platyrhynchos,0,0
2020-04-05,2020,BY127,1860,Anas platyrhynchos,0,0
2020-04-06,2020,BY221,1860,Anas platyrhynchos,0,0
2020-04-08,2020,BY151,1860,Anas platyrhynchos,0,0
2020-04-09,2020,BY230,1860,Anas platyrhynchos,0,0
2020-04-11,2020,BY137,1860,Anas platyrhynchos,0,0
2020-04-11,2020,BY236,1860,Anas platyrhynchos,0,0
2020-04-11,2020,BY290,1860,Anas platyrhynchos,0,0
2020-04-12,2020,BY119,1860,Anas platyrhynchos,0,0
2020-04-17,2020,BY276,1860,Anas platyrhynchos,0,0
2020-04-17,2020,BY31,1860,Anas platyrhynchos,0,0
2020-04-17,2020,BY321,1860,Anas platyrhynchos,0,0
2020-04-18,2020,BY120,1860,Anas platyrhynchos,2,0
2020-04-18,2020,BY161,1860,Anas platyrhynchos,0,0
2020-04-24,2020,BY139,1860,Anas platyrhynchos,0,0
2020-04-26,2020,BY109,1860,Anas platyrhynchos,1,0
2020-04-26,2020,BY354,1860,Anas platyrhynchos,0,0
2020-04-26,2020,BY369,1860,Anas platyrhynchos,0,0
2020-04-27,2020,BY193,1860,Anas platyrhynchos,0,0
2020-04-30,2020,BY138,1860,Anas platyrhynchos,0,0
2020-05-01,2020,BY230,1860,Anas platyrhynchos,1,0
2020-05-02,2020,BY221,1860,Anas platyrhynchos,0,0
2020-05-03,2020,BY127,1860,Anas platyrhynchos,0,0
2020-05-05,2020,BY151,1860,Anas platyrhynchos,0,0
2020-05-09,2020,BY124,1860,Anas platyrhynchos,0,0
2020-05-10,2020,BY119,1860,Anas platyrhynchos,0,0
2020-05-10,2020,BY290,1860,Anas platyrhynchos,0,0
2020-05-11,2020,BY321,1860,Anas platyrhynchos,1,0
2020-05-15,2020,BY139,1860,Anas platyrhynchos,0,0
2020-05-16,2020,BY120,1860,Anas platyrhynchos,3,0
2020-05-16,2020,BY137,1860,Anas platyrhynchos,0,0
2020-05-16,2020,BY31,1860,Anas platyrhynchos,0,0
2020-05-17,2020,BY276,1860,Anas platyrhynchos,2,0
2020-05-18,2020,BY236,1860,Anas platyrhynchos,0,0
