DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,1610,Anser anser,0,0
2020-04-09,2020,BY157,1610,Anser anser,4,1
2020-05-07,2020,BY157,1610,Anser anser,0,0
2020-06-01,2020,BY157,1610,Anser anser,0,0
2020-06-02,2020,BY157,1610,Anser anser,1,1
2021-03-21,2021,BY203,1610,Anser anser,0,0
2021-03-21,2021,BY235,1610,Anser anser,0,0
2021-03-21,2021,BY274,1610,Anser anser,2,1
2021-03-24,2021,BY157,1610,Anser anser,2,1
2021-03-24,2021,BY324,1610,Anser anser,40,5
2021-03-28,2021,BY158,1610,Anser anser,20,1
2021-03-29,2021,BY201,1610,Anser anser,2,1
2021-03-31,2021,BY220,1610,Anser anser,2,1
2021-04-11,2021,BY203,1610,Anser anser,2,1
2021-04-11,2021,BY235,1610,Anser anser,0,0
2021-04-20,2021,BY324,1610,Anser anser,65,5
2021-04-23,2021,BY157,1610,Anser anser,4,1
2021-04-24,2021,BY274,1610,Anser anser,2,1
2021-04-25,2021,BY201,1610,Anser anser,6,1
2021-04-26,2021,BY220,1610,Anser anser,2,1
2021-04-27,2021,BY158,1610,Anser anser,1,1
2021-05-08,2021,BY203,1610,Anser anser,0,0
2021-05-09,2021,BY235,1610,Anser anser,5,1
2021-05-10,2021,BY157,1610,Anser anser,0,0
2021-05-11,2021,BY201,1610,Anser anser,4,1
2021-05-14,2021,BY274,1610,Anser anser,8,1
2021-05-14,2021,BY324,1610,Anser anser,13,5
2021-05-17,2021,BY220,1610,Anser anser,0,0
2021-05-21,2021,BY158,1610,Anser anser,0,0
2021-05-24,2021,BY235,1610,Anser anser,0,0
2021-06-01,2021,BY203,1610,Anser anser,0,0
2021-06-11,2021,BY324,1610,Anser anser,0,0
2021-06-12,2021,BY201,1610,Anser anser,0,0
2021-06-12,2021,BY274,1610,Anser anser,0,0
2021-06-14,2021,BY157,1610,Anser anser,0,0
2021-06-14,2021,BY220,1610,Anser anser,0,0
2021-06-16,2021,BY158,1610,Anser anser,0,0
2022-03-13,2022,BY113,1610,Anser anser,33,1
2022-03-13,2022,BY288,1610,Anser anser,0,0
2022-03-13,2022,BY307,1610,Anser anser,4,3
2022-03-13,2022,BY82,1610,Anser anser,1,1
2022-03-14,2022,BY343,1610,Anser anser,0,0
2022-03-18,2022,BY373,1610,Anser anser,0,0
2022-03-19,2022,BY455,1610,Anser anser,5,4
2022-03-20,2022,BY126,1610,Anser anser,2,1
2022-03-20,2022,BY349,1610,Anser anser,1,1
2022-03-21,2022,BY158,1610,Anser anser,6,1
2022-03-23,2022,BY220,1610,Anser anser,0,0
2022-03-26,2022,BY86,1610,Anser anser,2,1
2022-03-27,2022,BY125,1610,Anser anser,0,0
2022-04-10,2022,BY126,1610,Anser anser,0,0
2022-04-10,2022,BY288,1610,Anser anser,2,1
2022-04-13,2022,BY307,1610,Anser anser,18,3
2022-04-14,2022,BY343,1610,Anser anser,1,1
2022-04-14,2022,BY349,1610,Anser anser,6,1
2022-04-14,2022,BY382,1610,Anser anser,0,0
2022-04-16,2022,BY125,1610,Anser anser,2,1
2022-04-16,2022,BY455,1610,Anser anser,13,4
2022-04-17,2022,BY113,1610,Anser anser,2,1
2022-04-18,2022,BY373,1610,Anser anser,5,2
2022-04-20,2022,BY82,1610,Anser anser,1,1
