DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-20,2020,BY454,10141,Anthus spinoletta,0,0
2020-04-07,2020,BY388,10141,Anthus spinoletta,1,1
2020-04-11,2020,BY454,10141,Anthus spinoletta,1,1
2020-04-30,2020,BY424,10141,Anthus spinoletta,1,3
2020-05-07,2020,BY490,10141,Anthus spinoletta,2,2
2020-05-08,2020,BY492,10141,Anthus spinoletta,6,10
2020-05-09,2020,BY454,10141,Anthus spinoletta,0,0
2020-05-10,2020,BY388,10141,Anthus spinoletta,0,0
2020-05-20,2020,BY492,10141,Anthus spinoletta,4,10
2020-05-21,2020,BY435,10141,Anthus spinoletta,8,8
2020-05-21,2020,BY456,10141,Anthus spinoletta,6,8
2020-05-22,2020,BY388,10141,Anthus spinoletta,2,1
2020-05-27,2020,BY424,10141,Anthus spinoletta,2,3
2020-05-28,2020,BY490,10141,Anthus spinoletta,6,2
2020-05-30,2020,BY456,10141,Anthus spinoletta,9,8
2020-06-03,2020,BY456,10141,Anthus spinoletta,8,8
2020-06-12,2020,BY388,10141,Anthus spinoletta,2,1
2020-06-13,2020,BY454,10141,Anthus spinoletta,0,0
2020-06-24,2020,BY456,10141,Anthus spinoletta,10,8
2020-06-24,2020,BY492,10141,Anthus spinoletta,10,10
2020-06-25,2020,BY424,10141,Anthus spinoletta,2,3
2020-07-09,2020,BY492,10141,Anthus spinoletta,4,10
2020-07-12,2020,BY435,10141,Anthus spinoletta,6,8
2020-07-13,2020,BY490,10141,Anthus spinoletta,1,2
2020-07-23,2020,BY424,10141,Anthus spinoletta,2,3
2020-07-31,2020,BY490,10141,Anthus spinoletta,0,0
2020-09-11,2020,BY435,10141,Anthus spinoletta,25,8
2021-05-09,2021,BY456,10141,Anthus spinoletta,5,9
2021-05-10,2021,BY469,10141,Anthus spinoletta,7,9
2021-06-03,2021,BY456,10141,Anthus spinoletta,7,9
2021-06-16,2021,BY456,10141,Anthus spinoletta,13,9
2021-06-16,2021,BY469,10141,Anthus spinoletta,11,9
2021-06-19,2021,BY471,10141,Anthus spinoletta,1,1
2021-06-28,2021,BY469,10141,Anthus spinoletta,10,9
2021-07-10,2021,BY471,10141,Anthus spinoletta,1,1
2021-07-12,2021,BY469,10141,Anthus spinoletta,6,9
2021-07-29,2021,BY471,10141,Anthus spinoletta,0,0
2022-04-28,2022,BY469,10141,Anthus spinoletta,11,9
2022-05-15,2022,BY456,10141,Anthus spinoletta,9,6
2022-05-22,2022,BY424,10141,Anthus spinoletta,2,1
2022-06-03,2022,BY469,10141,Anthus spinoletta,1,9
2022-06-05,2022,BY456,10141,Anthus spinoletta,5,6
2022-06-19,2022,BY456,10141,Anthus spinoletta,6,6
2023-05-04,2023,BY469,10141,Anthus spinoletta,9,8
2023-05-07,2023,BY456,10141,Anthus spinoletta,5,4
2023-05-13,2023,BY372,10141,Anthus spinoletta,0,0
2023-05-26,2023,BY469,10141,Anthus spinoletta,14,8
2023-05-28,2023,BY471,10141,Anthus spinoletta,4,3
2023-05-30,2023,BY456,10141,Anthus spinoletta,6,4
2023-06-08,2023,BY372,10141,Anthus spinoletta,0,0
2023-06-25,2023,BY456,10141,Anthus spinoletta,7,4
2023-06-25,2023,BY471,10141,Anthus spinoletta,4,3
2023-07-03,2023,BY469,10141,Anthus spinoletta,5,8
2023-07-08,2023,BY372,10141,Anthus spinoletta,2,1
2023-07-14,2023,BY469,10141,Anthus spinoletta,5,8
2023-07-15,2023,BY456,10141,Anthus spinoletta,2,4
2023-07-15,2023,BY471,10141,Anthus spinoletta,0,0
2023-07-16,2023,BY372,10141,Anthus spinoletta,0,0
2024-04-30,2024,BY433,10141,Anthus spinoletta,0,0
2024-05-06,2024,BY456,10141,Anthus spinoletta,2,7
2024-05-16,2024,BY421,10141,Anthus spinoletta,1,2
2024-05-18,2024,BY433,10141,Anthus spinoletta,1,1
2024-05-20,2024,BY456,10141,Anthus spinoletta,6,7
2024-06-06,2024,BY421,10141,Anthus spinoletta,1,2
2024-06-14,2024,BY433,10141,Anthus spinoletta,1,1
2024-06-20,2024,BY421,10141,Anthus spinoletta,0,0
