DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,10090,Anthus trivialis,0,0
2020-03-15,2020,BY57,10090,Anthus trivialis,0,0
2020-03-19,2020,BY114,10090,Anthus trivialis,0,0
2020-03-19,2020,BY124,10090,Anthus trivialis,0,0
2020-03-20,2020,BY454,10090,Anthus trivialis,0,0
2020-03-23,2020,BY138,10090,Anthus trivialis,0,0
2020-03-27,2020,BY460,10090,Anthus trivialis,0,0
2020-03-28,2020,BY65,10090,Anthus trivialis,0,0
2020-04-05,2020,BY124,10090,Anthus trivialis,0,0
2020-04-07,2020,BY114,10090,Anthus trivialis,0,0
2020-04-10,2020,BY272,10090,Anthus trivialis,0,0
2020-04-11,2020,BY454,10090,Anthus trivialis,0,0
2020-04-11,2020,BY57,10090,Anthus trivialis,0,0
2020-04-16,2020,BY460,10090,Anthus trivialis,0,0
2020-04-17,2020,BY65,10090,Anthus trivialis,1,0
2020-04-30,2020,BY138,10090,Anthus trivialis,0,0
2020-05-01,2020,BY114,10090,Anthus trivialis,0,0
2020-05-07,2020,BY57,10090,Anthus trivialis,0,0
2020-05-07,2020,BY65,10090,Anthus trivialis,1,0
2020-05-09,2020,BY124,10090,Anthus trivialis,0,0
2020-05-09,2020,BY272,10090,Anthus trivialis,0,0
2020-05-09,2020,BY454,10090,Anthus trivialis,0,0
2020-05-17,2020,BY460,10090,Anthus trivialis,0,0
2020-05-20,2020,BY138,10090,Anthus trivialis,0,0
2020-06-01,2020,BY124,10090,Anthus trivialis,0,0
2020-06-01,2020,BY57,10090,Anthus trivialis,0,0
2020-06-02,2020,BY65,10090,Anthus trivialis,0,0
2020-06-12,2020,BY272,10090,Anthus trivialis,0,0
2020-06-13,2020,BY114,10090,Anthus trivialis,0,0
2020-06-13,2020,BY454,10090,Anthus trivialis,0,0
2020-06-17,2020,BY460,10090,Anthus trivialis,0,0
2020-06-20,2020,BY138,10090,Anthus trivialis,0,0
2021-03-21,2021,BY180,10090,Anthus trivialis,0,0
2021-03-24,2021,BY138,10090,Anthus trivialis,0,0
2021-03-25,2021,BY272,10090,Anthus trivialis,0,0
2021-03-25,2021,BY355,10090,Anthus trivialis,0,0
2021-03-26,2021,BY105,10090,Anthus trivialis,0,0
2021-03-26,2021,BY464,10090,Anthus trivialis,0,0
2021-03-26,2021,BY57,10090,Anthus trivialis,0,0
2021-03-29,2021,BY65,10090,Anthus trivialis,0,0
2021-03-29,2021,BY70,10090,Anthus trivialis,0,0
2021-03-29,2021,BY901,10090,Anthus trivialis,0,0
2021-03-31,2021,BY220,10090,Anthus trivialis,0,0
2021-04-11,2021,BY105,10090,Anthus trivialis,0,0
2021-04-11,2021,BY180,10090,Anthus trivialis,0,0
2021-04-20,2021,BY65,10090,Anthus trivialis,1,0
2021-04-21,2021,BY138,10090,Anthus trivialis,0,0
2021-04-23,2021,BY355,10090,Anthus trivialis,0,0
2021-04-24,2021,BY272,10090,Anthus trivialis,0,0
2021-04-24,2021,BY373,10090,Anthus trivialis,0,0
2021-04-24,2021,BY57,10090,Anthus trivialis,4,0
2021-04-26,2021,BY220,10090,Anthus trivialis,0,0
2021-04-27,2021,BY70,10090,Anthus trivialis,1,0
2021-04-28,2021,BY901,10090,Anthus trivialis,0,0
2021-04-29,2021,BY464,10090,Anthus trivialis,0,0
2021-05-08,2021,BY65,10090,Anthus trivialis,0,0
2021-05-09,2021,BY180,10090,Anthus trivialis,0,0
2021-05-09,2021,BY57,10090,Anthus trivialis,0,0
2021-05-10,2021,BY272,10090,Anthus trivialis,0,0
2021-05-10,2021,BY469,10090,Anthus trivialis,0,0
2021-05-14,2021,BY105,10090,Anthus trivialis,0,0
2021-05-14,2021,BY901,10090,Anthus trivialis,0,0
2021-05-15,2021,BY355,10090,Anthus trivialis,0,0
2021-05-16,2021,BY464,10090,Anthus trivialis,0,0
2021-05-16,2021,BY70,10090,Anthus trivialis,1,0
2021-05-17,2021,BY220,10090,Anthus trivialis,0,0
2021-05-18,2021,BY138,10090,Anthus trivialis,0,0
2021-05-24,2021,BY373,10090,Anthus trivialis,0,0
2021-05-24,2021,BY57,10090,Anthus trivialis,0,0
2021-05-31,2021,BY65,10090,Anthus trivialis,0,0
2021-06-03,2021,BY180,10090,Anthus trivialis,0,0
2021-06-03,2021,BY272,10090,Anthus trivialis,0,0
