DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,7950,Apus apus,0,0
2020-03-14,2020,BY275,7950,Apus apus,0,0
2020-03-15,2020,BY113,7950,Apus apus,0,0
2020-03-15,2020,BY119,7950,Apus apus,0,0
2020-03-15,2020,BY121,7950,Apus apus,0,0
2020-03-15,2020,BY235,7950,Apus apus,0,0
2020-03-18,2020,BY173,7950,Apus apus,0,0
2020-03-19,2020,BY237,7950,Apus apus,0,0
2020-03-20,2020,BY158,7950,Apus apus,0,0
2020-03-20,2020,BY193,7950,Apus apus,0,0
2020-03-20,2020,BY286,7950,Apus apus,0,0
2020-03-20,2020,BY31,7950,Apus apus,0,0
2020-03-20,2020,BY454,7950,Apus apus,0,0
2020-03-22,2020,BY86,7950,Apus apus,0,0
2020-03-27,2020,BY120,7950,Apus apus,0,0
2020-03-27,2020,BY460,7950,Apus apus,0,0
2020-03-29,2020,BY217,7950,Apus apus,0,0
2020-03-31,2020,BY169,7950,Apus apus,0,0
2020-04-05,2020,BY127,7950,Apus apus,0,0
2020-04-05,2020,BY235,7950,Apus apus,0,0
2020-04-05,2020,BY275,7950,Apus apus,0,0
2020-04-05,2020,BY286,7950,Apus apus,0,0
2020-04-09,2020,BY113,7950,Apus apus,0,0
2020-04-10,2020,BY121,7950,Apus apus,0,0
2020-04-11,2020,BY454,7950,Apus apus,0,0
2020-04-12,2020,BY119,7950,Apus apus,0,0
2020-04-13,2020,BY274,7950,Apus apus,0,0
2020-04-15,2020,BY173,7950,Apus apus,0,0
2020-04-16,2020,BY460,7950,Apus apus,0,0
2020-04-17,2020,BY31,7950,Apus apus,0,0
2020-04-18,2020,BY120,7950,Apus apus,0,0
2020-04-18,2020,BY161,7950,Apus apus,0,0
2020-04-18,2020,BY169,7950,Apus apus,0,0
2020-04-18,2020,BY86,7950,Apus apus,0,0
2020-04-19,2020,BY217,7950,Apus apus,0,0
2020-04-27,2020,BY193,7950,Apus apus,0,0
2020-04-30,2020,BY158,7950,Apus apus,0,0
2020-05-02,2020,BY113,7950,Apus apus,0,0
2020-05-03,2020,BY127,7950,Apus apus,0,0
2020-05-03,2020,BY274,7950,Apus apus,0,0
2020-05-03,2020,BY275,7950,Apus apus,0,0
2020-05-03,2020,BY286,7950,Apus apus,0,0
2020-05-09,2020,BY454,7950,Apus apus,0,0
2020-05-10,2020,BY119,7950,Apus apus,0,0
2020-05-10,2020,BY217,7950,Apus apus,3,6
2020-05-10,2020,BY235,7950,Apus apus,2,1
2020-05-12,2020,BY173,7950,Apus apus,0,0
2020-05-16,2020,BY120,7950,Apus apus,0,0
2020-05-16,2020,BY121,7950,Apus apus,41,100
2020-05-16,2020,BY31,7950,Apus apus,0,0
2020-05-16,2020,BY86,7950,Apus apus,0,0
2020-05-17,2020,BY169,7950,Apus apus,0,0
2020-05-17,2020,BY237,7950,Apus apus,0,0
2020-05-17,2020,BY460,7950,Apus apus,0,0
2020-05-19,2020,BY193,7950,Apus apus,0,0
2020-05-21,2020,BY158,7950,Apus apus,0,0
2020-05-24,2020,BY235,7950,Apus apus,0,0
2020-05-24,2020,BY275,7950,Apus apus,33,20
2020-05-24,2020,BY286,7950,Apus apus,10,1
2020-05-30,2020,BY274,7950,Apus apus,0,0
2020-05-31,2020,BY217,7950,Apus apus,13,6
2020-06-09,2020,BY31,7950,Apus apus,0,0
2020-06-12,2020,BY121,7950,Apus apus,147,100
