DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY275,7950,Apus apus,0,0
2020-03-15,2020,BY121,7950,Apus apus,0,0
2020-03-15,2020,BY235,7950,Apus apus,0,0
2020-03-19,2020,BY237,7950,Apus apus,0,0
2020-03-20,2020,BY158,7950,Apus apus,0,0
2020-03-20,2020,BY286,7950,Apus apus,0,0
2020-03-22,2020,BY86,7950,Apus apus,0,0
2020-03-29,2020,BY217,7950,Apus apus,0,0
2020-04-05,2020,BY235,7950,Apus apus,0,0
2020-04-05,2020,BY275,7950,Apus apus,0,0
2020-04-05,2020,BY286,7950,Apus apus,0,0
2020-04-10,2020,BY121,7950,Apus apus,0,0
2020-04-18,2020,BY86,7950,Apus apus,0,0
2020-04-19,2020,BY217,7950,Apus apus,0,0
2020-04-30,2020,BY158,7950,Apus apus,0,0
2020-05-03,2020,BY275,7950,Apus apus,0,0
2020-05-03,2020,BY286,7950,Apus apus,0,0
2020-05-10,2020,BY217,7950,Apus apus,3,6
2020-05-10,2020,BY235,7950,Apus apus,2,1
2020-05-16,2020,BY121,7950,Apus apus,41,100
2020-05-16,2020,BY86,7950,Apus apus,0,0
2020-05-17,2020,BY237,7950,Apus apus,0,0
2020-05-21,2020,BY158,7950,Apus apus,0,0
2020-05-24,2020,BY235,7950,Apus apus,0,0
2020-05-24,2020,BY275,7950,Apus apus,33,20
2020-05-24,2020,BY286,7950,Apus apus,10,1
2020-05-31,2020,BY217,7950,Apus apus,13,6
2020-06-12,2020,BY121,7950,Apus apus,147,100
2020-06-13,2020,BY158,7950,Apus apus,3,1
2020-06-13,2020,BY237,7950,Apus apus,1,1
2020-06-13,2020,BY86,7950,Apus apus,5,1
2021-03-15,2021,BY297,7950,Apus apus,0,0
2021-03-21,2021,BY126,7950,Apus apus,0,0
2021-03-21,2021,BY127,7950,Apus apus,0,0
2021-03-21,2021,BY86,7950,Apus apus,0,0
2021-03-25,2021,BY106,7950,Apus apus,0,0
2021-03-26,2021,BY164,7950,Apus apus,0,0
2021-03-28,2021,BY158,7950,Apus apus,0,0
2021-03-28,2021,BY217,7950,Apus apus,0,0
2021-03-28,2021,BY82,7950,Apus apus,0,0
2021-03-31,2021,BY315,7950,Apus apus,0,0
2021-04-02,2021,BY127,7950,Apus apus,0,0
2021-04-02,2021,BY457,7950,Apus apus,0,0
2021-04-11,2021,BY126,7950,Apus apus,0,0
2021-04-15,2021,BY297,7950,Apus apus,0,0
2021-04-18,2021,BY86,7950,Apus apus,0,0
2021-04-24,2021,BY164,7950,Apus apus,0,0
2021-04-24,2021,BY457,7950,Apus apus,0,0
2021-04-25,2021,BY106,7950,Apus apus,0,0
2021-04-25,2021,BY217,7950,Apus apus,0,0
2021-04-25,2021,BY315,7950,Apus apus,0,0
2021-04-25,2021,BY82,7950,Apus apus,0,0
2021-04-27,2021,BY158,7950,Apus apus,0,0
2021-05-01,2021,BY127,7950,Apus apus,0,0
2021-05-08,2021,BY297,7950,Apus apus,22,3
2021-05-09,2021,BY82,7950,Apus apus,4,4
2021-05-11,2021,BY164,7950,Apus apus,3,2
2021-05-16,2021,BY126,7950,Apus apus,0,0
2021-05-16,2021,BY217,7950,Apus apus,5,7
