DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2022-03-13,2022,BY201,7670,Asio otus,0,0
2022-03-28,2022,BY47,7670,Asio otus,0,0
2022-04-03,2022,BY201,7670,Asio otus,0,0
2022-04-27,2022,BY47,7670,Asio otus,0,0
2022-05-14,2022,BY201,7670,Asio otus,0,0
2022-05-22,2022,BY47,7670,Asio otus,0,0
2022-05-28,2022,BY201,7670,Asio otus,0,0
2022-06-16,2022,BY47,7670,Asio otus,0,0
2023-03-18,2023,BY201,7670,Asio otus,0,0
2023-03-18,2023,BY47,7670,Asio otus,0,0
2023-04-10,2023,BY201,7670,Asio otus,0,0
2023-04-22,2023,BY47,7670,Asio otus,0,0
2023-05-07,2023,BY47,7670,Asio otus,0,0
2023-05-13,2023,BY201,7670,Asio otus,0,0
2023-05-27,2023,BY201,7670,Asio otus,0,0
2023-06-02,2023,BY47,7670,Asio otus,0,0
2024-03-25,2024,BY201,7670,Asio otus,0,0
2024-04-05,2024,BY201,7670,Asio otus,0,0
2024-05-09,2024,BY201,7670,Asio otus,0,0
2024-06-16,2024,BY201,7670,Asio otus,0,0
