DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY275,1980,Aythya ferina,0,0
2020-03-20,2020,BY454,1980,Aythya ferina,0,0
2020-04-05,2020,BY275,1980,Aythya ferina,0,0
2020-04-11,2020,BY454,1980,Aythya ferina,1,0
2020-05-03,2020,BY275,1980,Aythya ferina,0,0
2020-05-09,2020,BY454,1980,Aythya ferina,0,0
2020-05-24,2020,BY275,1980,Aythya ferina,0,0
2020-06-13,2020,BY454,1980,Aythya ferina,0,0
2021-03-13,2021,BY113,1980,Aythya ferina,8,0
2021-03-13,2021,BY454,1980,Aythya ferina,0,0
2021-03-24,2021,BY324,1980,Aythya ferina,1,0
2021-03-29,2021,BY118,1980,Aythya ferina,0,0
2021-04-04,2021,BY113,1980,Aythya ferina,0,0
2021-04-16,2021,BY118,1980,Aythya ferina,0,0
2021-04-20,2021,BY324,1980,Aythya ferina,0,0
2021-04-24,2021,BY454,1980,Aythya ferina,0,0
2021-05-04,2021,BY113,1980,Aythya ferina,0,0
2021-05-14,2021,BY324,1980,Aythya ferina,0,0
2021-05-16,2021,BY454,1980,Aythya ferina,0,0
2021-05-19,2021,BY118,1980,Aythya ferina,0,0
2021-06-10,2021,BY113,1980,Aythya ferina,0,0
2021-06-11,2021,BY118,1980,Aythya ferina,0,0
2021-06-11,2021,BY324,1980,Aythya ferina,0,0
2021-06-15,2021,BY454,1980,Aythya ferina,0,0
2022-03-21,2022,BY324,1980,Aythya ferina,0,0
2022-03-21,2022,BY454,1980,Aythya ferina,2,0
2022-04-24,2022,BY454,1980,Aythya ferina,0,0
2022-05-12,2022,BY454,1980,Aythya ferina,0,0
2022-06-11,2022,BY454,1980,Aythya ferina,0,0
2023-03-21,2023,BY454,1980,Aythya ferina,0,0
2023-03-23,2023,BY455,1980,Aythya ferina,1,0
2023-03-23,2023,BY86,1980,Aythya ferina,0,0
2023-04-21,2023,BY454,1980,Aythya ferina,1,0
2023-04-21,2023,BY86,1980,Aythya ferina,2,0
2023-04-27,2023,BY455,1980,Aythya ferina,0,0
2023-05-13,2023,BY455,1980,Aythya ferina,0,0
2023-05-14,2023,BY86,1980,Aythya ferina,1,0
2023-05-19,2023,BY454,1980,Aythya ferina,0,0
2023-05-31,2023,BY455,1980,Aythya ferina,0,0
2023-06-07,2023,BY454,1980,Aythya ferina,0,0
2023-06-18,2023,BY86,1980,Aythya ferina,0,0
2024-03-14,2024,BY454,1980,Aythya ferina,0,0
2024-03-19,2024,BY118,1980,Aythya ferina,2,0
2024-03-29,2024,BY275,1980,Aythya ferina,0,0
2024-04-05,2024,BY454,1980,Aythya ferina,0,0
2024-04-13,2024,BY275,1980,Aythya ferina,0,0
2024-04-23,2024,BY118,1980,Aythya ferina,0,0
2024-05-01,2024,BY275,1980,Aythya ferina,0,0
2024-05-06,2024,BY454,1980,Aythya ferina,0,0
2024-05-25,2024,BY118,1980,Aythya ferina,0,0
2024-05-26,2024,BY275,1980,Aythya ferina,0,0
2024-05-27,2024,BY454,1980,Aythya ferina,0,0
2024-06-15,2024,BY118,1980,Aythya ferina,0,0
