DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2022-03-17,2022,BY177,16790,Carpodacus erythrinus,0,0
2022-04-06,2022,BY177,16790,Carpodacus erythrinus,0,0
2022-05-10,2022,BY177,16790,Carpodacus erythrinus,0,0
2022-06-03,2022,BY177,16790,Carpodacus erythrinus,1,0
2023-03-18,2023,BY177,16790,Carpodacus erythrinus,0,0
2023-04-21,2023,BY177,16790,Carpodacus erythrinus,0,0
2023-05-04,2023,BY177,16790,Carpodacus erythrinus,0,0
2023-05-27,2023,BY177,16790,Carpodacus erythrinus,0,0
2024-03-15,2024,BY177,16790,Carpodacus erythrinus,0,0
2024-04-06,2024,BY177,16790,Carpodacus erythrinus,0,0
2024-05-05,2024,BY177,16790,Carpodacus erythrinus,0,0
2024-06-06,2024,BY177,16790,Carpodacus erythrinus,0,0
