DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,17170,Coccothraustes coccothraustes,1,0
2020-03-14,2020,BY127,17170,Coccothraustes coccothraustes,0,0
2020-03-14,2020,BY272,17170,Coccothraustes coccothraustes,1,0
2020-03-14,2020,BY275,17170,Coccothraustes coccothraustes,0,0
2020-03-15,2020,BY119,17170,Coccothraustes coccothraustes,1,0
2020-03-15,2020,BY133,17170,Coccothraustes coccothraustes,0,0
2020-03-15,2020,BY235,17170,Coccothraustes coccothraustes,0,0
2020-03-15,2020,BY337,17170,Coccothraustes coccothraustes,0,0
2020-03-15,2020,BY57,17170,Coccothraustes coccothraustes,0,0
2020-03-16,2020,BY151,17170,Coccothraustes coccothraustes,0,0
2020-03-17,2020,BY362,17170,Coccothraustes coccothraustes,0,0
2020-03-18,2020,BY173,17170,Coccothraustes coccothraustes,0,0
2020-03-18,2020,BY231,17170,Coccothraustes coccothraustes,0,0
2020-03-19,2020,BY114,17170,Coccothraustes coccothraustes,0,0
2020-03-19,2020,BY124,17170,Coccothraustes coccothraustes,2,6
2020-03-19,2020,BY19,17170,Coccothraustes coccothraustes,4,2
2020-03-19,2020,BY236,17170,Coccothraustes coccothraustes,0,0
2020-03-19,2020,BY237,17170,Coccothraustes coccothraustes,0,0
2020-03-20,2020,BY158,17170,Coccothraustes coccothraustes,7,4
2020-03-20,2020,BY286,17170,Coccothraustes coccothraustes,0,0
2020-03-20,2020,BY31,17170,Coccothraustes coccothraustes,1,2
2020-03-20,2020,BY321,17170,Coccothraustes coccothraustes,0,0
2020-03-22,2020,BY137,17170,Coccothraustes coccothraustes,4,13
2020-03-22,2020,BY86,17170,Coccothraustes coccothraustes,0,0
2020-03-25,2020,BY132,17170,Coccothraustes coccothraustes,0,0
2020-03-25,2020,BY238,17170,Coccothraustes coccothraustes,0,0
2020-03-27,2020,BY120,17170,Coccothraustes coccothraustes,0,0
2020-03-27,2020,BY139,17170,Coccothraustes coccothraustes,0,0
2020-03-27,2020,BY453,17170,Coccothraustes coccothraustes,0,0
2020-03-28,2020,BY290,17170,Coccothraustes coccothraustes,0,0
2020-03-28,2020,BY291,17170,Coccothraustes coccothraustes,0,0
2020-03-28,2020,BY65,17170,Coccothraustes coccothraustes,6,2
2020-03-29,2020,BY217,17170,Coccothraustes coccothraustes,1,1
2020-03-31,2020,BY16,17170,Coccothraustes coccothraustes,2,2
2020-04-05,2020,BY124,17170,Coccothraustes coccothraustes,7,6
2020-04-05,2020,BY127,17170,Coccothraustes coccothraustes,0,0
2020-04-05,2020,BY235,17170,Coccothraustes coccothraustes,0,0
2020-04-05,2020,BY275,17170,Coccothraustes coccothraustes,0,0
2020-04-05,2020,BY286,17170,Coccothraustes coccothraustes,1,1
2020-04-07,2020,BY114,17170,Coccothraustes coccothraustes,0,0
2020-04-08,2020,BY151,17170,Coccothraustes coccothraustes,0,0
2020-04-10,2020,BY133,17170,Coccothraustes coccothraustes,0,0
2020-04-10,2020,BY272,17170,Coccothraustes coccothraustes,0,0
2020-04-11,2020,BY137,17170,Coccothraustes coccothraustes,5,13
2020-04-11,2020,BY236,17170,Coccothraustes coccothraustes,0,0
2020-04-11,2020,BY290,17170,Coccothraustes coccothraustes,0,0
2020-04-11,2020,BY337,17170,Coccothraustes coccothraustes,0,0
2020-04-11,2020,BY57,17170,Coccothraustes coccothraustes,0,0
2020-04-12,2020,BY119,17170,Coccothraustes coccothraustes,0,0
2020-04-13,2020,BY274,17170,Coccothraustes coccothraustes,0,0
2020-04-15,2020,BY173,17170,Coccothraustes coccothraustes,0,0
2020-04-15,2020,BY231,17170,Coccothraustes coccothraustes,0,0
2020-04-16,2020,BY203,17170,Coccothraustes coccothraustes,0,0
2020-04-17,2020,BY31,17170,Coccothraustes coccothraustes,0,0
2020-04-17,2020,BY321,17170,Coccothraustes coccothraustes,0,0
2020-04-17,2020,BY362,17170,Coccothraustes coccothraustes,0,0
2020-04-17,2020,BY65,17170,Coccothraustes coccothraustes,4,2
2020-04-18,2020,BY120,17170,Coccothraustes coccothraustes,0,0
2020-04-18,2020,BY132,17170,Coccothraustes coccothraustes,0,0
2020-04-18,2020,BY86,17170,Coccothraustes coccothraustes,2,3
2020-04-19,2020,BY217,17170,Coccothraustes coccothraustes,1,1
2020-04-22,2020,BY453,17170,Coccothraustes coccothraustes,0,0
2020-04-24,2020,BY139,17170,Coccothraustes coccothraustes,0,0
2020-04-24,2020,BY19,17170,Coccothraustes coccothraustes,2,2
2020-04-27,2020,BY16,17170,Coccothraustes coccothraustes,4,2
2020-04-28,2020,BY291,17170,Coccothraustes coccothraustes,0,0
2020-04-29,2020,BY238,17170,Coccothraustes coccothraustes,0,0
2020-04-30,2020,BY158,17170,Coccothraustes coccothraustes,4,4
2020-05-01,2020,BY114,17170,Coccothraustes coccothraustes,0,0
2020-05-03,2020,BY127,17170,Coccothraustes coccothraustes,0,0
2020-05-03,2020,BY274,17170,Coccothraustes coccothraustes,0,0
2020-05-03,2020,BY275,17170,Coccothraustes coccothraustes,0,0
2020-05-03,2020,BY286,17170,Coccothraustes coccothraustes,0,0
2020-05-05,2020,BY151,17170,Coccothraustes coccothraustes,0,0
2020-05-07,2020,BY132,17170,Coccothraustes coccothraustes,3,4
2020-05-07,2020,BY57,17170,Coccothraustes coccothraustes,0,0
2020-05-07,2020,BY65,17170,Coccothraustes coccothraustes,0,0
2020-05-08,2020,BY203,17170,Coccothraustes coccothraustes,0,0
2020-05-09,2020,BY124,17170,Coccothraustes coccothraustes,1,6
2020-05-09,2020,BY272,17170,Coccothraustes coccothraustes,0,0
2020-05-10,2020,BY119,17170,Coccothraustes coccothraustes,0,0
2020-05-10,2020,BY133,17170,Coccothraustes coccothraustes,0,0
2020-05-10,2020,BY217,17170,Coccothraustes coccothraustes,0,0
2020-05-10,2020,BY235,17170,Coccothraustes coccothraustes,0,0
2020-05-10,2020,BY290,17170,Coccothraustes coccothraustes,0,0
2020-05-11,2020,BY321,17170,Coccothraustes coccothraustes,0,0
2020-05-12,2020,BY173,17170,Coccothraustes coccothraustes,0,0
2020-05-14,2020,BY231,17170,Coccothraustes coccothraustes,0,0
2020-05-15,2020,BY139,17170,Coccothraustes coccothraustes,0,0
2020-05-16,2020,BY120,17170,Coccothraustes coccothraustes,0,0
2020-05-16,2020,BY137,17170,Coccothraustes coccothraustes,6,13
2020-05-16,2020,BY31,17170,Coccothraustes coccothraustes,2,2
2020-05-16,2020,BY337,17170,Coccothraustes coccothraustes,0,0
2020-05-16,2020,BY86,17170,Coccothraustes coccothraustes,0,0
2020-05-17,2020,BY237,17170,Coccothraustes coccothraustes,0,0
2020-05-17,2020,BY362,17170,Coccothraustes coccothraustes,0,0
2020-05-18,2020,BY16,17170,Coccothraustes coccothraustes,1,2
2020-05-18,2020,BY19,17170,Coccothraustes coccothraustes,0,0
2020-05-18,2020,BY236,17170,Coccothraustes coccothraustes,0,0
2020-05-19,2020,BY238,17170,Coccothraustes coccothraustes,0,0
2020-05-19,2020,BY291,17170,Coccothraustes coccothraustes,0,0
2020-05-20,2020,BY453,17170,Coccothraustes coccothraustes,3,2
2020-05-21,2020,BY158,17170,Coccothraustes coccothraustes,3,4
2020-05-24,2020,BY235,17170,Coccothraustes coccothraustes,0,0
2020-05-24,2020,BY275,17170,Coccothraustes coccothraustes,0,0
2020-05-24,2020,BY286,17170,Coccothraustes coccothraustes,0,0
2020-05-30,2020,BY132,17170,Coccothraustes coccothraustes,1,4
2020-05-30,2020,BY274,17170,Coccothraustes coccothraustes,0,0
2020-05-31,2020,BY137,17170,Coccothraustes coccothraustes,11,13
2020-05-31,2020,BY217,17170,Coccothraustes coccothraustes,0,0
2020-05-31,2020,BY290,17170,Coccothraustes coccothraustes,1,1
2020-06-01,2020,BY124,17170,Coccothraustes coccothraustes,1,6
2020-06-01,2020,BY133,17170,Coccothraustes coccothraustes,0,0
2020-06-01,2020,BY337,17170,Coccothraustes coccothraustes,0,0
2020-06-01,2020,BY57,17170,Coccothraustes coccothraustes,0,0
2020-06-02,2020,BY19,17170,Coccothraustes coccothraustes,0,0
2020-06-02,2020,BY65,17170,Coccothraustes coccothraustes,0,0
2020-06-03,2020,BY238,17170,Coccothraustes coccothraustes,0,0
2020-06-08,2020,BY151,17170,Coccothraustes coccothraustes,0,0
2020-06-09,2020,BY31,17170,Coccothraustes coccothraustes,4,2
2020-06-12,2020,BY139,17170,Coccothraustes coccothraustes,0,0
2020-06-12,2020,BY16,17170,Coccothraustes coccothraustes,0,0
2020-06-12,2020,BY231,17170,Coccothraustes coccothraustes,0,0
2020-06-12,2020,BY272,17170,Coccothraustes coccothraustes,0,0
2020-06-13,2020,BY114,17170,Coccothraustes coccothraustes,0,0
2020-06-13,2020,BY119,17170,Coccothraustes coccothraustes,0,0
2020-06-13,2020,BY158,17170,Coccothraustes coccothraustes,4,4
2020-06-13,2020,BY236,17170,Coccothraustes coccothraustes,0,0
2020-06-13,2020,BY237,17170,Coccothraustes coccothraustes,0,0
2020-06-13,2020,BY321,17170,Coccothraustes coccothraustes,2,2
2020-06-13,2020,BY86,17170,Coccothraustes coccothraustes,5,3
2020-06-14,2020,BY127,17170,Coccothraustes coccothraustes,0,0
2020-06-16,2020,BY173,17170,Coccothraustes coccothraustes,0,0
2020-06-17,2020,BY453,17170,Coccothraustes coccothraustes,2,2
2020-06-18,2020,BY120,17170,Coccothraustes coccothraustes,0,0
2020-06-18,2020,BY203,17170,Coccothraustes coccothraustes,0,0
2020-06-18,2020,BY362,17170,Coccothraustes coccothraustes,0,0
2020-06-20,2020,BY291,17170,Coccothraustes coccothraustes,0,0
2021-03-13,2021,BY165,17170,Coccothraustes coccothraustes,0,0
2021-03-13,2021,BY237,17170,Coccothraustes coccothraustes,0,0
2021-03-13,2021,BY302,17170,Coccothraustes coccothraustes,0,0
2021-03-16,2021,BY110,17170,Coccothraustes coccothraustes,5,6
2021-03-19,2021,BY117,17170,Coccothraustes coccothraustes,0,0
2021-03-20,2021,BY114,17170,Coccothraustes coccothraustes,0,0
2021-03-20,2021,BY116,17170,Coccothraustes coccothraustes,0,0
2021-03-20,2021,BY124,17170,Coccothraustes coccothraustes,5,7
2021-03-20,2021,BY181,17170,Coccothraustes coccothraustes,0,0
2021-03-20,2021,BY337,17170,Coccothraustes coccothraustes,1,2
2021-03-21,2021,BY119,17170,Coccothraustes coccothraustes,2,1
2021-03-21,2021,BY126,17170,Coccothraustes coccothraustes,6,3
2021-03-21,2021,BY127,17170,Coccothraustes coccothraustes,12,0
2021-03-21,2021,BY168,17170,Coccothraustes coccothraustes,2,3
2021-03-21,2021,BY180,17170,Coccothraustes coccothraustes,0,0
2021-03-21,2021,BY203,17170,Coccothraustes coccothraustes,1,1
2021-03-21,2021,BY235,17170,Coccothraustes coccothraustes,0,0
2021-03-21,2021,BY274,17170,Coccothraustes coccothraustes,1,0
2021-03-21,2021,BY86,17170,Coccothraustes coccothraustes,6,0
2021-03-22,2021,BY31,17170,Coccothraustes coccothraustes,2,0
2021-03-23,2021,BY205,17170,Coccothraustes coccothraustes,1,0
2021-03-23,2021,BY338,17170,Coccothraustes coccothraustes,0,0
2021-03-24,2021,BY8,17170,Coccothraustes coccothraustes,0,0
2021-03-25,2021,BY231,17170,Coccothraustes coccothraustes,0,0
2021-03-25,2021,BY272,17170,Coccothraustes coccothraustes,1,0
2021-03-25,2021,BY453,17170,Coccothraustes coccothraustes,4,0
2021-03-26,2021,BY105,17170,Coccothraustes coccothraustes,0,0
2021-03-26,2021,BY128,17170,Coccothraustes coccothraustes,0,0
2021-03-26,2021,BY132,17170,Coccothraustes coccothraustes,12,4
2021-03-26,2021,BY151,17170,Coccothraustes coccothraustes,0,0
2021-03-26,2021,BY164,17170,Coccothraustes coccothraustes,2,3
2021-03-26,2021,BY17,17170,Coccothraustes coccothraustes,0,0
2021-03-26,2021,BY18,17170,Coccothraustes coccothraustes,1,1
2021-03-26,2021,BY186,17170,Coccothraustes coccothraustes,0,0
2021-03-26,2021,BY3,17170,Coccothraustes coccothraustes,1,1
2021-03-26,2021,BY36,17170,Coccothraustes coccothraustes,6,7
2021-03-26,2021,BY57,17170,Coccothraustes coccothraustes,0,0
2021-03-27,2021,BY137,17170,Coccothraustes coccothraustes,7,7
2021-03-28,2021,BY133,17170,Coccothraustes coccothraustes,0,0
