DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,6680,Columba oenas,1,1
2020-03-15,2020,BY133,6680,Columba oenas,0,0
2020-03-15,2020,BY337,6680,Columba oenas,0,0
2020-03-16,2020,BY151,6680,Columba oenas,0,0
2020-03-17,2020,BY362,6680,Columba oenas,0,0
2020-03-18,2020,BY173,6680,Columba oenas,0,0
2020-03-18,2020,BY243,6680,Columba oenas,0,0
2020-03-19,2020,BY109,6680,Columba oenas,0,0
2020-03-19,2020,BY114,6680,Columba oenas,0,0
2020-03-19,2020,BY19,6680,Columba oenas,3,3
2020-03-19,2020,BY236,6680,Columba oenas,0,0
2020-03-20,2020,BY286,6680,Columba oenas,0,0
2020-03-22,2020,BY86,6680,Columba oenas,0,0
2020-03-25,2020,BY107,6680,Columba oenas,0,0
2020-03-25,2020,BY132,6680,Columba oenas,1,3
2020-03-27,2020,BY139,6680,Columba oenas,0,0
2020-03-27,2020,BY271,6680,Columba oenas,0,0
2020-03-27,2020,BY453,6680,Columba oenas,0,0
2020-03-28,2020,BY291,6680,Columba oenas,0,0
2020-03-28,2020,BY65,6680,Columba oenas,4,3
2020-03-31,2020,BY16,6680,Columba oenas,0,0
2020-04-05,2020,BY127,6680,Columba oenas,0,0
2020-04-05,2020,BY286,6680,Columba oenas,1,1
2020-04-07,2020,BY114,6680,Columba oenas,0,0
2020-04-07,2020,BY243,6680,Columba oenas,0,0
2020-04-07,2020,BY388,6680,Columba oenas,0,0
2020-04-08,2020,BY151,6680,Columba oenas,0,0
2020-04-10,2020,BY133,6680,Columba oenas,0,0
2020-04-11,2020,BY236,6680,Columba oenas,0,0
2020-04-11,2020,BY337,6680,Columba oenas,0,0
2020-04-15,2020,BY173,6680,Columba oenas,0,0
2020-04-15,2020,BY271,6680,Columba oenas,0,0
2020-04-17,2020,BY362,6680,Columba oenas,0,0
2020-04-17,2020,BY65,6680,Columba oenas,5,3
2020-04-18,2020,BY132,6680,Columba oenas,1,3
2020-04-18,2020,BY161,6680,Columba oenas,0,0
2020-04-18,2020,BY86,6680,Columba oenas,0,0
2020-04-22,2020,BY453,6680,Columba oenas,2,1
2020-04-24,2020,BY139,6680,Columba oenas,0,0
