DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,6700,Columba palumbus,0,0
2020-03-23,2020,BY138,6700,Columba palumbus,0,0
2020-03-28,2020,BY332,6700,Columba palumbus,1,0
2020-04-16,2020,BY383,6700,Columba palumbus,2,0
2020-04-26,2020,BY109,6700,Columba palumbus,0,0
2020-04-30,2020,BY138,6700,Columba palumbus,0,0
2020-05-03,2020,BY332,6700,Columba palumbus,3,0
2020-05-18,2020,BY383,6700,Columba palumbus,2,0
2020-05-20,2020,BY109,6700,Columba palumbus,0,0
2020-05-20,2020,BY138,6700,Columba palumbus,0,0
2020-05-21,2020,BY456,6700,Columba palumbus,0,0
2020-05-24,2020,BY332,6700,Columba palumbus,0,0
2020-05-27,2020,BY383,6700,Columba palumbus,0,0
2020-05-30,2020,BY456,6700,Columba palumbus,2,0
2020-06-03,2020,BY456,6700,Columba palumbus,0,0
2020-06-13,2020,BY332,6700,Columba palumbus,0,0
2020-06-17,2020,BY383,6700,Columba palumbus,0,0
2020-06-20,2020,BY109,6700,Columba palumbus,0,0
2020-06-20,2020,BY138,6700,Columba palumbus,0,0
2020-06-24,2020,BY456,6700,Columba palumbus,0,0
2021-03-24,2021,BY109,6700,Columba palumbus,0,0
2021-03-24,2021,BY138,6700,Columba palumbus,0,0
2021-03-26,2021,BY36,6700,Columba palumbus,2,0
2021-03-27,2021,BY169,6700,Columba palumbus,2,0
2021-03-28,2021,BY139,6700,Columba palumbus,3,0
2021-03-31,2021,BY315,6700,Columba palumbus,0,0
2021-04-02,2021,BY458,6700,Columba palumbus,3,0
2021-04-20,2021,BY36,6700,Columba palumbus,0,0
2021-04-21,2021,BY138,6700,Columba palumbus,0,0
2021-04-24,2021,BY109,6700,Columba palumbus,0,0
2021-04-24,2021,BY139,6700,Columba palumbus,4,0
2021-04-24,2021,BY458,6700,Columba palumbus,2,0
2021-04-25,2021,BY169,6700,Columba palumbus,0,0
2021-04-25,2021,BY315,6700,Columba palumbus,0,0
2021-04-27,2021,BY383,6700,Columba palumbus,2,0
2021-05-09,2021,BY139,6700,Columba palumbus,5,0
2021-05-14,2021,BY109,6700,Columba palumbus,0,0
2021-05-16,2021,BY383,6700,Columba palumbus,1,0
2021-05-18,2021,BY138,6700,Columba palumbus,0,0
2021-05-19,2021,BY169,6700,Columba palumbus,0,0
2021-05-23,2021,BY36,6700,Columba palumbus,0,0
2021-05-26,2021,BY458,6700,Columba palumbus,0,0
2021-06-03,2021,BY169,6700,Columba palumbus,0,0
2021-06-07,2021,BY139,6700,Columba palumbus,5,0
2021-06-07,2021,BY458,6700,Columba palumbus,0,0
2021-06-08,2021,BY383,6700,Columba palumbus,0,0
2021-06-09,2021,BY138,6700,Columba palumbus,0,0
2021-06-11,2021,BY315,6700,Columba palumbus,0,0
2021-06-12,2021,BY109,6700,Columba palumbus,0,0
2021-06-16,2021,BY36,6700,Columba palumbus,0,0
2021-06-20,2021,BY383,6700,Columba palumbus,0,0
2022-03-14,2022,BY343,6700,Columba palumbus,0,0
2022-03-20,2022,BY464,6700,Columba palumbus,0,0
2022-03-21,2022,BY324,6700,Columba palumbus,0,0
2022-03-23,2022,BY5,6700,Columba palumbus,0,0
2022-03-24,2022,BY271,6700,Columba palumbus,0,0
2022-03-27,2022,BY109,6700,Columba palumbus,0,0
2022-03-27,2022,BY458,6700,Columba palumbus,2,0
2022-04-10,2022,BY5,6700,Columba palumbus,0,0
2022-04-11,2022,BY271,6700,Columba palumbus,1,0
2022-04-14,2022,BY343,6700,Columba palumbus,0,0
2022-04-24,2022,BY464,6700,Columba palumbus,2,0
2022-04-27,2022,BY109,6700,Columba palumbus,0,0
2022-04-28,2022,BY458,6700,Columba palumbus,4,0
2022-05-02,2022,BY271,6700,Columba palumbus,0,0
2022-05-08,2022,BY5,6700,Columba palumbus,4,0
2022-05-10,2022,BY383,6700,Columba palumbus,1,0
2022-05-15,2022,BY109,6700,Columba palumbus,0,0
2022-05-18,2022,BY343,6700,Columba palumbus,0,0
2022-05-18,2022,BY464,6700,Columba palumbus,0,0
2022-05-22,2022,BY424,6700,Columba palumbus,0,0
2022-05-26,2022,BY271,6700,Columba palumbus,0,0
2022-05-26,2022,BY458,6700,Columba palumbus,0,0
2022-05-27,2022,BY383,6700,Columba palumbus,0,0
2022-05-30,2022,BY343,6700,Columba palumbus,0,0
2022-06-04,2022,BY383,6700,Columba palumbus,0,0
2022-06-05,2022,BY383,6700,Columba palumbus,0,0
2022-06-05,2022,BY5,6700,Columba palumbus,6,0
2022-06-12,2022,BY458,6700,Columba palumbus,0,0
2022-06-15,2022,BY383,6700,Columba palumbus,3,0
2022-06-16,2022,BY464,6700,Columba palumbus,0,0
2022-06-18,2022,BY109,6700,Columba palumbus,0,0
2023-03-12,2023,BY294,6700,Columba palumbus,2,0
2023-03-17,2023,BY340,6700,Columba palumbus,0,0
2023-03-18,2023,BY203,6700,Columba palumbus,1,0
2023-03-18,2023,BY367,6700,Columba palumbus,0,0
2023-03-22,2023,BY343,6700,Columba palumbus,0,0
2023-03-26,2023,BY356,6700,Columba palumbus,23,0
2023-03-31,2023,BY138,6700,Columba palumbus,0,0
2023-03-31,2023,BY315,6700,Columba palumbus,0,0
2023-04-02,2023,BY457,6700,Columba palumbus,0,0
2023-04-02,2023,BY458,6700,Columba palumbus,2,0
2023-04-05,2023,BY340,6700,Columba palumbus,1,0
2023-04-07,2023,BY460,6700,Columba palumbus,2,0
2023-04-10,2023,BY203,6700,Columba palumbus,0,0
2023-04-17,2023,BY294,6700,Columba palumbus,0,0
2023-04-21,2023,BY138,6700,Columba palumbus,0,0
2023-04-22,2023,BY457,6700,Columba palumbus,4,0
2023-04-22,2023,BY458,6700,Columba palumbus,0,0
2023-04-25,2023,BY356,6700,Columba palumbus,7,0
2023-04-27,2023,BY343,6700,Columba palumbus,0,0
2023-04-27,2023,BY460,6700,Columba palumbus,0,0
2023-04-30,2023,BY315,6700,Columba palumbus,2,0
2023-04-30,2023,BY367,6700,Columba palumbus,0,0
2023-04-30,2023,BY424,6700,Columba palumbus,0,0
2023-05-04,2023,BY340,6700,Columba palumbus,0,0
2023-05-07,2023,BY294,6700,Columba palumbus,4,0
2023-05-13,2023,BY356,6700,Columba palumbus,1,0
2023-05-17,2023,BY343,6700,Columba palumbus,1,0
2023-05-18,2023,BY457,6700,Columba palumbus,0,0
2023-05-18,2023,BY458,6700,Columba palumbus,1,0
2023-05-19,2023,BY138,6700,Columba palumbus,0,0
2023-05-20,2023,BY315,6700,Columba palumbus,0,0
2023-05-20,2023,BY367,6700,Columba palumbus,0,0
2023-05-22,2023,BY340,6700,Columba palumbus,0,0
2023-05-29,2023,BY424,6700,Columba palumbus,0,0
2023-05-30,2023,BY460,6700,Columba palumbus,0,0
2023-06-01,2023,BY203,6700,Columba palumbus,0,0
2023-06-05,2023,BY343,6700,Columba palumbus,0,0
2023-06-13,2023,BY294,6700,Columba palumbus,2,0
2023-06-14,2023,BY356,6700,Columba palumbus,0,0
2023-06-16,2023,BY138,6700,Columba palumbus,0,0
2023-06-16,2023,BY460,6700,Columba palumbus,0,0
2023-06-17,2023,BY367,6700,Columba palumbus,0,0
2023-06-17,2023,BY457,6700,Columba palumbus,0,0
2023-06-17,2023,BY458,6700,Columba palumbus,3,0
2023-06-20,2023,BY315,6700,Columba palumbus,0,0
2023-07-08,2023,BY424,6700,Columba palumbus,0,0
2024-03-10,2024,BY401,6700,Columba palumbus,1,0
2024-03-14,2024,BY398,6700,Columba palumbus,1,0
2024-03-14,2024,BY464,6700,Columba palumbus,1,0
2024-03-15,2024,BY343,6700,Columba palumbus,0,0
2024-03-18,2024,BY294,6700,Columba palumbus,0,0
2024-03-20,2024,BY400,6700,Columba palumbus,0,0
2024-03-22,2024,BY63,6700,Columba palumbus,0,0
2024-03-23,2024,BY367,6700,Columba palumbus,0,0
2024-03-28,2024,BY169,6700,Columba palumbus,0,0
2024-03-30,2024,BY109,6700,Columba palumbus,2,0
2024-03-30,2024,BY315,6700,Columba palumbus,0,0
2024-04-07,2024,BY398,6700,Columba palumbus,0,0
2024-04-07,2024,BY457,6700,Columba palumbus,2,0
2024-04-07,2024,BY458,6700,Columba palumbus,2,0
2024-04-09,2024,BY294,6700,Columba palumbus,2,0
2024-04-11,2024,BY400,6700,Columba palumbus,3,0
2024-04-11,2024,BY401,6700,Columba palumbus,0,0
2024-04-12,2024,BY343,6700,Columba palumbus,0,0
2024-04-22,2024,BY109,6700,Columba palumbus,0,0
2024-04-23,2024,BY169,6700,Columba palumbus,0,0
2024-04-23,2024,BY63,6700,Columba palumbus,4,0
2024-04-28,2024,BY315,6700,Columba palumbus,0,0
2024-04-28,2024,BY464,6700,Columba palumbus,2,0
2024-04-29,2024,BY367,6700,Columba palumbus,0,0
2024-04-29,2024,BY424,6700,Columba palumbus,0,0
