DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,15720,Corvus corax,0,0
2020-03-13,2020,BY203,15720,Corvus corax,1,0
2020-03-14,2020,BY272,15720,Corvus corax,0,0
2020-03-15,2020,BY113,15720,Corvus corax,0,0
2020-03-15,2020,BY133,15720,Corvus corax,0,0
2020-03-15,2020,BY337,15720,Corvus corax,0,0
2020-03-15,2020,BY57,15720,Corvus corax,0,0
2020-03-16,2020,BY151,15720,Corvus corax,0,0
2020-03-16,2020,BY365,15720,Corvus corax,0,0
2020-03-17,2020,BY276,15720,Corvus corax,0,0
2020-03-18,2020,BY221,15720,Corvus corax,0,0
2020-03-19,2020,BY124,15720,Corvus corax,0,0
2020-03-19,2020,BY19,15720,Corvus corax,0,0
2020-03-19,2020,BY236,15720,Corvus corax,0,0
2020-03-20,2020,BY158,15720,Corvus corax,0,0
2020-03-20,2020,BY286,15720,Corvus corax,0,0
2020-03-20,2020,BY31,15720,Corvus corax,0,0
2020-03-22,2020,BY137,15720,Corvus corax,0,0
2020-03-22,2020,BY86,15720,Corvus corax,0,0
2020-03-23,2020,BY138,15720,Corvus corax,0,0
2020-03-25,2020,BY132,15720,Corvus corax,0,0
2020-03-25,2020,BY238,15720,Corvus corax,0,0
2020-03-27,2020,BY120,15720,Corvus corax,0,0
2020-03-27,2020,BY139,15720,Corvus corax,0,0
2020-03-27,2020,BY369,15720,Corvus corax,1,0
2020-03-27,2020,BY453,15720,Corvus corax,0,0
2020-03-27,2020,BY460,15720,Corvus corax,0,0
2020-03-28,2020,BY291,15720,Corvus corax,0,0
2020-03-28,2020,BY65,15720,Corvus corax,0,0
2020-03-31,2020,BY16,15720,Corvus corax,0,0
2020-04-05,2020,BY124,15720,Corvus corax,0,0
2020-04-05,2020,BY286,15720,Corvus corax,0,0
2020-04-06,2020,BY221,15720,Corvus corax,0,0
2020-04-07,2020,BY388,15720,Corvus corax,0,0
