DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,15671,Corvus corone,0,0
2020-03-16,2020,BY151,15671,Corvus corone,0,0
2020-03-17,2020,BY276,15671,Corvus corone,52,0
2020-03-18,2020,BY173,15671,Corvus corone,0,0
2020-03-19,2020,BY109,15671,Corvus corone,0,0
2020-03-19,2020,BY124,15671,Corvus corone,0,0
2020-03-27,2020,BY369,15671,Corvus corone,13,0
2020-04-05,2020,BY124,15671,Corvus corone,0,0
2020-04-08,2020,BY151,15671,Corvus corone,0,0
2020-04-15,2020,BY173,15671,Corvus corone,0,0
2020-04-16,2020,BY203,15671,Corvus corone,3,0
2020-04-17,2020,BY276,15671,Corvus corone,51,0
2020-04-26,2020,BY109,15671,Corvus corone,0,0
2020-04-26,2020,BY369,15671,Corvus corone,0,0
2020-05-05,2020,BY151,15671,Corvus corone,0,0
2020-05-08,2020,BY203,15671,Corvus corone,0,0
2020-05-09,2020,BY124,15671,Corvus corone,0,0
2020-05-12,2020,BY173,15671,Corvus corone,0,0
2020-05-17,2020,BY276,15671,Corvus corone,63,0
2020-05-20,2020,BY109,15671,Corvus corone,0,0
2020-05-31,2020,BY369,15671,Corvus corone,0,0
2020-06-01,2020,BY124,15671,Corvus corone,0,0
2020-06-08,2020,BY151,15671,Corvus corone,0,0
2020-06-12,2020,BY276,15671,Corvus corone,32,0
2020-06-16,2020,BY173,15671,Corvus corone,3,0
2020-06-18,2020,BY203,15671,Corvus corone,0,0
2020-06-20,2020,BY109,15671,Corvus corone,0,0
2020-06-27,2020,BY369,15671,Corvus corone,0,0
2021-03-13,2021,BY237,15671,Corvus corone,0,0
2021-03-16,2021,BY110,15671,Corvus corone,0,0
2021-03-21,2021,BY119,15671,Corvus corone,1,0
2021-03-21,2021,BY126,15671,Corvus corone,6,0
2021-03-22,2021,BY230,15671,Corvus corone,3,0
2021-03-24,2021,BY109,15671,Corvus corone,0,0
2021-03-24,2021,BY157,15671,Corvus corone,0,0
2021-03-24,2021,BY8,15671,Corvus corone,0,0
2021-03-25,2021,BY106,15671,Corvus corone,2,0
2021-03-25,2021,BY453,15671,Corvus corone,4,0
2021-03-26,2021,BY105,15671,Corvus corone,0,0
2021-03-26,2021,BY128,15671,Corvus corone,0,0
2021-03-26,2021,BY160,15671,Corvus corone,0,0
2021-03-26,2021,BY164,15671,Corvus corone,0,0
2021-03-26,2021,BY172,15671,Corvus corone,0,0
2021-03-26,2021,BY22,15671,Corvus corone,1,0
2021-03-26,2021,BY36,15671,Corvus corone,0,0
2021-03-29,2021,BY238,15671,Corvus corone,2,0
2021-03-29,2021,BY70,15671,Corvus corone,0,0
2021-03-30,2021,BY173,15671,Corvus corone,2,0
2021-03-31,2021,BY315,15671,Corvus corone,4,0
2021-04-05,2021,BY230,15671,Corvus corone,6,0
2021-04-11,2021,BY105,15671,Corvus corone,0,0
2021-04-11,2021,BY126,15671,Corvus corone,8,0
2021-04-11,2021,BY237,15671,Corvus corone,0,0
2021-04-14,2021,BY8,15671,Corvus corone,1,0
2021-04-16,2021,BY110,15671,Corvus corone,0,0
2021-04-18,2021,BY119,15671,Corvus corone,0,0
2021-04-20,2021,BY36,15671,Corvus corone,0,0
2021-04-20,2021,BY453,15671,Corvus corone,0,0
2021-04-21,2021,BY128,15671,Corvus corone,0,0
2021-04-21,2021,BY172,15671,Corvus corone,0,0
2021-04-23,2021,BY157,15671,Corvus corone,0,0
2021-04-23,2021,BY173,15671,Corvus corone,0,0
2021-04-24,2021,BY109,15671,Corvus corone,2,0
2021-04-24,2021,BY164,15671,Corvus corone,0,0
2021-04-25,2021,BY106,15671,Corvus corone,0,0
2021-04-25,2021,BY22,15671,Corvus corone,0,0
2021-04-25,2021,BY238,15671,Corvus corone,0,0
2021-04-25,2021,BY315,15671,Corvus corone,1,0
2021-04-26,2021,BY160,15671,Corvus corone,0,0
2021-04-27,2021,BY70,15671,Corvus corone,0,0
2021-05-04,2021,BY37,15671,Corvus corone,0,0
2021-05-09,2021,BY173,15671,Corvus corone,0,0
2021-05-10,2021,BY128,15671,Corvus corone,0,0
2021-05-10,2021,BY157,15671,Corvus corone,0,0
2021-05-10,2021,BY172,15671,Corvus corone,0,0
2021-05-11,2021,BY164,15671,Corvus corone,1,0
2021-05-11,2021,BY237,15671,Corvus corone,1,0
2021-05-13,2021,BY230,15671,Corvus corone,0,0
2021-05-14,2021,BY105,15671,Corvus corone,0,0
2021-05-14,2021,BY109,15671,Corvus corone,0,0
2021-05-14,2021,BY22,15671,Corvus corone,0,0
2021-05-15,2021,BY119,15671,Corvus corone,0,0
2021-05-16,2021,BY126,15671,Corvus corone,15,0
2021-05-16,2021,BY238,15671,Corvus corone,0,0
2021-05-16,2021,BY70,15671,Corvus corone,0,0
2021-05-17,2021,BY110,15671,Corvus corone,0,0
2021-05-18,2021,BY106,15671,Corvus corone,0,0
2021-05-18,2021,BY160,15671,Corvus corone,2,0
2021-05-19,2021,BY8,15671,Corvus corone,1,0
2021-05-21,2021,BY453,15671,Corvus corone,0,0
2021-05-23,2021,BY36,15671,Corvus corone,2,0
2021-05-26,2021,BY172,15671,Corvus corone,0,0
2021-05-29,2021,BY164,15671,Corvus corone,0,0
2021-05-29,2021,BY230,15671,Corvus corone,0,0
2021-05-30,2021,BY238,15671,Corvus corone,5,0
2021-06-01,2021,BY237,15671,Corvus corone,2,0
2021-06-04,2021,BY173,15671,Corvus corone,0,0
2021-06-06,2021,BY126,15671,Corvus corone,5,0
2021-06-07,2021,BY106,15671,Corvus corone,0,0
2021-06-08,2021,BY22,15671,Corvus corone,0,0
2021-06-11,2021,BY128,15671,Corvus corone,0,0
2021-06-11,2021,BY315,15671,Corvus corone,1,0
2021-06-11,2021,BY8,15671,Corvus corone,0,0
2021-06-12,2021,BY105,15671,Corvus corone,0,0
2021-06-12,2021,BY109,15671,Corvus corone,1,0
2021-06-13,2021,BY453,15671,Corvus corone,2,0
2021-06-14,2021,BY110,15671,Corvus corone,0,0
2021-06-14,2021,BY157,15671,Corvus corone,0,0
2021-06-14,2021,BY160,15671,Corvus corone,0,0
2021-06-16,2021,BY36,15671,Corvus corone,0,0
2021-06-16,2021,BY37,15671,Corvus corone,0,0
