DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,15630,Corvus frugilegus,0,0
2020-03-14,2020,BY275,15630,Corvus frugilegus,0,0
2020-03-15,2020,BY230,15630,Corvus frugilegus,4,0
2020-03-17,2020,BY276,15630,Corvus frugilegus,0,0
2020-03-27,2020,BY120,15630,Corvus frugilegus,0,0
2020-03-27,2020,BY271,15630,Corvus frugilegus,0,0
2020-03-31,2020,BY169,15630,Corvus frugilegus,0,0
2020-04-05,2020,BY275,15630,Corvus frugilegus,1000,828
2020-04-09,2020,BY230,15630,Corvus frugilegus,0,0
2020-04-10,2020,BY272,15630,Corvus frugilegus,0,0
2020-04-15,2020,BY271,15630,Corvus frugilegus,0,0
2020-04-17,2020,BY276,15630,Corvus frugilegus,0,0
2020-04-18,2020,BY120,15630,Corvus frugilegus,0,0
2020-04-18,2020,BY169,15630,Corvus frugilegus,0,0
2020-05-01,2020,BY230,15630,Corvus frugilegus,0,0
2020-05-03,2020,BY275,15630,Corvus frugilegus,1500,828
2020-05-07,2020,BY271,15630,Corvus frugilegus,0,0
2020-05-09,2020,BY272,15630,Corvus frugilegus,0,0
2020-05-16,2020,BY120,15630,Corvus frugilegus,0,0
2020-05-17,2020,BY169,15630,Corvus frugilegus,0,0
2020-05-17,2020,BY276,15630,Corvus frugilegus,0,0
2020-05-24,2020,BY230,15630,Corvus frugilegus,0,0
2020-05-24,2020,BY275,15630,Corvus frugilegus,600,828
2020-05-29,2020,BY271,15630,Corvus frugilegus,0,0
2020-06-12,2020,BY272,15630,Corvus frugilegus,0,0
2020-06-12,2020,BY276,15630,Corvus frugilegus,0,0
2020-06-18,2020,BY120,15630,Corvus frugilegus,0,0
2020-06-19,2020,BY169,15630,Corvus frugilegus,0,0
2021-03-21,2021,BY180,15630,Corvus frugilegus,0,0
2021-03-22,2021,BY230,15630,Corvus frugilegus,0,0
2021-03-23,2021,BY341,15630,Corvus frugilegus,0,0
2021-03-25,2021,BY272,15630,Corvus frugilegus,0,0
2021-03-27,2021,BY169,15630,Corvus frugilegus,0,0
2021-03-29,2021,BY283,15630,Corvus frugilegus,0,0
2021-03-29,2021,BY66,15630,Corvus frugilegus,0,0
2021-03-30,2021,BY120,15630,Corvus frugilegus,0,0
2021-04-05,2021,BY230,15630,Corvus frugilegus,0,0
2021-04-11,2021,BY180,15630,Corvus frugilegus,0,0
2021-04-11,2021,BY341,15630,Corvus frugilegus,0,0
2021-04-23,2021,BY283,15630,Corvus frugilegus,0,0
