DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY275,15630,Corvus frugilegus,0,0
2020-04-05,2020,BY275,15630,Corvus frugilegus,1000,828
2020-05-03,2020,BY275,15630,Corvus frugilegus,1500,828
2020-05-24,2020,BY275,15630,Corvus frugilegus,600,828
2021-04-24,2021,BY373,15630,Corvus frugilegus,0,0
2021-05-24,2021,BY373,15630,Corvus frugilegus,1,1
2021-06-26,2021,BY373,15630,Corvus frugilegus,0,0
2022-03-20,2022,BY66,15630,Corvus frugilegus,0,0
2022-03-27,2022,BY125,15630,Corvus frugilegus,0,0
2022-04-05,2022,BY169,15630,Corvus frugilegus,0,0
2022-04-12,2022,BY169,15630,Corvus frugilegus,0,0
2022-04-16,2022,BY125,15630,Corvus frugilegus,1,1
2022-04-16,2022,BY66,15630,Corvus frugilegus,12,2
2022-05-09,2022,BY125,15630,Corvus frugilegus,1,1
2022-05-10,2022,BY169,15630,Corvus frugilegus,0,0
2022-05-12,2022,BY66,15630,Corvus frugilegus,0,0
2022-06-04,2022,BY125,15630,Corvus frugilegus,1,1
2022-06-14,2022,BY169,15630,Corvus frugilegus,1,1
2022-06-15,2022,BY66,15630,Corvus frugilegus,0,0
2023-03-18,2023,BY283,15630,Corvus frugilegus,0,0
2023-03-20,2023,BY282,15630,Corvus frugilegus,13,25
2023-04-06,2023,BY216,15630,Corvus frugilegus,186,123
2023-04-22,2023,BY283,15630,Corvus frugilegus,134,70
2023-04-26,2023,BY282,15630,Corvus frugilegus,25,25
2023-04-30,2023,BY216,15630,Corvus frugilegus,282,123
2023-05-18,2023,BY282,15630,Corvus frugilegus,7,25
2023-05-18,2023,BY283,15630,Corvus frugilegus,140,70
2023-05-21,2023,BY216,15630,Corvus frugilegus,114,123
2023-06-04,2023,BY216,15630,Corvus frugilegus,5,123
2023-06-08,2023,BY283,15630,Corvus frugilegus,250,70
2023-06-14,2023,BY282,15630,Corvus frugilegus,0,0
2024-03-31,2024,BY216,15630,Corvus frugilegus,13,8
2024-04-30,2024,BY216,15630,Corvus frugilegus,8,8
2024-05-20,2024,BY216,15630,Corvus frugilegus,4,8
2024-06-19,2024,BY216,15630,Corvus frugilegus,100,8
