DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,4210,Crex crex,0,0
2020-04-16,2020,BY203,4210,Crex crex,0,0
2020-05-08,2020,BY203,4210,Crex crex,0,0
2020-06-18,2020,BY203,4210,Crex crex,1,1
2021-03-16,2021,BY110,4210,Crex crex,0,0
2021-03-21,2021,BY203,4210,Crex crex,0,0
2021-03-26,2021,BY22,4210,Crex crex,0,0
2021-04-11,2021,BY203,4210,Crex crex,0,0
2021-04-16,2021,BY110,4210,Crex crex,0,0
2021-04-25,2021,BY22,4210,Crex crex,0,0
2021-05-08,2021,BY203,4210,Crex crex,0,0
2021-05-14,2021,BY22,4210,Crex crex,0,0
2021-05-17,2021,BY110,4210,Crex crex,0,0
2021-06-01,2021,BY203,4210,Crex crex,0,0
2021-06-08,2021,BY22,4210,Crex crex,1,1
2021-06-14,2021,BY110,4210,Crex crex,0,0
2022-03-12,2022,BY203,4210,Crex crex,0,0
2022-03-25,2022,BY110,4210,Crex crex,0,0
2022-03-26,2022,BY22,4210,Crex crex,0,0
2022-04-11,2022,BY203,4210,Crex crex,0,0
2022-04-18,2022,BY22,4210,Crex crex,0,0
2022-04-22,2022,BY110,4210,Crex crex,0,0
2022-04-28,2022,BY350,4210,Crex crex,0,0
2022-05-02,2022,BY110,4210,Crex crex,0,0
2022-05-12,2022,BY203,4210,Crex crex,0,0
2022-05-14,2022,BY22,4210,Crex crex,0,0
2022-05-29,2022,BY350,4210,Crex crex,3,2
2022-06-06,2022,BY110,4210,Crex crex,1,1
2022-06-13,2022,BY22,4210,Crex crex,0,0
2022-06-19,2022,BY203,4210,Crex crex,0,0
2023-03-18,2023,BY203,4210,Crex crex,0,0
2023-03-27,2023,BY110,4210,Crex crex,0,0
2023-04-10,2023,BY203,4210,Crex crex,0,0
2023-04-20,2023,BY110,4210,Crex crex,0,0
2023-04-30,2023,BY350,4210,Crex crex,0,0
2023-05-19,2023,BY110,4210,Crex crex,0,0
2023-05-28,2023,BY350,4210,Crex crex,1,1
2023-06-01,2023,BY203,4210,Crex crex,0,0
2023-06-09,2023,BY110,4210,Crex crex,0,0
2023-06-15,2023,BY350,4210,Crex crex,1,1
2024-03-13,2024,BY110,4210,Crex crex,0,0
2024-03-26,2024,BY22,4210,Crex crex,0,0
2024-04-13,2024,BY22,4210,Crex crex,0,0
2024-04-17,2024,BY110,4210,Crex crex,0,0
2024-05-11,2024,BY22,4210,Crex crex,0,0
2024-05-13,2024,BY110,4210,Crex crex,0,0
2024-06-11,2024,BY110,4210,Crex crex,0,0
2024-06-11,2024,BY22,4210,Crex crex,0,0
