DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,4210,Crex crex,0,0
2020-04-16,2020,BY203,4210,Crex crex,0,0
2020-05-08,2020,BY203,4210,Crex crex,0,0
2020-06-18,2020,BY203,4210,Crex crex,1,1
2021-03-26,2021,BY22,4210,Crex crex,0,0
2021-04-25,2021,BY22,4210,Crex crex,0,0
2021-05-14,2021,BY22,4210,Crex crex,0,0
2021-06-08,2021,BY22,4210,Crex crex,1,1
2022-03-25,2022,BY110,4210,Crex crex,0,0
2022-04-22,2022,BY110,4210,Crex crex,0,0
2022-04-28,2022,BY350,4210,Crex crex,0,0
2022-05-02,2022,BY110,4210,Crex crex,0,0
2022-05-29,2022,BY350,4210,Crex crex,3,2
2022-06-06,2022,BY110,4210,Crex crex,1,1
2023-04-30,2023,BY350,4210,Crex crex,0,0
2023-05-28,2023,BY350,4210,Crex crex,1,1
2023-06-15,2023,BY350,4210,Crex crex,1,1
