DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,7240,Cuculus canorus,0,0
2020-03-13,2020,BY203,7240,Cuculus canorus,0,0
2020-03-14,2020,BY127,7240,Cuculus canorus,0,0
2020-03-14,2020,BY272,7240,Cuculus canorus,0,0
2020-03-15,2020,BY113,7240,Cuculus canorus,0,0
2020-03-15,2020,BY230,7240,Cuculus canorus,0,0
2020-03-15,2020,BY235,7240,Cuculus canorus,0,0
2020-03-15,2020,BY337,7240,Cuculus canorus,0,0
2020-03-15,2020,BY57,7240,Cuculus canorus,0,0
2020-03-16,2020,BY365,7240,Cuculus canorus,0,0
2020-03-17,2020,BY362,7240,Cuculus canorus,0,0
2020-03-18,2020,BY173,7240,Cuculus canorus,0,0
2020-03-19,2020,BY114,7240,Cuculus canorus,0,0
2020-03-19,2020,BY124,7240,Cuculus canorus,0,0
2020-03-19,2020,BY19,7240,Cuculus canorus,0,0
2020-03-19,2020,BY237,7240,Cuculus canorus,0,0
2020-03-20,2020,BY158,7240,Cuculus canorus,0,0
2020-03-20,2020,BY31,7240,Cuculus canorus,0,0
2020-03-20,2020,BY321,7240,Cuculus canorus,0,0
2020-03-20,2020,BY454,7240,Cuculus canorus,0,0
2020-03-22,2020,BY137,7240,Cuculus canorus,0,0
2020-03-22,2020,BY86,7240,Cuculus canorus,0,0
2020-03-25,2020,BY132,7240,Cuculus canorus,0,0
2020-03-27,2020,BY271,7240,Cuculus canorus,0,0
2020-03-27,2020,BY453,7240,Cuculus canorus,0,0
2020-03-28,2020,BY290,7240,Cuculus canorus,0,0
2020-03-28,2020,BY291,7240,Cuculus canorus,0,0
2020-03-28,2020,BY332,7240,Cuculus canorus,0,0
2020-03-28,2020,BY65,7240,Cuculus canorus,0,0
2020-04-05,2020,BY124,7240,Cuculus canorus,0,0
2020-04-05,2020,BY127,7240,Cuculus canorus,0,0
2020-04-05,2020,BY235,7240,Cuculus canorus,0,0
2020-04-07,2020,BY114,7240,Cuculus canorus,0,0
2020-04-07,2020,BY388,7240,Cuculus canorus,0,0
2020-04-08,2020,BY365,7240,Cuculus canorus,0,0
2020-04-09,2020,BY113,7240,Cuculus canorus,0,0
2020-04-09,2020,BY157,7240,Cuculus canorus,0,0
2020-04-09,2020,BY230,7240,Cuculus canorus,0,0
2020-04-10,2020,BY272,7240,Cuculus canorus,0,0
2020-04-11,2020,BY137,7240,Cuculus canorus,0,0
2020-04-11,2020,BY290,7240,Cuculus canorus,0,0
2020-04-11,2020,BY337,7240,Cuculus canorus,0,0
2020-04-11,2020,BY454,7240,Cuculus canorus,2,3
2020-04-11,2020,BY57,7240,Cuculus canorus,0,0
2020-04-13,2020,BY274,7240,Cuculus canorus,0,0
2020-04-15,2020,BY173,7240,Cuculus canorus,0,0
2020-04-15,2020,BY271,7240,Cuculus canorus,0,0
2020-04-16,2020,BY203,7240,Cuculus canorus,0,0
2020-04-17,2020,BY31,7240,Cuculus canorus,0,0
2020-04-17,2020,BY321,7240,Cuculus canorus,1,1
2020-04-17,2020,BY362,7240,Cuculus canorus,0,0
2020-04-17,2020,BY65,7240,Cuculus canorus,0,0
2020-04-18,2020,BY132,7240,Cuculus canorus,0,0
2020-04-18,2020,BY86,7240,Cuculus canorus,2,2
2020-04-22,2020,BY453,7240,Cuculus canorus,0,0
2020-04-24,2020,BY19,7240,Cuculus canorus,0,0
2020-04-28,2020,BY291,7240,Cuculus canorus,0,0
2020-04-28,2020,BY415,7240,Cuculus canorus,2,1
2020-04-30,2020,BY158,7240,Cuculus canorus,2,2
2020-04-30,2020,BY424,7240,Cuculus canorus,1,2
2020-05-01,2020,BY114,7240,Cuculus canorus,1,1
2020-05-01,2020,BY230,7240,Cuculus canorus,0,0
2020-05-02,2020,BY113,7240,Cuculus canorus,2,2
2020-05-03,2020,BY127,7240,Cuculus canorus,1,1
2020-05-03,2020,BY274,7240,Cuculus canorus,1,1
2020-05-03,2020,BY332,7240,Cuculus canorus,0,0
2020-05-07,2020,BY132,7240,Cuculus canorus,0,0
2020-05-07,2020,BY157,7240,Cuculus canorus,3,2
2020-05-07,2020,BY271,7240,Cuculus canorus,0,0
2020-05-07,2020,BY490,7240,Cuculus canorus,2,1
2020-05-07,2020,BY57,7240,Cuculus canorus,0,0
2020-05-07,2020,BY65,7240,Cuculus canorus,0,0
2020-05-08,2020,BY203,7240,Cuculus canorus,3,3
2020-05-08,2020,BY492,7240,Cuculus canorus,2,1
2020-05-09,2020,BY124,7240,Cuculus canorus,2,3
2020-05-09,2020,BY272,7240,Cuculus canorus,1,1
2020-05-09,2020,BY454,7240,Cuculus canorus,3,3
2020-05-10,2020,BY235,7240,Cuculus canorus,1,1
2020-05-10,2020,BY290,7240,Cuculus canorus,3,1
2020-05-10,2020,BY388,7240,Cuculus canorus,1,1
2020-05-11,2020,BY321,7240,Cuculus canorus,0,0
2020-05-12,2020,BY173,7240,Cuculus canorus,2,2
2020-05-12,2020,BY365,7240,Cuculus canorus,2,3
2020-05-16,2020,BY137,7240,Cuculus canorus,2,1
2020-05-16,2020,BY31,7240,Cuculus canorus,3,2
2020-05-16,2020,BY337,7240,Cuculus canorus,0,0
2020-05-16,2020,BY86,7240,Cuculus canorus,4,2
2020-05-17,2020,BY237,7240,Cuculus canorus,0,0
2020-05-17,2020,BY362,7240,Cuculus canorus,1,1
2020-05-18,2020,BY19,7240,Cuculus canorus,4,2
2020-05-19,2020,BY291,7240,Cuculus canorus,0,0
2020-05-20,2020,BY453,7240,Cuculus canorus,3,1
2020-05-20,2020,BY492,7240,Cuculus canorus,2,1
2020-05-21,2020,BY158,7240,Cuculus canorus,2,2
2020-05-21,2020,BY456,7240,Cuculus canorus,4,2
2020-05-22,2020,BY388,7240,Cuculus canorus,1,1
2020-05-24,2020,BY230,7240,Cuculus canorus,2,2
2020-05-24,2020,BY235,7240,Cuculus canorus,1,1
2020-05-24,2020,BY332,7240,Cuculus canorus,1,1
2020-05-27,2020,BY415,7240,Cuculus canorus,1,1
2020-05-27,2020,BY424,7240,Cuculus canorus,1,2
2020-05-28,2020,BY490,7240,Cuculus canorus,2,1
2020-05-29,2020,BY271,7240,Cuculus canorus,3,1
2020-05-30,2020,BY132,7240,Cuculus canorus,1,1
2020-05-30,2020,BY274,7240,Cuculus canorus,1,1
2020-05-30,2020,BY456,7240,Cuculus canorus,1,2
2020-05-31,2020,BY137,7240,Cuculus canorus,1,1
2020-05-31,2020,BY290,7240,Cuculus canorus,2,1
2020-06-01,2020,BY124,7240,Cuculus canorus,3,3
2020-06-01,2020,BY157,7240,Cuculus canorus,0,0
2020-06-01,2020,BY337,7240,Cuculus canorus,1,1
2020-06-01,2020,BY57,7240,Cuculus canorus,1,1
2020-06-02,2020,BY157,7240,Cuculus canorus,2,2
2020-06-02,2020,BY19,7240,Cuculus canorus,1,2
2020-06-02,2020,BY65,7240,Cuculus canorus,1,1
2020-06-03,2020,BY456,7240,Cuculus canorus,1,2
2020-06-09,2020,BY31,7240,Cuculus canorus,0,0
2020-06-12,2020,BY272,7240,Cuculus canorus,1,1
2020-06-12,2020,BY365,7240,Cuculus canorus,1,3
2020-06-12,2020,BY388,7240,Cuculus canorus,1,1
2020-06-13,2020,BY114,7240,Cuculus canorus,0,0
2020-06-13,2020,BY158,7240,Cuculus canorus,0,0
2020-06-13,2020,BY237,7240,Cuculus canorus,3,2
2020-06-13,2020,BY321,7240,Cuculus canorus,2,1
2020-06-13,2020,BY332,7240,Cuculus canorus,0,0
2020-06-13,2020,BY454,7240,Cuculus canorus,2,3
2020-06-13,2020,BY86,7240,Cuculus canorus,4,2
2020-06-14,2020,BY127,7240,Cuculus canorus,0,0
2020-06-16,2020,BY173,7240,Cuculus canorus,1,2
2020-06-17,2020,BY453,7240,Cuculus canorus,0,0
2020-06-18,2020,BY113,7240,Cuculus canorus,2,2
2020-06-18,2020,BY203,7240,Cuculus canorus,1,3
2020-06-18,2020,BY362,7240,Cuculus canorus,0,0
2020-06-20,2020,BY291,7240,Cuculus canorus,1,1
2020-06-24,2020,BY456,7240,Cuculus canorus,1,2
2020-06-24,2020,BY492,7240,Cuculus canorus,0,0
2020-06-25,2020,BY424,7240,Cuculus canorus,0,0
2020-07-09,2020,BY415,7240,Cuculus canorus,0,0
2020-07-09,2020,BY492,7240,Cuculus canorus,0,0
2020-07-13,2020,BY490,7240,Cuculus canorus,0,0
2020-07-23,2020,BY424,7240,Cuculus canorus,0,0
2020-07-31,2020,BY490,7240,Cuculus canorus,0,0
2021-03-13,2021,BY113,7240,Cuculus canorus,0,0
2021-03-13,2021,BY237,7240,Cuculus canorus,0,0
2021-03-13,2021,BY302,7240,Cuculus canorus,0,0
2021-03-13,2021,BY332,7240,Cuculus canorus,0,0
2021-03-13,2021,BY454,7240,Cuculus canorus,0,0
2021-03-20,2021,BY114,7240,Cuculus canorus,0,0
2021-03-20,2021,BY116,7240,Cuculus canorus,0,0
2021-03-20,2021,BY124,7240,Cuculus canorus,0,0
2021-03-20,2021,BY241,7240,Cuculus canorus,0,0
2021-03-20,2021,BY337,7240,Cuculus canorus,0,0
