DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-28,2020,BY332,1520,Cygnus olor,0,0
2020-05-03,2020,BY332,1520,Cygnus olor,0,0
2020-05-24,2020,BY332,1520,Cygnus olor,7,1
2020-06-13,2020,BY332,1520,Cygnus olor,0,0
2021-03-13,2021,BY113,1520,Cygnus olor,0,0
2021-03-24,2021,BY324,1520,Cygnus olor,37,1
2021-03-24,2021,BY358,1520,Cygnus olor,0,0
2021-03-28,2021,BY82,1520,Cygnus olor,1,1
2021-04-04,2021,BY113,1520,Cygnus olor,1,1
2021-04-11,2021,BY358,1520,Cygnus olor,4,1
2021-04-20,2021,BY324,1520,Cygnus olor,5,1
2021-04-25,2021,BY82,1520,Cygnus olor,1,1
2021-05-04,2021,BY113,1520,Cygnus olor,0,0
2021-05-09,2021,BY358,1520,Cygnus olor,2,1
2021-05-09,2021,BY82,1520,Cygnus olor,4,1
2021-05-14,2021,BY324,1520,Cygnus olor,0,0
2021-06-03,2021,BY82,1520,Cygnus olor,0,0
2021-06-10,2021,BY113,1520,Cygnus olor,1,1
2021-06-11,2021,BY324,1520,Cygnus olor,0,0
2021-06-13,2021,BY358,1520,Cygnus olor,0,0
2022-03-11,2022,BY274,1520,Cygnus olor,0,0
2022-03-13,2022,BY113,1520,Cygnus olor,1,1
2022-03-24,2022,BY358,1520,Cygnus olor,2,1
2022-04-17,2022,BY113,1520,Cygnus olor,2,1
2022-04-20,2022,BY274,1520,Cygnus olor,0,0
2022-04-28,2022,BY358,1520,Cygnus olor,1,1
2022-05-05,2022,BY113,1520,Cygnus olor,2,1
2022-05-09,2022,BY358,1520,Cygnus olor,2,1
2022-05-20,2022,BY274,1520,Cygnus olor,2,1
2022-06-05,2022,BY358,1520,Cygnus olor,7,1
2022-06-11,2022,BY113,1520,Cygnus olor,1,1
2022-06-20,2022,BY274,1520,Cygnus olor,0,0
2023-03-17,2023,BY358,1520,Cygnus olor,0,0
2023-03-18,2023,BY235,1520,Cygnus olor,4,2
2023-03-19,2023,BY82,1520,Cygnus olor,0,0
2023-03-20,2023,BY118,1520,Cygnus olor,0,0
2023-03-26,2023,BY113,1520,Cygnus olor,1,1
2023-03-27,2023,BY64,1520,Cygnus olor,0,0
2023-03-30,2023,BY332,1520,Cygnus olor,0,0
2023-04-01,2023,BY275,1520,Cygnus olor,2,1
2023-04-04,2023,BY235,1520,Cygnus olor,0,0
2023-04-10,2023,BY113,1520,Cygnus olor,7,1
2023-04-10,2023,BY82,1520,Cygnus olor,0,0
2023-04-15,2023,BY275,1520,Cygnus olor,0,0
2023-04-22,2023,BY332,1520,Cygnus olor,0,0
2023-04-24,2023,BY64,1520,Cygnus olor,1,1
2023-04-27,2023,BY358,1520,Cygnus olor,0,0
2023-05-01,2023,BY82,1520,Cygnus olor,0,0
2023-05-04,2023,BY113,1520,Cygnus olor,1,1
2023-05-04,2023,BY118,1520,Cygnus olor,1,1
2023-05-06,2023,BY275,1520,Cygnus olor,2,1
2023-05-09,2023,BY358,1520,Cygnus olor,4,1
2023-05-13,2023,BY235,1520,Cygnus olor,0,0
2023-05-13,2023,BY64,1520,Cygnus olor,0,0
2023-05-14,2023,BY332,1520,Cygnus olor,2,1
2023-05-20,2023,BY275,1520,Cygnus olor,2,1
2023-05-21,2023,BY235,1520,Cygnus olor,2,2
2023-06-01,2023,BY358,1520,Cygnus olor,0,0
2023-06-03,2023,BY64,1520,Cygnus olor,2,1
2023-06-08,2023,BY82,1520,Cygnus olor,2,1
2023-06-10,2023,BY118,1520,Cygnus olor,2,1
2023-06-11,2023,BY113,1520,Cygnus olor,4,1
2023-06-18,2023,BY332,1520,Cygnus olor,0,0
2023-06-20,2023,BY118,1520,Cygnus olor,2,1
2024-03-10,2024,BY332,1520,Cygnus olor,3,1
2024-03-10,2024,BY401,1520,Cygnus olor,2,2
2024-03-17,2024,BY113,1520,Cygnus olor,2,2
2024-03-17,2024,BY82,1520,Cygnus olor,0,0
2024-03-29,2024,BY90,1520,Cygnus olor,2,2
2024-04-06,2024,BY113,1520,Cygnus olor,2,2
2024-04-07,2024,BY332,1520,Cygnus olor,0,0
2024-04-07,2024,BY82,1520,Cygnus olor,0,0
2024-04-11,2024,BY401,1520,Cygnus olor,3,2
2024-04-14,2024,BY90,1520,Cygnus olor,1,2
2024-05-01,2024,BY82,1520,Cygnus olor,2,1
2024-05-04,2024,BY113,1520,Cygnus olor,2,2
2024-05-09,2024,BY332,1520,Cygnus olor,0,0
2024-05-09,2024,BY401,1520,Cygnus olor,2,2
2024-05-12,2024,BY90,1520,Cygnus olor,0,0
2024-06-08,2024,BY401,1520,Cygnus olor,2,2
2024-06-09,2024,BY90,1520,Cygnus olor,4,2
2024-06-11,2024,BY113,1520,Cygnus olor,5,2
2024-06-16,2024,BY332,1520,Cygnus olor,1,1
2024-06-16,2024,BY82,1520,Cygnus olor,0,0
