DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY121,10010,Delichon urbicum,0,0
2020-03-15,2020,BY230,10010,Delichon urbicum,0,0
2020-03-15,2020,BY242,10010,Delichon urbicum,0,0
2020-03-15,2020,BY337,10010,Delichon urbicum,0,0
2020-03-16,2020,BY151,10010,Delichon urbicum,0,0
2020-03-17,2020,BY276,10010,Delichon urbicum,0,0
2020-03-18,2020,BY173,10010,Delichon urbicum,0,0
2020-03-20,2020,BY158,10010,Delichon urbicum,0,0
2020-03-20,2020,BY454,10010,Delichon urbicum,0,0
2020-03-27,2020,BY120,10010,Delichon urbicum,0,0
2020-03-27,2020,BY139,10010,Delichon urbicum,0,0
2020-04-05,2020,BY242,10010,Delichon urbicum,0,0
2020-04-08,2020,BY151,10010,Delichon urbicum,0,0
2020-04-09,2020,BY230,10010,Delichon urbicum,0,0
2020-04-10,2020,BY121,10010,Delichon urbicum,0,0
2020-04-11,2020,BY337,10010,Delichon urbicum,0,0
2020-04-11,2020,BY454,10010,Delichon urbicum,0,0
2020-04-13,2020,BY274,10010,Delichon urbicum,0,0
2020-04-15,2020,BY173,10010,Delichon urbicum,0,0
2020-04-17,2020,BY276,10010,Delichon urbicum,0,0
2020-04-18,2020,BY120,10010,Delichon urbicum,0,0
2020-04-18,2020,BY161,10010,Delichon urbicum,0,0
2020-04-24,2020,BY139,10010,Delichon urbicum,0,0
2020-04-30,2020,BY158,10010,Delichon urbicum,0,0
2020-05-01,2020,BY230,10010,Delichon urbicum,0,0
2020-05-03,2020,BY274,10010,Delichon urbicum,0,0
2020-05-05,2020,BY151,10010,Delichon urbicum,0,0
2020-05-09,2020,BY454,10010,Delichon urbicum,0,0
2020-05-10,2020,BY242,10010,Delichon urbicum,0,0
2020-05-12,2020,BY173,10010,Delichon urbicum,0,0
2020-05-15,2020,BY139,10010,Delichon urbicum,0,0
2020-05-16,2020,BY120,10010,Delichon urbicum,0,0
2020-05-16,2020,BY121,10010,Delichon urbicum,0,0
2020-05-16,2020,BY337,10010,Delichon urbicum,0,0
2020-05-17,2020,BY276,10010,Delichon urbicum,2,0
2020-05-21,2020,BY158,10010,Delichon urbicum,2,0
2020-05-21,2020,BY435,10010,Delichon urbicum,0,0
2020-05-24,2020,BY230,10010,Delichon urbicum,0,0
2020-05-30,2020,BY274,10010,Delichon urbicum,0,0
2020-06-01,2020,BY337,10010,Delichon urbicum,0,0
2020-06-08,2020,BY151,10010,Delichon urbicum,0,0
2020-06-12,2020,BY121,10010,Delichon urbicum,0,0
2020-06-12,2020,BY139,10010,Delichon urbicum,0,0
2020-06-12,2020,BY242,10010,Delichon urbicum,0,0
2020-06-12,2020,BY276,10010,Delichon urbicum,0,0
2020-06-13,2020,BY158,10010,Delichon urbicum,0,0
2020-06-13,2020,BY454,10010,Delichon urbicum,0,0
2020-06-16,2020,BY173,10010,Delichon urbicum,1,0
2020-06-18,2020,BY120,10010,Delichon urbicum,0,0
2020-07-12,2020,BY435,10010,Delichon urbicum,0,0
