DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,8630,Dryocopus martius,0,0
2020-03-14,2020,BY275,8630,Dryocopus martius,0,0
2020-03-15,2020,BY230,8630,Dryocopus martius,0,0
2020-03-15,2020,BY57,8630,Dryocopus martius,0,0
2020-03-17,2020,BY276,8630,Dryocopus martius,1,0
2020-03-25,2020,BY238,8630,Dryocopus martius,0,0
2020-03-27,2020,BY120,8630,Dryocopus martius,0,0
2020-03-27,2020,BY139,8630,Dryocopus martius,0,0
2020-03-27,2020,BY460,8630,Dryocopus martius,0,0
2020-03-28,2020,BY290,8630,Dryocopus martius,0,0
2020-04-05,2020,BY275,8630,Dryocopus martius,0,0
2020-04-09,2020,BY230,8630,Dryocopus martius,0,0
2020-04-11,2020,BY290,8630,Dryocopus martius,0,0
2020-04-11,2020,BY57,8630,Dryocopus martius,0,0
2020-04-13,2020,BY274,8630,Dryocopus martius,0,0
2020-04-16,2020,BY203,8630,Dryocopus martius,0,0
2020-04-16,2020,BY460,8630,Dryocopus martius,0,0
2020-04-17,2020,BY276,8630,Dryocopus martius,1,0
2020-04-18,2020,BY120,8630,Dryocopus martius,0,0
2020-04-24,2020,BY139,8630,Dryocopus martius,0,0
2020-04-29,2020,BY238,8630,Dryocopus martius,0,0
2020-04-30,2020,BY424,8630,Dryocopus martius,0,0
2020-05-01,2020,BY230,8630,Dryocopus martius,0,0
2020-05-03,2020,BY274,8630,Dryocopus martius,0,0
2020-05-03,2020,BY275,8630,Dryocopus martius,0,0
2020-05-07,2020,BY57,8630,Dryocopus martius,0,0
2020-05-08,2020,BY203,8630,Dryocopus martius,0,0
2020-05-08,2020,BY492,8630,Dryocopus martius,0,0
2020-05-10,2020,BY290,8630,Dryocopus martius,0,0
2020-05-15,2020,BY139,8630,Dryocopus martius,0,0
2020-05-16,2020,BY120,8630,Dryocopus martius,1,0
2020-05-17,2020,BY276,8630,Dryocopus martius,0,0
2020-05-17,2020,BY460,8630,Dryocopus martius,0,0
2020-05-19,2020,BY238,8630,Dryocopus martius,1,0
2020-05-20,2020,BY492,8630,Dryocopus martius,1,0
2020-05-21,2020,BY456,8630,Dryocopus martius,0,0
2020-05-24,2020,BY230,8630,Dryocopus martius,0,0
2020-05-24,2020,BY275,8630,Dryocopus martius,0,0
2020-05-27,2020,BY424,8630,Dryocopus martius,0,0
2020-05-30,2020,BY274,8630,Dryocopus martius,0,0
2020-05-30,2020,BY456,8630,Dryocopus martius,0,0
2020-05-31,2020,BY290,8630,Dryocopus martius,1,0
2020-06-01,2020,BY57,8630,Dryocopus martius,0,0
2020-06-03,2020,BY238,8630,Dryocopus martius,0,0
2020-06-03,2020,BY456,8630,Dryocopus martius,0,0
2020-06-12,2020,BY139,8630,Dryocopus martius,0,0
2020-06-12,2020,BY276,8630,Dryocopus martius,0,0
2020-06-17,2020,BY460,8630,Dryocopus martius,0,0
2020-06-18,2020,BY120,8630,Dryocopus martius,0,0
2020-06-18,2020,BY203,8630,Dryocopus martius,0,0
2020-06-24,2020,BY456,8630,Dryocopus martius,0,0
2020-06-24,2020,BY492,8630,Dryocopus martius,0,0
2020-06-25,2020,BY424,8630,Dryocopus martius,0,0
2020-07-09,2020,BY492,8630,Dryocopus martius,0,0
2020-07-23,2020,BY424,8630,Dryocopus martius,0,0
2021-03-18,2021,BY182,8630,Dryocopus martius,0,0
2021-03-21,2021,BY203,8630,Dryocopus martius,1,0
2021-03-21,2021,BY274,8630,Dryocopus martius,0,0
2021-03-21,2021,BY86,8630,Dryocopus martius,0,0
2021-03-22,2021,BY230,8630,Dryocopus martius,0,0
2021-03-22,2021,BY31,8630,Dryocopus martius,0,0
2021-03-24,2021,BY170,8630,Dryocopus martius,0,0
2021-03-25,2021,BY355,8630,Dryocopus martius,0,0
2021-03-26,2021,BY164,8630,Dryocopus martius,0,0
2021-03-26,2021,BY17,8630,Dryocopus martius,0,0
2021-03-26,2021,BY172,8630,Dryocopus martius,0,0
2021-03-26,2021,BY186,8630,Dryocopus martius,0,0
2021-03-26,2021,BY57,8630,Dryocopus martius,0,0
