DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,18820,Emberiza calandra,0,0
2020-03-19,2020,BY109,18820,Emberiza calandra,2,6
2020-04-10,2020,BY272,18820,Emberiza calandra,0,0
2020-04-26,2020,BY109,18820,Emberiza calandra,10,6
2020-05-09,2020,BY272,18820,Emberiza calandra,0,0
2020-05-20,2020,BY109,18820,Emberiza calandra,12,6
2020-06-12,2020,BY272,18820,Emberiza calandra,0,0
2020-06-20,2020,BY109,18820,Emberiza calandra,12,6
2021-03-16,2021,BY110,18820,Emberiza calandra,0,0
2021-03-19,2021,BY117,18820,Emberiza calandra,0,0
2021-03-23,2021,BY338,18820,Emberiza calandra,0,0
2021-03-24,2021,BY109,18820,Emberiza calandra,9,7
2021-03-24,2021,BY8,18820,Emberiza calandra,0,0
2021-03-25,2021,BY272,18820,Emberiza calandra,0,0
2021-03-26,2021,BY22,18820,Emberiza calandra,0,0
2021-04-14,2021,BY8,18820,Emberiza calandra,0,0
2021-04-15,2021,BY117,18820,Emberiza calandra,0,0
2021-04-16,2021,BY110,18820,Emberiza calandra,0,0
2021-04-23,2021,BY338,18820,Emberiza calandra,0,0
2021-04-24,2021,BY109,18820,Emberiza calandra,11,7
2021-04-24,2021,BY272,18820,Emberiza calandra,0,0
2021-04-25,2021,BY22,18820,Emberiza calandra,0,0
2021-05-09,2021,BY117,18820,Emberiza calandra,0,0
2021-05-10,2021,BY272,18820,Emberiza calandra,0,0
2021-05-14,2021,BY109,18820,Emberiza calandra,8,7
2021-05-14,2021,BY22,18820,Emberiza calandra,0,0
2021-05-16,2021,BY338,18820,Emberiza calandra,0,0
2021-05-17,2021,BY110,18820,Emberiza calandra,0,0
2021-05-19,2021,BY8,18820,Emberiza calandra,0,0
2021-06-02,2021,BY117,18820,Emberiza calandra,0,0
2021-06-03,2021,BY272,18820,Emberiza calandra,0,0
2021-06-08,2021,BY22,18820,Emberiza calandra,0,0
2021-06-11,2021,BY8,18820,Emberiza calandra,0,0
2021-06-12,2021,BY109,18820,Emberiza calandra,9,7
2021-06-12,2021,BY338,18820,Emberiza calandra,0,0
2021-06-14,2021,BY110,18820,Emberiza calandra,0,0
2022-03-18,2022,BY272,18820,Emberiza calandra,0,0
2022-03-19,2022,BY117,18820,Emberiza calandra,0,0
2022-03-19,2022,BY338,18820,Emberiza calandra,0,0
2022-03-20,2022,BY63,18820,Emberiza calandra,0,0
2022-03-24,2022,BY24,18820,Emberiza calandra,0,0
2022-03-24,2022,BY8,18820,Emberiza calandra,0,0
2022-03-25,2022,BY110,18820,Emberiza calandra,0,0
2022-03-26,2022,BY22,18820,Emberiza calandra,0,0
2022-03-27,2022,BY109,18820,Emberiza calandra,7,11
2022-03-27,2022,BY125,18820,Emberiza calandra,0,0
2022-04-15,2022,BY272,18820,Emberiza calandra,1,0
2022-04-16,2022,BY125,18820,Emberiza calandra,0,0
2022-04-17,2022,BY117,18820,Emberiza calandra,0,0
2022-04-18,2022,BY22,18820,Emberiza calandra,0,0
2022-04-19,2022,BY338,18820,Emberiza calandra,0,0
2022-04-22,2022,BY110,18820,Emberiza calandra,0,0
2022-04-22,2022,BY8,18820,Emberiza calandra,0,0
2022-04-23,2022,BY24,18820,Emberiza calandra,0,0
2022-04-27,2022,BY109,18820,Emberiza calandra,8,11
2022-04-27,2022,BY63,18820,Emberiza calandra,0,0
2022-05-02,2022,BY110,18820,Emberiza calandra,0,0
2022-05-09,2022,BY125,18820,Emberiza calandra,0,0
2022-05-14,2022,BY22,18820,Emberiza calandra,0,0
2022-05-14,2022,BY338,18820,Emberiza calandra,0,0
2022-05-14,2022,BY63,18820,Emberiza calandra,0,0
2022-05-15,2022,BY109,18820,Emberiza calandra,12,11
2022-05-15,2022,BY24,18820,Emberiza calandra,0,0
2022-05-15,2022,BY272,18820,Emberiza calandra,0,0
2022-05-16,2022,BY117,18820,Emberiza calandra,0,0
2022-05-17,2022,BY8,18820,Emberiza calandra,0,0
2022-06-04,2022,BY125,18820,Emberiza calandra,0,0
2022-06-04,2022,BY24,18820,Emberiza calandra,0,0
2022-06-04,2022,BY338,18820,Emberiza calandra,0,0
2022-06-06,2022,BY110,18820,Emberiza calandra,0,0
2022-06-06,2022,BY272,18820,Emberiza calandra,0,0
2022-06-08,2022,BY117,18820,Emberiza calandra,0,0
2022-06-13,2022,BY22,18820,Emberiza calandra,0,0
2022-06-15,2022,BY8,18820,Emberiza calandra,1,1
2022-06-16,2022,BY63,18820,Emberiza calandra,0,0
2022-06-18,2022,BY109,18820,Emberiza calandra,18,11
2023-03-11,2023,BY28,18820,Emberiza calandra,0,0
2023-03-12,2023,BY338,18820,Emberiza calandra,0,0
2023-03-17,2023,BY117,18820,Emberiza calandra,0,0
2023-03-18,2023,BY24,18820,Emberiza calandra,0,0
2023-03-18,2023,BY63,18820,Emberiza calandra,0,0
2023-03-18,2023,BY68,18820,Emberiza calandra,0,0
2023-03-20,2023,BY125,18820,Emberiza calandra,0,0
2023-03-21,2023,BY74,18820,Emberiza calandra,0,0
2023-03-22,2023,BY109,18820,Emberiza calandra,12,10
2023-03-22,2023,BY272,18820,Emberiza calandra,0,0
2023-03-22,2023,BY8,18820,Emberiza calandra,0,0
2023-03-27,2023,BY110,18820,Emberiza calandra,0,0
2023-04-13,2023,BY117,18820,Emberiza calandra,2,0
2023-04-15,2023,BY125,18820,Emberiza calandra,0,0
2023-04-15,2023,BY24,18820,Emberiza calandra,0,0
2023-04-15,2023,BY272,18820,Emberiza calandra,0,0
2023-04-19,2023,BY74,18820,Emberiza calandra,0,0
2023-04-19,2023,BY8,18820,Emberiza calandra,0,0
2023-04-20,2023,BY110,18820,Emberiza calandra,0,0
2023-04-22,2023,BY109,18820,Emberiza calandra,16,10
2023-04-22,2023,BY28,18820,Emberiza calandra,0,0
2023-04-27,2023,BY338,18820,Emberiza calandra,0,0
2023-04-27,2023,BY63,18820,Emberiza calandra,0,0
2023-04-27,2023,BY68,18820,Emberiza calandra,0,0
2023-05-04,2023,BY117,18820,Emberiza calandra,0,0
2023-05-04,2023,BY272,18820,Emberiza calandra,0,0
2023-05-06,2023,BY125,18820,Emberiza calandra,0,0
2023-05-06,2023,BY24,18820,Emberiza calandra,0,0
2023-05-06,2023,BY28,18820,Emberiza calandra,0,0
2023-05-09,2023,BY74,18820,Emberiza calandra,0,0
2023-05-12,2023,BY8,18820,Emberiza calandra,0,0
2023-05-16,2023,BY63,18820,Emberiza calandra,0,0
2023-05-18,2023,BY68,18820,Emberiza calandra,0,0
2023-05-19,2023,BY109,18820,Emberiza calandra,13,10
2023-05-19,2023,BY110,18820,Emberiza calandra,0,0
2023-05-19,2023,BY338,18820,Emberiza calandra,0,0
2023-05-21,2023,BY24,18820,Emberiza calandra,0,0
2023-05-30,2023,BY74,18820,Emberiza calandra,0,0
2023-06-03,2023,BY272,18820,Emberiza calandra,0,0
2023-06-04,2023,BY117,18820,Emberiza calandra,0,0
2023-06-07,2023,BY125,18820,Emberiza calandra,0,0
2023-06-09,2023,BY110,18820,Emberiza calandra,0,0
2023-06-09,2023,BY63,18820,Emberiza calandra,1,1
2023-06-12,2023,BY28,18820,Emberiza calandra,0,0
2023-06-14,2023,BY68,18820,Emberiza calandra,0,0
2023-06-14,2023,BY8,18820,Emberiza calandra,0,0
2023-06-18,2023,BY109,18820,Emberiza calandra,7,10
2023-06-18,2023,BY338,18820,Emberiza calandra,0,0
2024-03-13,2024,BY110,18820,Emberiza calandra,0,0
2024-03-14,2024,BY80,18820,Emberiza calandra,0,0
2024-03-16,2024,BY74,18820,Emberiza calandra,0,0
