DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,18820,Emberiza calandra,2,6
2020-04-26,2020,BY109,18820,Emberiza calandra,10,6
2020-05-20,2020,BY109,18820,Emberiza calandra,12,6
2020-06-20,2020,BY109,18820,Emberiza calandra,12,6
2021-03-24,2021,BY109,18820,Emberiza calandra,9,7
2021-04-24,2021,BY109,18820,Emberiza calandra,11,7
2021-05-14,2021,BY109,18820,Emberiza calandra,8,7
2021-06-12,2021,BY109,18820,Emberiza calandra,9,7
2022-03-24,2022,BY8,18820,Emberiza calandra,0,0
2022-03-27,2022,BY109,18820,Emberiza calandra,7,11
2022-04-22,2022,BY8,18820,Emberiza calandra,0,0
2022-04-27,2022,BY109,18820,Emberiza calandra,8,11
2022-05-15,2022,BY109,18820,Emberiza calandra,12,11
2022-05-17,2022,BY8,18820,Emberiza calandra,0,0
2022-06-15,2022,BY8,18820,Emberiza calandra,1,1
2022-06-18,2022,BY109,18820,Emberiza calandra,18,11
2023-03-18,2023,BY63,18820,Emberiza calandra,0,0
2023-03-22,2023,BY109,18820,Emberiza calandra,12,10
2023-04-22,2023,BY109,18820,Emberiza calandra,16,10
2023-04-27,2023,BY63,18820,Emberiza calandra,0,0
2023-05-16,2023,BY63,18820,Emberiza calandra,0,0
2023-05-19,2023,BY109,18820,Emberiza calandra,13,10
2023-06-09,2023,BY63,18820,Emberiza calandra,1,1
2023-06-18,2023,BY109,18820,Emberiza calandra,7,10
2024-03-13,2024,BY110,18820,Emberiza calandra,0,0
2024-03-16,2024,BY74,18820,Emberiza calandra,0,0
2024-03-17,2024,BY125,18820,Emberiza calandra,1,2
2024-03-17,2024,BY338,18820,Emberiza calandra,0,0
2024-03-20,2024,BY68,18820,Emberiza calandra,1,3
2024-03-22,2024,BY28,18820,Emberiza calandra,0,0
2024-03-22,2024,BY63,18820,Emberiza calandra,0,0
2024-03-24,2024,BY24,18820,Emberiza calandra,0,0
2024-03-30,2024,BY109,18820,Emberiza calandra,6,11
2024-04-13,2024,BY125,18820,Emberiza calandra,0,0
2024-04-14,2024,BY28,18820,Emberiza calandra,0,0
2024-04-15,2024,BY24,18820,Emberiza calandra,0,0
2024-04-17,2024,BY110,18820,Emberiza calandra,0,0
2024-04-22,2024,BY109,18820,Emberiza calandra,6,11
2024-04-22,2024,BY74,18820,Emberiza calandra,1,3
2024-04-23,2024,BY63,18820,Emberiza calandra,0,0
2024-04-24,2024,BY68,18820,Emberiza calandra,3,3
2024-04-26,2024,BY338,18820,Emberiza calandra,1,1
2024-05-04,2024,BY125,18820,Emberiza calandra,0,0
2024-05-04,2024,BY74,18820,Emberiza calandra,4,3
2024-05-09,2024,BY28,18820,Emberiza calandra,1,2
2024-05-11,2024,BY24,18820,Emberiza calandra,1,1
2024-05-13,2024,BY109,18820,Emberiza calandra,7,11
2024-05-13,2024,BY110,18820,Emberiza calandra,0,0
2024-05-19,2024,BY63,18820,Emberiza calandra,1,1
2024-05-20,2024,BY68,18820,Emberiza calandra,3,3
2024-05-22,2024,BY338,18820,Emberiza calandra,0,0
2024-05-26,2024,BY24,18820,Emberiza calandra,0,0
2024-05-27,2024,BY74,18820,Emberiza calandra,1,3
2024-06-06,2024,BY28,18820,Emberiza calandra,5,2
2024-06-07,2024,BY125,18820,Emberiza calandra,2,2
2024-06-11,2024,BY110,18820,Emberiza calandra,1,1
2024-06-12,2024,BY68,18820,Emberiza calandra,2,3
2024-06-13,2024,BY63,18820,Emberiza calandra,0,0
2024-06-18,2024,BY109,18820,Emberiza calandra,14,11
2024-06-19,2024,BY338,18820,Emberiza calandra,2,1
