DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,18770,Emberiza schoeniclus,0,0
2020-03-14,2020,BY272,18770,Emberiza schoeniclus,7,8
2020-03-15,2020,BY113,18770,Emberiza schoeniclus,0,0
2020-03-19,2020,BY237,18770,Emberiza schoeniclus,5,4
2020-03-20,2020,BY454,18770,Emberiza schoeniclus,0,0
2020-03-27,2020,BY369,18770,Emberiza schoeniclus,2,1
2020-04-09,2020,BY113,18770,Emberiza schoeniclus,1,6
2020-04-10,2020,BY272,18770,Emberiza schoeniclus,4,8
2020-04-11,2020,BY454,18770,Emberiza schoeniclus,0,0
2020-04-16,2020,BY203,18770,Emberiza schoeniclus,1,5
2020-04-26,2020,BY369,18770,Emberiza schoeniclus,1,1
2020-05-02,2020,BY113,18770,Emberiza schoeniclus,5,6
2020-05-08,2020,BY203,18770,Emberiza schoeniclus,4,5
2020-05-09,2020,BY272,18770,Emberiza schoeniclus,4,8
2020-05-09,2020,BY454,18770,Emberiza schoeniclus,0,0
2020-05-17,2020,BY237,18770,Emberiza schoeniclus,1,4
2020-05-31,2020,BY369,18770,Emberiza schoeniclus,1,1
2020-06-12,2020,BY272,18770,Emberiza schoeniclus,8,8
2020-06-13,2020,BY237,18770,Emberiza schoeniclus,3,4
2020-06-13,2020,BY454,18770,Emberiza schoeniclus,1,1
2020-06-18,2020,BY113,18770,Emberiza schoeniclus,5,6
2020-06-18,2020,BY203,18770,Emberiza schoeniclus,1,5
2020-06-27,2020,BY369,18770,Emberiza schoeniclus,1,1
2021-03-13,2021,BY113,18770,Emberiza schoeniclus,2,13
2021-03-13,2021,BY237,18770,Emberiza schoeniclus,0,0
2021-03-13,2021,BY302,18770,Emberiza schoeniclus,0,0
2021-03-13,2021,BY332,18770,Emberiza schoeniclus,0,0
2021-03-21,2021,BY203,18770,Emberiza schoeniclus,0,0
2021-03-24,2021,BY324,18770,Emberiza schoeniclus,2,2
2021-03-25,2021,BY272,18770,Emberiza schoeniclus,6,4
