DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY113,10990,Erithacus rubecula,0,0
2020-03-15,2020,BY242,10990,Erithacus rubecula,2,0
2020-03-19,2020,BY109,10990,Erithacus rubecula,0,0
2020-03-19,2020,BY237,10990,Erithacus rubecula,8,0
2020-03-31,2020,BY169,10990,Erithacus rubecula,5,0
2020-04-05,2020,BY242,10990,Erithacus rubecula,1,0
2020-04-09,2020,BY113,10990,Erithacus rubecula,1,0
2020-04-18,2020,BY169,10990,Erithacus rubecula,1,0
2020-04-26,2020,BY109,10990,Erithacus rubecula,0,0
2020-05-02,2020,BY113,10990,Erithacus rubecula,0,0
2020-05-10,2020,BY242,10990,Erithacus rubecula,0,0
2020-05-17,2020,BY169,10990,Erithacus rubecula,0,0
2020-05-17,2020,BY237,10990,Erithacus rubecula,0,0
2020-05-20,2020,BY109,10990,Erithacus rubecula,0,0
2020-05-21,2020,BY435,10990,Erithacus rubecula,5,0
2020-06-12,2020,BY242,10990,Erithacus rubecula,0,0
2020-06-13,2020,BY237,10990,Erithacus rubecula,0,0
2020-06-18,2020,BY113,10990,Erithacus rubecula,0,0
2020-06-19,2020,BY169,10990,Erithacus rubecula,0,0
2020-06-20,2020,BY109,10990,Erithacus rubecula,0,0
2020-07-12,2020,BY435,10990,Erithacus rubecula,0,0
2020-09-11,2020,BY435,10990,Erithacus rubecula,0,0
2021-03-13,2021,BY113,10990,Erithacus rubecula,0,0
2021-03-13,2021,BY237,10990,Erithacus rubecula,3,0
2021-03-24,2021,BY109,10990,Erithacus rubecula,0,0
2021-03-25,2021,BY106,10990,Erithacus rubecula,1,0
2021-03-25,2021,BY272,10990,Erithacus rubecula,1,0
2021-03-26,2021,BY160,10990,Erithacus rubecula,2,0
2021-03-26,2021,BY242,10990,Erithacus rubecula,4,0
2021-03-27,2021,BY169,10990,Erithacus rubecula,3,0
2021-03-28,2021,BY139,10990,Erithacus rubecula,14,0
2021-03-29,2021,BY118,10990,Erithacus rubecula,1,0
2021-03-29,2021,BY201,10990,Erithacus rubecula,3,0
2021-04-04,2021,BY113,10990,Erithacus rubecula,3,0
2021-04-11,2021,BY237,10990,Erithacus rubecula,3,0
2021-04-11,2021,BY242,10990,Erithacus rubecula,2,0
2021-04-16,2021,BY118,10990,Erithacus rubecula,0,0
2021-04-24,2021,BY109,10990,Erithacus rubecula,0,0
2021-04-24,2021,BY139,10990,Erithacus rubecula,11,0
2021-04-24,2021,BY272,10990,Erithacus rubecula,1,0
2021-04-25,2021,BY106,10990,Erithacus rubecula,0,0
2021-04-25,2021,BY169,10990,Erithacus rubecula,0,0
2021-04-25,2021,BY201,10990,Erithacus rubecula,2,0
2021-04-26,2021,BY160,10990,Erithacus rubecula,0,0
2021-05-04,2021,BY113,10990,Erithacus rubecula,0,0
2021-05-09,2021,BY139,10990,Erithacus rubecula,6,0
2021-05-09,2021,BY242,10990,Erithacus rubecula,0,0
2021-05-10,2021,BY272,10990,Erithacus rubecula,0,0
2021-05-11,2021,BY201,10990,Erithacus rubecula,0,0
2021-05-11,2021,BY237,10990,Erithacus rubecula,0,0
2021-05-14,2021,BY109,10990,Erithacus rubecula,0,0
2021-05-18,2021,BY106,10990,Erithacus rubecula,0,0
2021-05-18,2021,BY160,10990,Erithacus rubecula,0,0
2021-05-19,2021,BY118,10990,Erithacus rubecula,0,0
2021-05-19,2021,BY169,10990,Erithacus rubecula,0,0
2021-05-24,2021,BY242,10990,Erithacus rubecula,0,0
2021-06-01,2021,BY237,10990,Erithacus rubecula,0,0
2021-06-03,2021,BY169,10990,Erithacus rubecula,0,0
2021-06-03,2021,BY272,10990,Erithacus rubecula,0,0
2021-06-07,2021,BY106,10990,Erithacus rubecula,0,0
2021-06-07,2021,BY139,10990,Erithacus rubecula,8,0
2021-06-10,2021,BY113,10990,Erithacus rubecula,0,0
2021-06-11,2021,BY118,10990,Erithacus rubecula,0,0
2021-06-12,2021,BY109,10990,Erithacus rubecula,0,0
2021-06-12,2021,BY201,10990,Erithacus rubecula,0,0
2021-06-14,2021,BY160,10990,Erithacus rubecula,0,0
2021-06-19,2021,BY471,10990,Erithacus rubecula,0,0
2021-07-10,2021,BY471,10990,Erithacus rubecula,0,0
2021-07-29,2021,BY471,10990,Erithacus rubecula,0,0
2022-03-12,2022,BY203,10990,Erithacus rubecula,0,0
2022-03-13,2022,BY113,10990,Erithacus rubecula,0,0
2022-03-13,2022,BY188,10990,Erithacus rubecula,0,0
2022-03-18,2022,BY272,10990,Erithacus rubecula,5,0
2022-03-20,2022,BY242,10990,Erithacus rubecula,2,0
2022-03-21,2022,BY324,10990,Erithacus rubecula,2,0
2022-03-23,2022,BY237,10990,Erithacus rubecula,5,0
2022-03-23,2022,BY5,10990,Erithacus rubecula,4,0
2022-03-24,2022,BY106,10990,Erithacus rubecula,6,0
2022-03-24,2022,BY271,10990,Erithacus rubecula,0,0
2022-03-26,2022,BY230,10990,Erithacus rubecula,3,0
2022-03-26,2022,BY340,10990,Erithacus rubecula,1,0
2022-03-26,2022,BY86,10990,Erithacus rubecula,12,0
2022-03-27,2022,BY109,10990,Erithacus rubecula,1,0
2022-03-27,2022,BY281,10990,Erithacus rubecula,13,0
2022-04-05,2022,BY169,10990,Erithacus rubecula,0,0
2022-04-10,2022,BY5,10990,Erithacus rubecula,5,0
2022-04-11,2022,BY203,10990,Erithacus rubecula,3,0
2022-04-11,2022,BY271,10990,Erithacus rubecula,0,0
2022-04-12,2022,BY169,10990,Erithacus rubecula,5,0
2022-04-15,2022,BY188,10990,Erithacus rubecula,4,0
2022-04-15,2022,BY242,10990,Erithacus rubecula,0,0
2022-04-15,2022,BY272,10990,Erithacus rubecula,5,0
2022-04-15,2022,BY281,10990,Erithacus rubecula,16,0
2022-04-17,2022,BY113,10990,Erithacus rubecula,2,0
2022-04-18,2022,BY230,10990,Erithacus rubecula,0,0
2022-04-21,2022,BY237,10990,Erithacus rubecula,0,0
2022-04-23,2022,BY106,10990,Erithacus rubecula,0,0
2022-04-27,2022,BY109,10990,Erithacus rubecula,0,0
2022-04-28,2022,BY340,10990,Erithacus rubecula,0,0
2022-04-30,2022,BY160,10990,Erithacus rubecula,0,0
2022-05-02,2022,BY271,10990,Erithacus rubecula,0,0
2022-05-02,2022,BY86,10990,Erithacus rubecula,3,0
2022-05-05,2022,BY113,10990,Erithacus rubecula,0,0
2022-05-06,2022,BY188,10990,Erithacus rubecula,0,0
2022-05-08,2022,BY5,10990,Erithacus rubecula,4,0
2022-05-10,2022,BY169,10990,Erithacus rubecula,0,0
2022-05-12,2022,BY203,10990,Erithacus rubecula,0,0
2022-05-14,2022,BY242,10990,Erithacus rubecula,0,0
2022-05-14,2022,BY340,10990,Erithacus rubecula,0,0
2022-05-14,2022,BY86,10990,Erithacus rubecula,0,0
2022-05-15,2022,BY109,10990,Erithacus rubecula,0,0
2022-05-15,2022,BY272,10990,Erithacus rubecula,0,0
2022-05-15,2022,BY281,10990,Erithacus rubecula,9,0
2022-05-16,2022,BY237,10990,Erithacus rubecula,0,0
2022-05-18,2022,BY106,10990,Erithacus rubecula,0,0
2022-05-19,2022,BY160,10990,Erithacus rubecula,0,0
2022-05-20,2022,BY230,10990,Erithacus rubecula,0,0
2022-05-26,2022,BY242,10990,Erithacus rubecula,0,0
2022-05-26,2022,BY271,10990,Erithacus rubecula,0,0
2022-05-29,2022,BY340,10990,Erithacus rubecula,0,0
2022-06-03,2022,BY188,10990,Erithacus rubecula,0,0
2022-06-05,2022,BY5,10990,Erithacus rubecula,3,0
2022-06-06,2022,BY272,10990,Erithacus rubecula,0,0
2022-06-08,2022,BY237,10990,Erithacus rubecula,0,0
2022-06-11,2022,BY113,10990,Erithacus rubecula,0,0
2022-06-12,2022,BY281,10990,Erithacus rubecula,7,0
2022-06-12,2022,BY86,10990,Erithacus rubecula,0,0
2022-06-14,2022,BY169,10990,Erithacus rubecula,0,0
2022-06-15,2022,BY230,10990,Erithacus rubecula,0,0
2022-06-16,2022,BY160,10990,Erithacus rubecula,0,0
2022-06-17,2022,BY106,10990,Erithacus rubecula,0,0
2022-06-18,2022,BY109,10990,Erithacus rubecula,0,0
2022-06-19,2022,BY203,10990,Erithacus rubecula,0,0
2023-03-17,2023,BY340,10990,Erithacus rubecula,1,0
2023-03-18,2023,BY201,10990,Erithacus rubecula,3,0
2023-03-18,2023,BY367,10990,Erithacus rubecula,1,0
2023-03-19,2023,BY242,10990,Erithacus rubecula,7,0
2023-03-20,2023,BY118,10990,Erithacus rubecula,1,0
2023-03-20,2023,BY282,10990,Erithacus rubecula,1,0
2023-03-21,2023,BY237,10990,Erithacus rubecula,1,0
2023-03-21,2023,BY72,10990,Erithacus rubecula,1,0
2023-03-22,2023,BY109,10990,Erithacus rubecula,1,0
2023-03-22,2023,BY343,10990,Erithacus rubecula,4,0
2023-03-22,2023,BY400,10990,Erithacus rubecula,14,0
2023-03-23,2023,BY271,10990,Erithacus rubecula,1,0
2023-03-26,2023,BY113,10990,Erithacus rubecula,1,0
2023-03-26,2023,BY292,10990,Erithacus rubecula,3,0
2023-04-04,2023,BY106,10990,Erithacus rubecula,1,0
2023-04-05,2023,BY340,10990,Erithacus rubecula,0,0
2023-04-10,2023,BY113,10990,Erithacus rubecula,0,0
2023-04-10,2023,BY201,10990,Erithacus rubecula,1,0
2023-04-10,2023,BY242,10990,Erithacus rubecula,0,0
2023-04-16,2023,BY292,10990,Erithacus rubecula,3,0
2023-04-19,2023,BY237,10990,Erithacus rubecula,0,0
2023-04-19,2023,BY72,10990,Erithacus rubecula,0,0
2023-04-21,2023,BY400,10990,Erithacus rubecula,9,0
2023-04-22,2023,BY109,10990,Erithacus rubecula,0,0
2023-04-24,2023,BY271,10990,Erithacus rubecula,0,0
2023-04-26,2023,BY106,10990,Erithacus rubecula,0,0
2023-04-26,2023,BY282,10990,Erithacus rubecula,0,0
2023-04-27,2023,BY343,10990,Erithacus rubecula,0,0
2023-04-30,2023,BY367,10990,Erithacus rubecula,0,0
2023-05-04,2023,BY113,10990,Erithacus rubecula,0,0
2023-05-04,2023,BY118,10990,Erithacus rubecula,0,0
2023-05-04,2023,BY340,10990,Erithacus rubecula,0,0
2023-05-09,2023,BY271,10990,Erithacus rubecula,0,0
2023-05-09,2023,BY400,10990,Erithacus rubecula,2,0
2023-05-09,2023,BY72,10990,Erithacus rubecula,0,0
