DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,10990,Erithacus rubecula,5,25
2020-03-13,2020,BY203,10990,Erithacus rubecula,5,2
2020-03-14,2020,BY127,10990,Erithacus rubecula,0,0
2020-03-14,2020,BY272,10990,Erithacus rubecula,3,3
2020-03-14,2020,BY275,10990,Erithacus rubecula,3,8
2020-03-15,2020,BY119,10990,Erithacus rubecula,3,1
2020-03-15,2020,BY121,10990,Erithacus rubecula,5,3
2020-03-15,2020,BY133,10990,Erithacus rubecula,14,23
2020-03-15,2020,BY230,10990,Erithacus rubecula,1,2
2020-03-15,2020,BY235,10990,Erithacus rubecula,2,4
2020-03-15,2020,BY337,10990,Erithacus rubecula,15,20
2020-03-15,2020,BY57,10990,Erithacus rubecula,1,8
2020-03-16,2020,BY151,10990,Erithacus rubecula,15,16
2020-03-16,2020,BY365,10990,Erithacus rubecula,7,8
2020-03-17,2020,BY276,10990,Erithacus rubecula,4,2
2020-03-17,2020,BY362,10990,Erithacus rubecula,9,17
2020-03-18,2020,BY173,10990,Erithacus rubecula,6,7
2020-03-18,2020,BY221,10990,Erithacus rubecula,4,1
2020-03-18,2020,BY231,10990,Erithacus rubecula,8,17
2020-03-18,2020,BY243,10990,Erithacus rubecula,18,19
2020-03-19,2020,BY114,10990,Erithacus rubecula,0,0
2020-03-19,2020,BY124,10990,Erithacus rubecula,32,45
2020-03-19,2020,BY19,10990,Erithacus rubecula,31,20
2020-03-19,2020,BY236,10990,Erithacus rubecula,11,8
2020-03-20,2020,BY158,10990,Erithacus rubecula,14,13
2020-03-20,2020,BY193,10990,Erithacus rubecula,11,7
2020-03-20,2020,BY286,10990,Erithacus rubecula,15,14
2020-03-20,2020,BY31,10990,Erithacus rubecula,5,2
2020-03-20,2020,BY321,10990,Erithacus rubecula,5,6
2020-03-20,2020,BY454,10990,Erithacus rubecula,12,3
2020-03-22,2020,BY137,10990,Erithacus rubecula,10,37
2020-03-22,2020,BY86,10990,Erithacus rubecula,14,1
2020-03-23,2020,BY138,10990,Erithacus rubecula,6,4
2020-03-25,2020,BY107,10990,Erithacus rubecula,1,8
2020-03-25,2020,BY132,10990,Erithacus rubecula,5,27
2020-03-25,2020,BY238,10990,Erithacus rubecula,1,1
2020-03-27,2020,BY120,10990,Erithacus rubecula,14,10
2020-03-27,2020,BY139,10990,Erithacus rubecula,11,21
2020-03-27,2020,BY271,10990,Erithacus rubecula,4,1
2020-03-27,2020,BY453,10990,Erithacus rubecula,11,26
2020-03-27,2020,BY460,10990,Erithacus rubecula,8,9
2020-03-28,2020,BY290,10990,Erithacus rubecula,12,17
2020-03-28,2020,BY291,10990,Erithacus rubecula,11,11
2020-03-28,2020,BY332,10990,Erithacus rubecula,15,4
2020-03-28,2020,BY65,10990,Erithacus rubecula,22,19
2020-03-29,2020,BY217,10990,Erithacus rubecula,15,5
