DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,3100,Falco subbuteo,0,0
2020-03-15,2020,BY113,3100,Falco subbuteo,0,0
2020-03-17,2020,BY276,3100,Falco subbuteo,0,0
2020-03-19,2020,BY236,3100,Falco subbuteo,0,0
2020-03-20,2020,BY31,3100,Falco subbuteo,0,0
2020-03-20,2020,BY454,3100,Falco subbuteo,0,0
2020-03-22,2020,BY86,3100,Falco subbuteo,0,0
2020-03-28,2020,BY291,3100,Falco subbuteo,0,0
2020-03-28,2020,BY65,3100,Falco subbuteo,0,0
2020-04-09,2020,BY113,3100,Falco subbuteo,0,0
2020-04-10,2020,BY272,3100,Falco subbuteo,0,0
2020-04-11,2020,BY236,3100,Falco subbuteo,0,0
2020-04-11,2020,BY454,3100,Falco subbuteo,0,0
2020-04-17,2020,BY276,3100,Falco subbuteo,0,0
2020-04-17,2020,BY31,3100,Falco subbuteo,0,0
2020-04-17,2020,BY65,3100,Falco subbuteo,0,0
2020-04-18,2020,BY86,3100,Falco subbuteo,0,0
2020-04-28,2020,BY291,3100,Falco subbuteo,0,0
2020-05-02,2020,BY113,3100,Falco subbuteo,0,0
2020-05-07,2020,BY65,3100,Falco subbuteo,0,0
2020-05-09,2020,BY272,3100,Falco subbuteo,0,0
2020-05-09,2020,BY454,3100,Falco subbuteo,0,0
2020-05-16,2020,BY31,3100,Falco subbuteo,0,0
2020-05-16,2020,BY86,3100,Falco subbuteo,0,0
2020-05-17,2020,BY276,3100,Falco subbuteo,0,0
2020-05-18,2020,BY236,3100,Falco subbuteo,1,0
2020-05-19,2020,BY291,3100,Falco subbuteo,0,0
2020-06-02,2020,BY65,3100,Falco subbuteo,0,0
2020-06-09,2020,BY31,3100,Falco subbuteo,0,0
2020-06-12,2020,BY272,3100,Falco subbuteo,0,0
2020-06-12,2020,BY276,3100,Falco subbuteo,0,0
2020-06-13,2020,BY236,3100,Falco subbuteo,1,0
2020-06-13,2020,BY454,3100,Falco subbuteo,0,0
2020-06-13,2020,BY86,3100,Falco subbuteo,0,0
2020-06-18,2020,BY113,3100,Falco subbuteo,0,0
2020-06-20,2020,BY291,3100,Falco subbuteo,0,0
2021-03-13,2021,BY113,3100,Falco subbuteo,0,0
2021-03-13,2021,BY454,3100,Falco subbuteo,0,0
2021-03-21,2021,BY126,3100,Falco subbuteo,0,0
2021-03-21,2021,BY86,3100,Falco subbuteo,0,0
2021-03-22,2021,BY31,3100,Falco subbuteo,0,0
2021-03-25,2021,BY272,3100,Falco subbuteo,0,0
2021-03-26,2021,BY17,3100,Falco subbuteo,0,0
2021-03-28,2021,BY236,3100,Falco subbuteo,0,0
2021-03-28,2021,BY291,3100,Falco subbuteo,0,0
2021-03-29,2021,BY342,3100,Falco subbuteo,0,0
2021-03-29,2021,BY65,3100,Falco subbuteo,0,0
2021-03-29,2021,BY66,3100,Falco subbuteo,0,0
2021-03-30,2021,BY234,3100,Falco subbuteo,0,0
2021-03-31,2021,BY246,3100,Falco subbuteo,0,0
2021-04-04,2021,BY113,3100,Falco subbuteo,0,0
2021-04-11,2021,BY126,3100,Falco subbuteo,0,0
2021-04-18,2021,BY86,3100,Falco subbuteo,0,0
2021-04-20,2021,BY65,3100,Falco subbuteo,0,0
2021-04-24,2021,BY246,3100,Falco subbuteo,0,0
2021-04-24,2021,BY272,3100,Falco subbuteo,0,0
2021-04-24,2021,BY31,3100,Falco subbuteo,0,0
2021-04-24,2021,BY454,3100,Falco subbuteo,0,0
2021-04-24,2021,BY66,3100,Falco subbuteo,0,0
2021-04-25,2021,BY17,3100,Falco subbuteo,0,0
2021-04-25,2021,BY234,3100,Falco subbuteo,0,0
2021-04-25,2021,BY236,3100,Falco subbuteo,0,0
2021-04-25,2021,BY291,3100,Falco subbuteo,1,0
2021-04-25,2021,BY342,3100,Falco subbuteo,0,0
2021-05-04,2021,BY113,3100,Falco subbuteo,0,0
2021-05-08,2021,BY65,3100,Falco subbuteo,0,0
