DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-03-14,2020,BY127,13490,Ficedula hypoleuca,0,0
2020-03-15,2020,BY113,13490,Ficedula hypoleuca,0,0
2020-03-16,2020,BY151,13490,Ficedula hypoleuca,0,0
2020-03-17,2020,BY276,13490,Ficedula hypoleuca,0,0
2020-03-18,2020,BY173,13490,Ficedula hypoleuca,0,0
2020-03-19,2020,BY114,13490,Ficedula hypoleuca,0,0
2020-03-19,2020,BY124,13490,Ficedula hypoleuca,0,0
2020-03-20,2020,BY158,13490,Ficedula hypoleuca,0,0
2020-03-20,2020,BY31,13490,Ficedula hypoleuca,0,0
2020-03-20,2020,BY454,13490,Ficedula hypoleuca,0,0
2020-03-22,2020,BY86,13490,Ficedula hypoleuca,0,0
2020-03-27,2020,BY120,13490,Ficedula hypoleuca,0,0
2020-03-27,2020,BY453,13490,Ficedula hypoleuca,0,0
2020-03-28,2020,BY291,13490,Ficedula hypoleuca,0,0
2020-03-28,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-03-29,2020,BY217,13490,Ficedula hypoleuca,0,0
2020-03-31,2020,BY16,13490,Ficedula hypoleuca,0,0
2020-04-05,2020,BY124,13490,Ficedula hypoleuca,0,0
2020-04-05,2020,BY127,13490,Ficedula hypoleuca,0,0
2020-04-07,2020,BY114,13490,Ficedula hypoleuca,0,0
2020-04-08,2020,BY151,13490,Ficedula hypoleuca,0,0
2020-04-09,2020,BY113,13490,Ficedula hypoleuca,0,0
2020-04-09,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-04-11,2020,BY454,13490,Ficedula hypoleuca,0,0
2020-04-13,2020,BY274,13490,Ficedula hypoleuca,0,0
2020-04-15,2020,BY173,13490,Ficedula hypoleuca,1,0
2020-04-17,2020,BY276,13490,Ficedula hypoleuca,2,0
2020-04-17,2020,BY31,13490,Ficedula hypoleuca,0,0
2020-04-17,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-04-18,2020,BY120,13490,Ficedula hypoleuca,0,0
2020-04-18,2020,BY86,13490,Ficedula hypoleuca,0,0
2020-04-19,2020,BY217,13490,Ficedula hypoleuca,1,0
2020-04-22,2020,BY453,13490,Ficedula hypoleuca,0,0
2020-04-27,2020,BY16,13490,Ficedula hypoleuca,0,0
2020-04-28,2020,BY291,13490,Ficedula hypoleuca,0,0
2020-04-30,2020,BY158,13490,Ficedula hypoleuca,1,1
2020-05-01,2020,BY114,13490,Ficedula hypoleuca,0,0
2020-05-02,2020,BY113,13490,Ficedula hypoleuca,0,0
2020-05-03,2020,BY127,13490,Ficedula hypoleuca,0,0
2020-05-03,2020,BY274,13490,Ficedula hypoleuca,0,0
2020-05-05,2020,BY151,13490,Ficedula hypoleuca,0,0
2020-05-07,2020,BY157,13490,Ficedula hypoleuca,10,10
2020-05-07,2020,BY65,13490,Ficedula hypoleuca,1,1
2020-05-09,2020,BY124,13490,Ficedula hypoleuca,0,0
2020-05-09,2020,BY454,13490,Ficedula hypoleuca,0,0
2020-05-10,2020,BY217,13490,Ficedula hypoleuca,0,0
2020-05-12,2020,BY173,13490,Ficedula hypoleuca,0,0
2020-05-16,2020,BY120,13490,Ficedula hypoleuca,0,0
2020-05-16,2020,BY31,13490,Ficedula hypoleuca,1,0
2020-05-16,2020,BY86,13490,Ficedula hypoleuca,0,0
2020-05-17,2020,BY276,13490,Ficedula hypoleuca,0,0
2020-05-18,2020,BY16,13490,Ficedula hypoleuca,0,0
2020-05-19,2020,BY291,13490,Ficedula hypoleuca,0,0
2020-05-20,2020,BY453,13490,Ficedula hypoleuca,0,0
2020-05-21,2020,BY158,13490,Ficedula hypoleuca,0,0
2020-05-30,2020,BY274,13490,Ficedula hypoleuca,0,0
2020-05-31,2020,BY217,13490,Ficedula hypoleuca,0,0
2020-06-01,2020,BY124,13490,Ficedula hypoleuca,0,0
2020-06-01,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-06-02,2020,BY157,13490,Ficedula hypoleuca,4,10
2020-06-02,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-06-08,2020,BY151,13490,Ficedula hypoleuca,0,0
2020-06-09,2020,BY31,13490,Ficedula hypoleuca,0,0
2020-06-12,2020,BY16,13490,Ficedula hypoleuca,0,0
2020-06-12,2020,BY276,13490,Ficedula hypoleuca,0,0
2020-06-13,2020,BY114,13490,Ficedula hypoleuca,0,0
2020-06-13,2020,BY158,13490,Ficedula hypoleuca,0,0
2020-06-13,2020,BY454,13490,Ficedula hypoleuca,0,0
2020-06-13,2020,BY86,13490,Ficedula hypoleuca,0,0
2020-06-14,2020,BY127,13490,Ficedula hypoleuca,0,0
2020-06-16,2020,BY173,13490,Ficedula hypoleuca,0,0
2020-06-17,2020,BY453,13490,Ficedula hypoleuca,0,0
2020-06-18,2020,BY113,13490,Ficedula hypoleuca,0,0
2020-06-18,2020,BY120,13490,Ficedula hypoleuca,0,0
2020-06-20,2020,BY291,13490,Ficedula hypoleuca,0,0
2021-03-13,2021,BY113,13490,Ficedula hypoleuca,0,0
2021-03-13,2021,BY302,13490,Ficedula hypoleuca,0,0
2021-03-13,2021,BY454,13490,Ficedula hypoleuca,0,0
2021-03-15,2021,BY297,13490,Ficedula hypoleuca,0,0
2021-03-20,2021,BY114,13490,Ficedula hypoleuca,0,0
2021-03-20,2021,BY124,13490,Ficedula hypoleuca,0,0
2021-03-20,2021,BY241,13490,Ficedula hypoleuca,0,0
2021-03-21,2021,BY126,13490,Ficedula hypoleuca,0,0
2021-03-21,2021,BY127,13490,Ficedula hypoleuca,0,0
2021-03-21,2021,BY274,13490,Ficedula hypoleuca,0,0
2021-03-21,2021,BY86,13490,Ficedula hypoleuca,0,0
2021-03-22,2021,BY31,13490,Ficedula hypoleuca,0,0
2021-03-23,2021,BY205,13490,Ficedula hypoleuca,0,0
2021-03-23,2021,BY341,13490,Ficedula hypoleuca,0,0
2021-03-24,2021,BY157,13490,Ficedula hypoleuca,0,0
2021-03-24,2021,BY8,13490,Ficedula hypoleuca,0,0
2021-03-25,2021,BY453,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY128,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY151,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY36,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY464,13490,Ficedula hypoleuca,0,0
2021-03-28,2021,BY158,13490,Ficedula hypoleuca,0,0
2021-03-28,2021,BY217,13490,Ficedula hypoleuca,0,0
2021-03-28,2021,BY291,13490,Ficedula hypoleuca,0,0
2021-03-28,2021,BY82,13490,Ficedula hypoleuca,0,0
2021-03-29,2021,BY65,13490,Ficedula hypoleuca,0,0
2021-03-29,2021,BY70,13490,Ficedula hypoleuca,0,0
2021-03-29,2021,BY84,13490,Ficedula hypoleuca,0,0
2021-03-29,2021,BY901,13490,Ficedula hypoleuca,0,0
2021-03-30,2021,BY120,13490,Ficedula hypoleuca,0,0
2021-03-30,2021,BY122,13490,Ficedula hypoleuca,0,0
2021-03-30,2021,BY173,13490,Ficedula hypoleuca,0,0
2021-03-30,2021,BY234,13490,Ficedula hypoleuca,0,0
2021-03-31,2021,BY220,13490,Ficedula hypoleuca,0,0
2021-04-02,2021,BY124,13490,Ficedula hypoleuca,0,0
2021-04-02,2021,BY127,13490,Ficedula hypoleuca,0,0
2021-04-04,2021,BY113,13490,Ficedula hypoleuca,0,0
2021-04-05,2021,BY114,13490,Ficedula hypoleuca,0,0
2021-04-05,2021,BY302,13490,Ficedula hypoleuca,0,0
2021-04-11,2021,BY126,13490,Ficedula hypoleuca,0,0
2021-04-11,2021,BY341,13490,Ficedula hypoleuca,0,0
2021-04-14,2021,BY8,13490,Ficedula hypoleuca,0,0
2021-04-15,2021,BY297,13490,Ficedula hypoleuca,0,0
2021-04-16,2021,BY151,13490,Ficedula hypoleuca,0,0
2021-04-17,2021,BY241,13490,Ficedula hypoleuca,1,0
2021-04-18,2021,BY84,13490,Ficedula hypoleuca,0,0
2021-04-18,2021,BY86,13490,Ficedula hypoleuca,0,0
2021-04-20,2021,BY36,13490,Ficedula hypoleuca,0,0
2021-04-20,2021,BY453,13490,Ficedula hypoleuca,0,0
2021-04-20,2021,BY65,13490,Ficedula hypoleuca,0,0
2021-04-21,2021,BY128,13490,Ficedula hypoleuca,0,0
