DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-03-20,2020,BY158,13490,Ficedula hypoleuca,0,0
2020-03-28,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-04-09,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-04-17,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-04-30,2020,BY158,13490,Ficedula hypoleuca,1,1
2020-05-07,2020,BY157,13490,Ficedula hypoleuca,10,10
2020-05-07,2020,BY65,13490,Ficedula hypoleuca,1,1
2020-05-21,2020,BY158,13490,Ficedula hypoleuca,0,0
2020-06-01,2020,BY157,13490,Ficedula hypoleuca,0,0
2020-06-02,2020,BY157,13490,Ficedula hypoleuca,4,10
2020-06-02,2020,BY65,13490,Ficedula hypoleuca,0,0
2020-06-13,2020,BY158,13490,Ficedula hypoleuca,0,0
2021-03-13,2021,BY302,13490,Ficedula hypoleuca,0,0
2021-03-15,2021,BY297,13490,Ficedula hypoleuca,0,0
2021-03-23,2021,BY341,13490,Ficedula hypoleuca,0,0
2021-03-24,2021,BY157,13490,Ficedula hypoleuca,0,0
2021-03-24,2021,BY8,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY36,13490,Ficedula hypoleuca,0,0
2021-03-26,2021,BY464,13490,Ficedula hypoleuca,0,0
2021-03-28,2021,BY82,13490,Ficedula hypoleuca,0,0
2021-03-29,2021,BY70,13490,Ficedula hypoleuca,0,0
2021-04-05,2021,BY302,13490,Ficedula hypoleuca,0,0
2021-04-11,2021,BY341,13490,Ficedula hypoleuca,0,0
2021-04-14,2021,BY8,13490,Ficedula hypoleuca,0,0
2021-04-15,2021,BY297,13490,Ficedula hypoleuca,0,0
2021-04-20,2021,BY36,13490,Ficedula hypoleuca,0,0
2021-04-23,2021,BY157,13490,Ficedula hypoleuca,1,4
2021-04-25,2021,BY82,13490,Ficedula hypoleuca,2,2
2021-04-27,2021,BY70,13490,Ficedula hypoleuca,0,0
2021-04-29,2021,BY464,13490,Ficedula hypoleuca,0,0
2021-05-08,2021,BY297,13490,Ficedula hypoleuca,1,1
2021-05-08,2021,BY302,13490,Ficedula hypoleuca,3,2
2021-05-08,2021,BY341,13490,Ficedula hypoleuca,5,2
2021-05-09,2021,BY82,13490,Ficedula hypoleuca,1,2
2021-05-10,2021,BY157,13490,Ficedula hypoleuca,3,4
2021-05-16,2021,BY464,13490,Ficedula hypoleuca,0,0
2021-05-16,2021,BY70,13490,Ficedula hypoleuca,2,2
