DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,16360,Fringilla coelebs,11,29
2020-03-13,2020,BY203,16360,Fringilla coelebs,3,3
2020-03-14,2020,BY127,16360,Fringilla coelebs,0,0
2020-03-14,2020,BY272,16360,Fringilla coelebs,10,10
2020-03-14,2020,BY275,16360,Fringilla coelebs,13,20
2020-03-15,2020,BY113,16360,Fringilla coelebs,0,0
2020-03-15,2020,BY119,16360,Fringilla coelebs,1,1
2020-03-15,2020,BY121,16360,Fringilla coelebs,5,6
2020-03-15,2020,BY133,16360,Fringilla coelebs,36,52
2020-03-15,2020,BY230,16360,Fringilla coelebs,10,8
2020-03-15,2020,BY235,16360,Fringilla coelebs,9,6
2020-03-15,2020,BY242,16360,Fringilla coelebs,18,13
2020-03-15,2020,BY337,16360,Fringilla coelebs,33,29
2020-03-15,2020,BY57,16360,Fringilla coelebs,13,18
2020-03-16,2020,BY151,16360,Fringilla coelebs,6,8
2020-03-16,2020,BY365,16360,Fringilla coelebs,10,15
2020-03-17,2020,BY276,16360,Fringilla coelebs,40,7
2020-03-17,2020,BY362,16360,Fringilla coelebs,6,11
2020-03-18,2020,BY173,16360,Fringilla coelebs,12,6
2020-03-18,2020,BY221,16360,Fringilla coelebs,8,10
2020-03-18,2020,BY231,16360,Fringilla coelebs,30,30
2020-03-18,2020,BY243,16360,Fringilla coelebs,29,35
2020-03-19,2020,BY114,16360,Fringilla coelebs,0,0
2020-03-19,2020,BY124,16360,Fringilla coelebs,39,74
2020-03-19,2020,BY19,16360,Fringilla coelebs,31,31
2020-03-19,2020,BY236,16360,Fringilla coelebs,20,18
2020-03-19,2020,BY237,16360,Fringilla coelebs,9,8
2020-03-20,2020,BY158,16360,Fringilla coelebs,28,23
2020-03-20,2020,BY193,16360,Fringilla coelebs,31,11
2020-03-20,2020,BY286,16360,Fringilla coelebs,23,16
2020-03-20,2020,BY31,16360,Fringilla coelebs,17,9
2020-03-20,2020,BY321,16360,Fringilla coelebs,11,17
2020-03-20,2020,BY454,16360,Fringilla coelebs,6,3
2020-03-22,2020,BY137,16360,Fringilla coelebs,23,30
2020-03-22,2020,BY86,16360,Fringilla coelebs,12,2
2020-03-23,2020,BY138,16360,Fringilla coelebs,12,12
2020-03-25,2020,BY107,16360,Fringilla coelebs,5,9
2020-03-25,2020,BY132,16360,Fringilla coelebs,47,47
2020-03-25,2020,BY238,16360,Fringilla coelebs,7,6
2020-03-27,2020,BY120,16360,Fringilla coelebs,7,8
2020-03-27,2020,BY139,16360,Fringilla coelebs,3,16
2020-03-27,2020,BY271,16360,Fringilla coelebs,36,4
2020-03-27,2020,BY453,16360,Fringilla coelebs,75,28
2020-03-27,2020,BY460,16360,Fringilla coelebs,18,15
2020-03-28,2020,BY290,16360,Fringilla coelebs,20,37
2020-03-28,2020,BY291,16360,Fringilla coelebs,17,25
2020-03-28,2020,BY332,16360,Fringilla coelebs,6,7
2020-03-28,2020,BY65,16360,Fringilla coelebs,22,23
2020-03-29,2020,BY217,16360,Fringilla coelebs,0,0
2020-03-31,2020,BY16,16360,Fringilla coelebs,7,10
2020-03-31,2020,BY169,16360,Fringilla coelebs,2,4
2020-04-04,2020,BY354,16360,Fringilla coelebs,5,9
2020-04-05,2020,BY124,16360,Fringilla coelebs,30,74
2020-04-05,2020,BY127,16360,Fringilla coelebs,3,6
2020-04-05,2020,BY235,16360,Fringilla coelebs,8,6
2020-04-05,2020,BY242,16360,Fringilla coelebs,15,13
2020-04-05,2020,BY275,16360,Fringilla coelebs,16,20
2020-04-05,2020,BY286,16360,Fringilla coelebs,15,16
2020-04-06,2020,BY221,16360,Fringilla coelebs,9,10
2020-04-07,2020,BY114,16360,Fringilla coelebs,10,19
2020-04-07,2020,BY243,16360,Fringilla coelebs,28,35
2020-04-07,2020,BY388,16360,Fringilla coelebs,23,28
2020-04-08,2020,BY151,16360,Fringilla coelebs,9,8
2020-04-08,2020,BY365,16360,Fringilla coelebs,8,15
2020-04-09,2020,BY113,16360,Fringilla coelebs,3,4
2020-04-09,2020,BY157,16360,Fringilla coelebs,15,29
2020-04-09,2020,BY230,16360,Fringilla coelebs,4,8
2020-04-10,2020,BY121,16360,Fringilla coelebs,5,6
2020-04-10,2020,BY133,16360,Fringilla coelebs,33,52
2020-04-10,2020,BY272,16360,Fringilla coelebs,6,10
2020-04-11,2020,BY137,16360,Fringilla coelebs,17,30
2020-04-11,2020,BY236,16360,Fringilla coelebs,8,18
2020-04-11,2020,BY290,16360,Fringilla coelebs,15,37
2020-04-11,2020,BY337,16360,Fringilla coelebs,11,29
2020-04-11,2020,BY454,16360,Fringilla coelebs,3,3
2020-04-11,2020,BY57,16360,Fringilla coelebs,20,18
2020-04-12,2020,BY119,16360,Fringilla coelebs,2,1
