DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,12590,Hippolais icterina,0,0
2020-03-13,2020,BY203,12590,Hippolais icterina,0,0
2020-03-15,2020,BY113,12590,Hippolais icterina,0,0
2020-03-15,2020,BY230,12590,Hippolais icterina,0,0
2020-03-18,2020,BY231,12590,Hippolais icterina,0,0
2020-03-19,2020,BY237,12590,Hippolais icterina,0,0
2020-03-25,2020,BY238,12590,Hippolais icterina,0,0
2020-03-27,2020,BY139,12590,Hippolais icterina,0,0
2020-03-27,2020,BY271,12590,Hippolais icterina,0,0
2020-03-29,2020,BY217,12590,Hippolais icterina,0,0
2020-04-09,2020,BY113,12590,Hippolais icterina,0,0
2020-04-09,2020,BY157,12590,Hippolais icterina,0,0
2020-04-09,2020,BY230,12590,Hippolais icterina,0,0
2020-04-15,2020,BY231,12590,Hippolais icterina,0,0
2020-04-15,2020,BY271,12590,Hippolais icterina,0,0
2020-04-16,2020,BY203,12590,Hippolais icterina,0,0
2020-04-18,2020,BY161,12590,Hippolais icterina,0,0
2020-04-19,2020,BY217,12590,Hippolais icterina,0,0
2020-04-24,2020,BY139,12590,Hippolais icterina,0,0
2020-04-29,2020,BY238,12590,Hippolais icterina,0,0
2020-05-01,2020,BY230,12590,Hippolais icterina,0,0
2020-05-02,2020,BY113,12590,Hippolais icterina,0,0
2020-05-07,2020,BY157,12590,Hippolais icterina,0,0
2020-05-07,2020,BY271,12590,Hippolais icterina,0,0
2020-05-08,2020,BY203,12590,Hippolais icterina,0,0
2020-05-10,2020,BY217,12590,Hippolais icterina,0,0
2020-05-14,2020,BY231,12590,Hippolais icterina,0,0
2020-05-15,2020,BY139,12590,Hippolais icterina,0,0
2020-05-17,2020,BY237,12590,Hippolais icterina,2,0
2020-05-19,2020,BY238,12590,Hippolais icterina,0,0
2020-05-24,2020,BY230,12590,Hippolais icterina,0,0
2020-05-29,2020,BY271,12590,Hippolais icterina,0,0
2020-05-31,2020,BY217,12590,Hippolais icterina,0,0
2020-06-01,2020,BY157,12590,Hippolais icterina,0,0
2020-06-02,2020,BY157,12590,Hippolais icterina,0,0
2020-06-03,2020,BY238,12590,Hippolais icterina,0,0
2020-06-12,2020,BY139,12590,Hippolais icterina,0,0
2020-06-12,2020,BY231,12590,Hippolais icterina,0,0
2020-06-13,2020,BY237,12590,Hippolais icterina,1,0
2020-06-18,2020,BY113,12590,Hippolais icterina,0,0
2020-06-18,2020,BY203,12590,Hippolais icterina,1,0
2021-03-13,2021,BY237,12590,Hippolais icterina,0,0
2021-03-15,2021,BY297,12590,Hippolais icterina,0,0
2021-03-21,2021,BY203,12590,Hippolais icterina,0,0
2021-03-22,2021,BY230,12590,Hippolais icterina,0,0
2021-03-24,2021,BY157,12590,Hippolais icterina,0,0
2021-03-25,2021,BY231,12590,Hippolais icterina,0,0
2021-03-26,2021,BY105,12590,Hippolais icterina,0,0
2021-03-28,2021,BY139,12590,Hippolais icterina,0,0
2021-03-28,2021,BY217,12590,Hippolais icterina,0,0
2021-03-28,2021,BY291,12590,Hippolais icterina,0,0
2021-03-29,2021,BY118,12590,Hippolais icterina,0,0
2021-03-29,2021,BY201,12590,Hippolais icterina,0,0
2021-03-29,2021,BY238,12590,Hippolais icterina,0,0
2021-03-29,2021,BY66,12590,Hippolais icterina,0,0
2021-03-30,2021,BY122,12590,Hippolais icterina,0,0
2021-03-31,2021,BY220,12590,Hippolais icterina,0,0
2021-04-05,2021,BY230,12590,Hippolais icterina,0,0
2021-04-11,2021,BY105,12590,Hippolais icterina,0,0
2021-04-11,2021,BY203,12590,Hippolais icterina,0,0
2021-04-11,2021,BY237,12590,Hippolais icterina,0,0
2021-04-15,2021,BY297,12590,Hippolais icterina,0,0
2021-04-16,2021,BY118,12590,Hippolais icterina,0,0
2021-04-21,2021,BY231,12590,Hippolais icterina,0,0
2021-04-23,2021,BY157,12590,Hippolais icterina,0,0
2021-04-24,2021,BY139,12590,Hippolais icterina,0,0
2021-04-24,2021,BY66,12590,Hippolais icterina,0,0
2021-04-25,2021,BY122,12590,Hippolais icterina,0,0
2021-04-25,2021,BY201,12590,Hippolais icterina,0,0
2021-04-25,2021,BY217,12590,Hippolais icterina,0,0
2021-04-25,2021,BY238,12590,Hippolais icterina,0,0
2021-04-25,2021,BY291,12590,Hippolais icterina,0,0
2021-04-26,2021,BY220,12590,Hippolais icterina,0,0
2021-05-08,2021,BY203,12590,Hippolais icterina,0,0
2021-05-08,2021,BY297,12590,Hippolais icterina,1,0
2021-05-09,2021,BY139,12590,Hippolais icterina,1,0
2021-05-10,2021,BY157,12590,Hippolais icterina,0,0
2021-05-10,2021,BY231,12590,Hippolais icterina,0,0
2021-05-11,2021,BY201,12590,Hippolais icterina,0,0
2021-05-11,2021,BY237,12590,Hippolais icterina,1,0
2021-05-13,2021,BY230,12590,Hippolais icterina,1,0
2021-05-14,2021,BY105,12590,Hippolais icterina,0,0
2021-05-14,2021,BY122,12590,Hippolais icterina,0,0
2021-05-16,2021,BY217,12590,Hippolais icterina,0,0
2021-05-16,2021,BY238,12590,Hippolais icterina,0,0
2021-05-16,2021,BY291,12590,Hippolais icterina,0,0
2021-05-17,2021,BY220,12590,Hippolais icterina,0,0
2021-05-19,2021,BY118,12590,Hippolais icterina,0,0
2021-05-24,2021,BY66,12590,Hippolais icterina,1,0
2021-05-29,2021,BY230,12590,Hippolais icterina,0,0
2021-05-30,2021,BY238,12590,Hippolais icterina,0,0
2021-05-30,2021,BY297,12590,Hippolais icterina,0,0
2021-05-31,2021,BY231,12590,Hippolais icterina,0,0
2021-06-01,2021,BY203,12590,Hippolais icterina,0,0
2021-06-01,2021,BY237,12590,Hippolais icterina,0,0
2021-06-06,2021,BY217,12590,Hippolais icterina,0,0
2021-06-07,2021,BY139,12590,Hippolais icterina,0,0
2021-06-11,2021,BY118,12590,Hippolais icterina,0,0
2021-06-12,2021,BY105,12590,Hippolais icterina,0,0
2021-06-12,2021,BY201,12590,Hippolais icterina,0,0
2021-06-13,2021,BY291,12590,Hippolais icterina,0,0
2021-06-14,2021,BY157,12590,Hippolais icterina,0,0
2021-06-14,2021,BY220,12590,Hippolais icterina,0,0
2021-06-16,2021,BY122,12590,Hippolais icterina,0,0
2021-06-17,2021,BY66,12590,Hippolais icterina,0,0
2022-03-11,2022,BY274,12590,Hippolais icterina,0,0
2022-03-12,2022,BY203,12590,Hippolais icterina,0,0
2022-03-13,2022,BY113,12590,Hippolais icterina,0,0
2022-03-13,2022,BY292,12590,Hippolais icterina,0,0
2022-03-13,2022,BY6,12590,Hippolais icterina,0,0
