DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,15150,Lanius collurio,0,0
2020-03-14,2020,BY272,15150,Lanius collurio,0,0
2020-03-15,2020,BY133,15150,Lanius collurio,0,0
2020-03-15,2020,BY242,15150,Lanius collurio,0,0
2020-03-15,2020,BY57,15150,Lanius collurio,0,0
2020-03-17,2020,BY362,15150,Lanius collurio,0,0
2020-03-18,2020,BY173,15150,Lanius collurio,0,0
2020-03-18,2020,BY243,15150,Lanius collurio,0,0
2020-03-19,2020,BY114,15150,Lanius collurio,0,0
2020-03-19,2020,BY19,15150,Lanius collurio,0,0
2020-03-19,2020,BY236,15150,Lanius collurio,0,0
2020-03-20,2020,BY158,15150,Lanius collurio,0,0
2020-03-20,2020,BY31,15150,Lanius collurio,0,0
2020-03-20,2020,BY321,15150,Lanius collurio,0,0
2020-03-22,2020,BY86,15150,Lanius collurio,0,0
2020-03-23,2020,BY138,15150,Lanius collurio,0,0
2020-03-27,2020,BY139,15150,Lanius collurio,0,0
2020-03-27,2020,BY271,15150,Lanius collurio,0,0
2020-03-27,2020,BY453,15150,Lanius collurio,0,0
2020-03-27,2020,BY460,15150,Lanius collurio,0,0
2020-03-28,2020,BY290,15150,Lanius collurio,0,0
2020-04-05,2020,BY242,15150,Lanius collurio,0,0
2020-04-07,2020,BY114,15150,Lanius collurio,0,0
2020-04-07,2020,BY243,15150,Lanius collurio,0,0
2020-04-10,2020,BY133,15150,Lanius collurio,0,0
2020-04-10,2020,BY272,15150,Lanius collurio,0,0
2020-04-11,2020,BY236,15150,Lanius collurio,0,0
2020-04-11,2020,BY290,15150,Lanius collurio,0,0
2020-04-11,2020,BY57,15150,Lanius collurio,0,0
2020-04-15,2020,BY173,15150,Lanius collurio,0,0
2020-04-15,2020,BY271,15150,Lanius collurio,0,0
2020-04-16,2020,BY203,15150,Lanius collurio,0,0
2020-04-16,2020,BY460,15150,Lanius collurio,0,0
2020-04-17,2020,BY31,15150,Lanius collurio,0,0
2020-04-17,2020,BY321,15150,Lanius collurio,0,0
2020-04-17,2020,BY362,15150,Lanius collurio,0,0
2020-04-18,2020,BY86,15150,Lanius collurio,0,0
2020-04-22,2020,BY453,15150,Lanius collurio,0,0
2020-04-24,2020,BY139,15150,Lanius collurio,0,0
2020-04-24,2020,BY19,15150,Lanius collurio,0,0
2020-04-30,2020,BY138,15150,Lanius collurio,0,0
2020-04-30,2020,BY158,15150,Lanius collurio,0,0
2020-05-01,2020,BY114,15150,Lanius collurio,0,0
2020-05-07,2020,BY271,15150,Lanius collurio,0,0
2020-05-07,2020,BY57,15150,Lanius collurio,0,0
2020-05-08,2020,BY203,15150,Lanius collurio,3,2
2020-05-09,2020,BY272,15150,Lanius collurio,0,0
