DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-20,2020,BY454,5926,Larus michahellis,0,0
2020-03-22,2020,BY86,5926,Larus michahellis,0,0
2020-04-11,2020,BY454,5926,Larus michahellis,0,0
2020-04-18,2020,BY86,5926,Larus michahellis,0,0
2020-05-09,2020,BY454,5926,Larus michahellis,0,0
2020-05-16,2020,BY86,5926,Larus michahellis,0,0
2020-06-13,2020,BY454,5926,Larus michahellis,0,0
2020-06-13,2020,BY86,5926,Larus michahellis,0,0
2021-03-13,2021,BY454,5926,Larus michahellis,0,0
2021-03-15,2021,BY297,5926,Larus michahellis,0,0
2021-03-21,2021,BY86,5926,Larus michahellis,0,0
2021-03-24,2021,BY324,5926,Larus michahellis,9,0
2021-03-27,2021,BY269,5926,Larus michahellis,0,0
2021-03-28,2021,BY82,5926,Larus michahellis,0,0
2021-03-30,2021,BY234,5926,Larus michahellis,0,0
2021-04-15,2021,BY297,5926,Larus michahellis,0,0
2021-04-18,2021,BY86,5926,Larus michahellis,0,0
2021-04-20,2021,BY324,5926,Larus michahellis,32,0
2021-04-24,2021,BY454,5926,Larus michahellis,0,0
2021-04-25,2021,BY234,5926,Larus michahellis,0,0
2021-04-25,2021,BY269,5926,Larus michahellis,0,0
2021-04-25,2021,BY82,5926,Larus michahellis,0,0
2021-05-08,2021,BY297,5926,Larus michahellis,2,0
2021-05-09,2021,BY82,5926,Larus michahellis,0,0
2021-05-14,2021,BY324,5926,Larus michahellis,0,0
2021-05-16,2021,BY234,5926,Larus michahellis,0,0
2021-05-16,2021,BY269,5926,Larus michahellis,0,0
2021-05-16,2021,BY454,5926,Larus michahellis,1,0
2021-05-16,2021,BY86,5926,Larus michahellis,0,0
2021-05-30,2021,BY297,5926,Larus michahellis,2,0
2021-06-03,2021,BY82,5926,Larus michahellis,0,0
2021-06-11,2021,BY324,5926,Larus michahellis,0,0
2021-06-13,2021,BY86,5926,Larus michahellis,0,0
2021-06-15,2021,BY454,5926,Larus michahellis,0,0
2021-06-20,2021,BY234,5926,Larus michahellis,0,0
2021-06-20,2021,BY269,5926,Larus michahellis,0,0
2022-03-13,2022,BY292,5926,Larus michahellis,0,0
2022-03-13,2022,BY82,5926,Larus michahellis,0,0
2022-03-20,2022,BY297,5926,Larus michahellis,0,0
2022-03-20,2022,BY73,5926,Larus michahellis,0,0
2022-03-21,2022,BY324,5926,Larus michahellis,0,0
2022-03-21,2022,BY454,5926,Larus michahellis,0,0
2022-03-26,2022,BY269,5926,Larus michahellis,0,0
2022-03-26,2022,BY86,5926,Larus michahellis,0,0
2022-03-27,2022,BY234,5926,Larus michahellis,0,0
2022-03-27,2022,BY308,5926,Larus michahellis,0,0
2022-04-15,2022,BY292,5926,Larus michahellis,0,0
2022-04-15,2022,BY73,5926,Larus michahellis,1,0
2022-04-18,2022,BY269,5926,Larus michahellis,0,0
2022-04-20,2022,BY297,5926,Larus michahellis,0,0
2022-04-20,2022,BY82,5926,Larus michahellis,0,0
2022-04-24,2022,BY454,5926,Larus michahellis,0,0
2022-05-01,2022,BY308,5926,Larus michahellis,0,0
2022-05-02,2022,BY86,5926,Larus michahellis,0,0
2022-05-06,2022,BY73,5926,Larus michahellis,0,0
2022-05-12,2022,BY454,5926,Larus michahellis,0,0
2022-05-14,2022,BY82,5926,Larus michahellis,0,0
2022-05-14,2022,BY86,5926,Larus michahellis,0,0
2022-05-15,2022,BY292,5926,Larus michahellis,0,0
2022-05-16,2022,BY234,5926,Larus michahellis,0,0
2022-05-17,2022,BY234,5926,Larus michahellis,0,0
2022-05-19,2022,BY269,5926,Larus michahellis,0,0
2022-05-30,2022,BY234,5926,Larus michahellis,0,0
2022-05-31,2022,BY297,5926,Larus michahellis,4,0
2022-06-11,2022,BY454,5926,Larus michahellis,0,0
2022-06-11,2022,BY73,5926,Larus michahellis,0,0
2022-06-12,2022,BY82,5926,Larus michahellis,0,0
2022-06-12,2022,BY86,5926,Larus michahellis,0,0
2022-06-14,2022,BY297,5926,Larus michahellis,0,0
2022-06-16,2022,BY308,5926,Larus michahellis,0,0
2022-06-19,2022,BY234,5926,Larus michahellis,0,0
2022-06-19,2022,BY269,5926,Larus michahellis,0,0
2023-03-18,2023,BY73,5926,Larus michahellis,0,0
2023-03-19,2023,BY82,5926,Larus michahellis,0,0
2023-03-20,2023,BY401,5926,Larus michahellis,4,0
2023-03-21,2023,BY454,5926,Larus michahellis,0,0
2023-03-23,2023,BY297,5926,Larus michahellis,0,0
2023-03-23,2023,BY86,5926,Larus michahellis,0,0
2023-03-25,2023,BY308,5926,Larus michahellis,0,0
2023-03-26,2023,BY269,5926,Larus michahellis,0,0
2023-03-26,2023,BY292,5926,Larus michahellis,1,0
2023-03-27,2023,BY64,5926,Larus michahellis,0,0
2023-03-28,2023,BY234,5926,Larus michahellis,0,0
2023-04-07,2023,BY297,5926,Larus michahellis,2,0
2023-04-10,2023,BY401,5926,Larus michahellis,3,0
2023-04-10,2023,BY82,5926,Larus michahellis,0,0
2023-04-16,2023,BY292,5926,Larus michahellis,0,0
2023-04-16,2023,BY308,5926,Larus michahellis,0,0
2023-04-21,2023,BY454,5926,Larus michahellis,0,0
2023-04-21,2023,BY86,5926,Larus michahellis,0,0
2023-04-22,2023,BY73,5926,Larus michahellis,0,0
2023-04-24,2023,BY64,5926,Larus michahellis,0,0
2023-04-30,2023,BY234,5926,Larus michahellis,0,0
2023-04-30,2023,BY269,5926,Larus michahellis,1,0
2023-05-01,2023,BY82,5926,Larus michahellis,0,0
2023-05-05,2023,BY308,5926,Larus michahellis,0,0
2023-05-06,2023,BY308,5926,Larus michahellis,0,0
2023-05-07,2023,BY297,5926,Larus michahellis,0,0
2023-05-13,2023,BY64,5926,Larus michahellis,0,0
2023-05-14,2023,BY86,5926,Larus michahellis,0,0
2023-05-18,2023,BY234,5926,Larus michahellis,1,0
2023-05-19,2023,BY401,5926,Larus michahellis,2,0
2023-05-19,2023,BY454,5926,Larus michahellis,0,0
2023-05-20,2023,BY269,5926,Larus michahellis,0,0
2023-05-20,2023,BY73,5926,Larus michahellis,0,0
2023-05-21,2023,BY292,5926,Larus michahellis,0,0
2023-06-03,2023,BY64,5926,Larus michahellis,0,0
2023-06-03,2023,BY73,5926,Larus michahellis,0,0
2023-06-04,2023,BY234,5926,Larus michahellis,2,0
2023-06-07,2023,BY297,5926,Larus michahellis,2,0
2023-06-07,2023,BY454,5926,Larus michahellis,0,0
2023-06-08,2023,BY269,5926,Larus michahellis,0,0
2023-06-08,2023,BY82,5926,Larus michahellis,0,0
2023-06-09,2023,BY401,5926,Larus michahellis,1,0
2023-06-17,2023,BY308,5926,Larus michahellis,0,0
2023-06-18,2023,BY292,5926,Larus michahellis,0,0
2023-06-18,2023,BY86,5926,Larus michahellis,0,0
2024-03-10,2024,BY401,5926,Larus michahellis,11,0
2024-03-14,2024,BY454,5926,Larus michahellis,0,0
2024-03-15,2024,BY73,5926,Larus michahellis,0,0
2024-03-16,2024,BY308,5926,Larus michahellis,1,0
2024-03-17,2024,BY82,5926,Larus michahellis,1,0
2024-03-20,2024,BY64,5926,Larus michahellis,0,0
2024-03-22,2024,BY86,5926,Larus michahellis,0,0
2024-03-23,2024,BY292,5926,Larus michahellis,2,0
2024-03-26,2024,BY269,5926,Larus michahellis,0,0
2024-03-29,2024,BY297,5926,Larus michahellis,4,0
2024-03-31,2024,BY234,5926,Larus michahellis,0,0
2024-04-05,2024,BY454,5926,Larus michahellis,0,0
2024-04-06,2024,BY73,5926,Larus michahellis,0,0
2024-04-07,2024,BY292,5926,Larus michahellis,0,0
2024-04-07,2024,BY82,5926,Larus michahellis,1,0
2024-04-11,2024,BY401,5926,Larus michahellis,0,0
2024-04-12,2024,BY297,5926,Larus michahellis,0,0
2024-04-14,2024,BY308,5926,Larus michahellis,0,0
2024-04-22,2024,BY86,5926,Larus michahellis,0,0
2024-04-23,2024,BY64,5926,Larus michahellis,0,0
2024-04-28,2024,BY234,5926,Larus michahellis,0,0
2024-04-28,2024,BY269,5926,Larus michahellis,0,0
2024-05-01,2024,BY82,5926,Larus michahellis,0,0
2024-05-06,2024,BY454,5926,Larus michahellis,0,0
2024-05-07,2024,BY64,5926,Larus michahellis,1,0
2024-05-09,2024,BY292,5926,Larus michahellis,0,0
2024-05-09,2024,BY401,5926,Larus michahellis,0,0
2024-05-11,2024,BY308,5926,Larus michahellis,0,0
2024-05-12,2024,BY73,5926,Larus michahellis,0,0
2024-05-14,2024,BY86,5926,Larus michahellis,1,0
2024-05-16,2024,BY297,5926,Larus michahellis,3,0
2024-05-19,2024,BY234,5926,Larus michahellis,0,0
2024-05-20,2024,BY269,5926,Larus michahellis,0,0
2024-05-27,2024,BY454,5926,Larus michahellis,0,0
2024-06-02,2024,BY64,5926,Larus michahellis,0,0
2024-06-05,2024,BY308,5926,Larus michahellis,0,0
2024-06-08,2024,BY401,5926,Larus michahellis,1,0
2024-06-09,2024,BY292,5926,Larus michahellis,1,0
2024-06-14,2024,BY234,5926,Larus michahellis,0,0
2024-06-16,2024,BY269,5926,Larus michahellis,0,0
2024-06-16,2024,BY73,5926,Larus michahellis,0,0
2024-06-16,2024,BY82,5926,Larus michahellis,0,0
2024-06-16,2024,BY86,5926,Larus michahellis,0,0
2024-06-17,2024,BY297,5926,Larus michahellis,0,0
