DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2021-03-13,2021,BY113,12380,Locustella luscinioides,0,0
2021-03-13,2021,BY237,12380,Locustella luscinioides,0,0
2021-03-26,2021,BY242,12380,Locustella luscinioides,0,0
2021-04-04,2021,BY113,12380,Locustella luscinioides,0,0
2021-04-11,2021,BY237,12380,Locustella luscinioides,0,0
2021-04-11,2021,BY242,12380,Locustella luscinioides,0,0
2021-05-04,2021,BY113,12380,Locustella luscinioides,1,1
2021-05-09,2021,BY242,12380,Locustella luscinioides,0,0
2021-05-11,2021,BY237,12380,Locustella luscinioides,1,1
2021-05-24,2021,BY242,12380,Locustella luscinioides,1,1
2021-06-01,2021,BY237,12380,Locustella luscinioides,0,0
2021-06-10,2021,BY113,12380,Locustella luscinioides,1,1
2022-03-13,2022,BY113,12380,Locustella luscinioides,0,0
2022-04-17,2022,BY113,12380,Locustella luscinioides,0,0
2022-05-05,2022,BY113,12380,Locustella luscinioides,2,2
2022-06-11,2022,BY113,12380,Locustella luscinioides,0,0
2023-03-18,2023,BY177,12380,Locustella luscinioides,0,0
2023-03-26,2023,BY113,12380,Locustella luscinioides,0,0
2023-04-10,2023,BY113,12380,Locustella luscinioides,0,0
2023-04-21,2023,BY177,12380,Locustella luscinioides,0,0
2023-05-04,2023,BY113,12380,Locustella luscinioides,2,2
2023-05-04,2023,BY177,12380,Locustella luscinioides,0,0
2023-05-27,2023,BY177,12380,Locustella luscinioides,3,3
2023-06-11,2023,BY113,12380,Locustella luscinioides,1,2
2024-03-17,2024,BY113,12380,Locustella luscinioides,0,0
2024-03-17,2024,BY242,12380,Locustella luscinioides,0,0
2024-03-28,2024,BY349,12380,Locustella luscinioides,0,0
2024-04-06,2024,BY113,12380,Locustella luscinioides,0,0
2024-04-07,2024,BY242,12380,Locustella luscinioides,0,0
2024-04-30,2024,BY349,12380,Locustella luscinioides,0,0
2024-05-01,2024,BY242,12380,Locustella luscinioides,1,1
2024-05-04,2024,BY113,12380,Locustella luscinioides,2,3
2024-05-14,2024,BY349,12380,Locustella luscinioides,1,1
2024-06-08,2024,BY349,12380,Locustella luscinioides,0,0
2024-06-09,2024,BY242,12380,Locustella luscinioides,0,0
2024-06-11,2024,BY113,12380,Locustella luscinioides,3,3
