DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY275,2230,Mergus merganser,0,0
2020-03-15,2020,BY113,2230,Mergus merganser,0,0
2020-03-15,2020,BY235,2230,Mergus merganser,2,0
2020-03-18,2020,BY173,2230,Mergus merganser,0,0
2020-03-20,2020,BY193,2230,Mergus merganser,0,0
2020-03-28,2020,BY332,2230,Mergus merganser,0,0
2020-04-05,2020,BY235,2230,Mergus merganser,0,0
2020-04-05,2020,BY275,2230,Mergus merganser,2,0
2020-04-09,2020,BY113,2230,Mergus merganser,0,0
2020-04-13,2020,BY274,2230,Mergus merganser,1,1
2020-04-15,2020,BY173,2230,Mergus merganser,0,0
2020-04-27,2020,BY193,2230,Mergus merganser,0,0
2020-05-02,2020,BY113,2230,Mergus merganser,0,0
2020-05-03,2020,BY274,2230,Mergus merganser,0,0
2020-05-03,2020,BY275,2230,Mergus merganser,0,0
2020-05-03,2020,BY332,2230,Mergus merganser,1,1
2020-05-10,2020,BY235,2230,Mergus merganser,0,0
2020-05-12,2020,BY173,2230,Mergus merganser,0,0
2020-05-19,2020,BY193,2230,Mergus merganser,0,0
2020-05-24,2020,BY235,2230,Mergus merganser,0,0
2020-05-24,2020,BY275,2230,Mergus merganser,0,0
2020-05-24,2020,BY332,2230,Mergus merganser,0,0
2020-05-30,2020,BY274,2230,Mergus merganser,1,1
2020-06-13,2020,BY332,2230,Mergus merganser,1,1
2020-06-16,2020,BY173,2230,Mergus merganser,0,0
2020-06-17,2020,BY193,2230,Mergus merganser,0,0
2020-06-18,2020,BY113,2230,Mergus merganser,0,0
2021-03-13,2021,BY113,2230,Mergus merganser,0,0
2021-03-13,2021,BY332,2230,Mergus merganser,0,0
2021-03-15,2021,BY297,2230,Mergus merganser,0,0
2021-03-21,2021,BY235,2230,Mergus merganser,0,0
2021-03-21,2021,BY274,2230,Mergus merganser,1,0
2021-03-24,2021,BY324,2230,Mergus merganser,1,0
2021-03-24,2021,BY358,2230,Mergus merganser,3,0
2021-03-25,2021,BY193,2230,Mergus merganser,2,0
2021-03-26,2021,BY164,2230,Mergus merganser,0,0
2021-03-26,2021,BY400,2230,Mergus merganser,1,1
2021-03-27,2021,BY269,2230,Mergus merganser,0,0
2021-03-28,2021,BY349,2230,Mergus merganser,0,0
2021-03-28,2021,BY82,2230,Mergus merganser,0,0
2021-03-29,2021,BY342,2230,Mergus merganser,0,0
2021-03-30,2021,BY173,2230,Mergus merganser,0,0
2021-03-30,2021,BY234,2230,Mergus merganser,0,0
2021-03-31,2021,BY246,2230,Mergus merganser,0,0
2021-03-31,2021,BY315,2230,Mergus merganser,0,0
2021-04-02,2021,BY458,2230,Mergus merganser,0,0
2021-04-04,2021,BY113,2230,Mergus merganser,0,0
2021-04-11,2021,BY235,2230,Mergus merganser,0,0
2021-04-11,2021,BY358,2230,Mergus merganser,2,0
2021-04-15,2021,BY297,2230,Mergus merganser,1,1
2021-04-17,2021,BY332,2230,Mergus merganser,2,2
2021-04-20,2021,BY324,2230,Mergus merganser,0,0
2021-04-21,2021,BY193,2230,Mergus merganser,0,0
2021-04-23,2021,BY173,2230,Mergus merganser,0,0
2021-04-24,2021,BY164,2230,Mergus merganser,0,0
2021-04-24,2021,BY246,2230,Mergus merganser,0,0
2021-04-24,2021,BY274,2230,Mergus merganser,1,0
2021-04-24,2021,BY349,2230,Mergus merganser,0,0
2021-04-24,2021,BY458,2230,Mergus merganser,0,0
2021-04-25,2021,BY234,2230,Mergus merganser,3,2
2021-04-25,2021,BY269,2230,Mergus merganser,2,0
2021-04-25,2021,BY315,2230,Mergus merganser,0,0
2021-04-25,2021,BY342,2230,Mergus merganser,0,0
2021-04-25,2021,BY82,2230,Mergus merganser,1,0
2021-04-26,2021,BY400,2230,Mergus merganser,1,1
2021-05-04,2021,BY113,2230,Mergus merganser,0,0
2021-05-08,2021,BY297,2230,Mergus merganser,4,1
2021-05-09,2021,BY173,2230,Mergus merganser,0,0
2021-05-09,2021,BY235,2230,Mergus merganser,0,0
2021-05-09,2021,BY332,2230,Mergus merganser,2,2
2021-05-09,2021,BY358,2230,Mergus merganser,0,0
2021-05-09,2021,BY82,2230,Mergus merganser,0,0
2021-05-10,2021,BY400,2230,Mergus merganser,1,1
2021-05-11,2021,BY164,2230,Mergus merganser,0,0
2021-05-11,2021,BY342,2230,Mergus merganser,0,0
2021-05-14,2021,BY274,2230,Mergus merganser,0,0
2021-05-14,2021,BY324,2230,Mergus merganser,0,0
2021-05-16,2021,BY234,2230,Mergus merganser,9,2
2021-05-16,2021,BY246,2230,Mergus merganser,0,0
2021-05-16,2021,BY269,2230,Mergus merganser,0,0
2021-05-20,2021,BY193,2230,Mergus merganser,0,0
2021-05-21,2021,BY349,2230,Mergus merganser,0,0
2021-05-24,2021,BY235,2230,Mergus merganser,0,0
2021-05-26,2021,BY458,2230,Mergus merganser,0,0
2021-05-29,2021,BY164,2230,Mergus merganser,0,0
2021-05-30,2021,BY297,2230,Mergus merganser,0,0
2021-06-02,2021,BY400,2230,Mergus merganser,9,1
2021-06-03,2021,BY82,2230,Mergus merganser,0,0
2021-06-04,2021,BY173,2230,Mergus merganser,0,0
2021-06-05,2021,BY342,2230,Mergus merganser,0,0
2021-06-07,2021,BY458,2230,Mergus merganser,0,0
2021-06-10,2021,BY113,2230,Mergus merganser,0,0
2021-06-11,2021,BY315,2230,Mergus merganser,0,0
2021-06-11,2021,BY324,2230,Mergus merganser,0,0
2021-06-11,2021,BY349,2230,Mergus merganser,0,0
2021-06-12,2021,BY274,2230,Mergus merganser,0,0
2021-06-13,2021,BY332,2230,Mergus merganser,1,2
2021-06-13,2021,BY358,2230,Mergus merganser,0,0
2021-06-14,2021,BY193,2230,Mergus merganser,0,0
2021-06-19,2021,BY246,2230,Mergus merganser,0,0
2021-06-20,2021,BY234,2230,Mergus merganser,13,2
2021-06-20,2021,BY269,2230,Mergus merganser,0,0
2022-03-11,2022,BY274,2230,Mergus merganser,0,0
2022-03-11,2022,BY345,2230,Mergus merganser,0,0
2022-03-13,2022,BY113,2230,Mergus merganser,15,0
2022-03-13,2022,BY292,2230,Mergus merganser,0,0
2022-03-13,2022,BY82,2230,Mergus merganser,0,0
2022-03-19,2022,BY164,2230,Mergus merganser,0,0
2022-03-20,2022,BY235,2230,Mergus merganser,0,0
2022-03-20,2022,BY297,2230,Mergus merganser,2,1
2022-03-20,2022,BY332,2230,Mergus merganser,2,1
2022-03-20,2022,BY349,2230,Mergus merganser,0,0
2022-03-21,2022,BY324,2230,Mergus merganser,0,0
2022-03-24,2022,BY358,2230,Mergus merganser,2,0
2022-03-25,2022,BY173,2230,Mergus merganser,0,0
2022-03-26,2022,BY193,2230,Mergus merganser,0,0
2022-03-26,2022,BY269,2230,Mergus merganser,0,0
2022-03-27,2022,BY214,2230,Mergus merganser,0,0
2022-03-27,2022,BY234,2230,Mergus merganser,2,1
2022-03-27,2022,BY246,2230,Mergus merganser,0,0
2022-03-27,2022,BY308,2230,Mergus merganser,0,0
2022-03-27,2022,BY342,2230,Mergus merganser,0,0
2022-03-27,2022,BY458,2230,Mergus merganser,0,0
2022-03-29,2022,BY315,2230,Mergus merganser,0,0
2022-04-06,2022,BY345,2230,Mergus merganser,0,0
2022-04-09,2022,BY235,2230,Mergus merganser,2,1
2022-04-14,2022,BY349,2230,Mergus merganser,1,0
2022-04-15,2022,BY173,2230,Mergus merganser,0,0
2022-04-15,2022,BY292,2230,Mergus merganser,1,0
2022-04-16,2022,BY164,2230,Mergus merganser,0,0
2022-04-17,2022,BY113,2230,Mergus merganser,0,0
2022-04-18,2022,BY269,2230,Mergus merganser,0,0
2022-04-18,2022,BY332,2230,Mergus merganser,1,1
2022-04-20,2022,BY274,2230,Mergus merganser,0,0
