DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2022-03-16,2022,BY136,8400,Merops apiaster,0,0
2022-04-13,2022,BY136,8400,Merops apiaster,0,0
2022-05-13,2022,BY136,8400,Merops apiaster,0,0
2022-06-12,2022,BY136,8400,Merops apiaster,0,0
2023-03-17,2023,BY136,8400,Merops apiaster,0,0
2023-04-25,2023,BY136,8400,Merops apiaster,0,0
2023-05-18,2023,BY136,8400,Merops apiaster,0,0
2023-06-11,2023,BY136,8400,Merops apiaster,0,0
2024-03-20,2024,BY136,8400,Merops apiaster,0,0
2024-04-29,2024,BY136,8400,Merops apiaster,0,0
2024-05-13,2024,BY136,8400,Merops apiaster,2,0
2024-06-10,2024,BY136,8400,Merops apiaster,0,0
