DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,2390,Milvus milvus,3,1
2020-03-16,2020,BY365,2390,Milvus milvus,0,0
2020-03-19,2020,BY114,2390,Milvus milvus,0,0
2020-03-28,2020,BY65,2390,Milvus milvus,0,0
2020-03-31,2020,BY169,2390,Milvus milvus,1,1
2020-04-04,2020,BY354,2390,Milvus milvus,2,1
2020-04-07,2020,BY114,2390,Milvus milvus,0,0
2020-04-08,2020,BY365,2390,Milvus milvus,0,0
2020-04-10,2020,BY272,2390,Milvus milvus,2,1
2020-04-17,2020,BY65,2390,Milvus milvus,3,1
2020-04-18,2020,BY169,2390,Milvus milvus,0,0
2020-04-26,2020,BY354,2390,Milvus milvus,1,1
2020-05-01,2020,BY114,2390,Milvus milvus,2,1
2020-05-07,2020,BY65,2390,Milvus milvus,0,0
2020-05-09,2020,BY272,2390,Milvus milvus,1,1
2020-05-12,2020,BY365,2390,Milvus milvus,0,0
2020-05-17,2020,BY169,2390,Milvus milvus,3,1
2020-05-19,2020,BY354,2390,Milvus milvus,0,0
2020-06-01,2020,BY354,2390,Milvus milvus,2,1
2020-06-02,2020,BY65,2390,Milvus milvus,1,1
2020-06-12,2020,BY272,2390,Milvus milvus,2,1
2020-06-12,2020,BY365,2390,Milvus milvus,2,1
2020-06-13,2020,BY114,2390,Milvus milvus,0,0
2020-06-19,2020,BY169,2390,Milvus milvus,3,1
2021-03-13,2021,BY165,2390,Milvus milvus,0,0
2021-03-13,2021,BY332,2390,Milvus milvus,0,0
2021-03-20,2021,BY181,2390,Milvus milvus,0,0
2021-03-21,2021,BY168,2390,Milvus milvus,0,0
2021-03-21,2021,BY274,2390,Milvus milvus,2,1
2021-03-23,2021,BY205,2390,Milvus milvus,1,1
2021-03-23,2021,BY338,2390,Milvus milvus,0,0
2021-03-23,2021,BY341,2390,Milvus milvus,0,0
2021-03-24,2021,BY358,2390,Milvus milvus,1,1
2021-03-25,2021,BY272,2390,Milvus milvus,2,1
2021-03-26,2021,BY132,2390,Milvus milvus,0,0
2021-03-26,2021,BY17,2390,Milvus milvus,0,0
2021-03-27,2021,BY269,2390,Milvus milvus,0,0
2021-04-10,2021,BY132,2390,Milvus milvus,0,0
2021-04-10,2021,BY165,2390,Milvus milvus,1,1
2021-04-10,2021,BY168,2390,Milvus milvus,0,0
2021-04-11,2021,BY341,2390,Milvus milvus,6,1
2021-04-11,2021,BY358,2390,Milvus milvus,2,1
2021-04-17,2021,BY181,2390,Milvus milvus,0,0
2021-04-17,2021,BY332,2390,Milvus milvus,0,0
2021-04-23,2021,BY338,2390,Milvus milvus,0,0
2021-04-24,2021,BY272,2390,Milvus milvus,1,1
2021-04-24,2021,BY274,2390,Milvus milvus,0,0
2021-04-25,2021,BY17,2390,Milvus milvus,0,0
2021-04-25,2021,BY269,2390,Milvus milvus,0,0
2021-04-27,2021,BY205,2390,Milvus milvus,1,1
2021-05-08,2021,BY165,2390,Milvus milvus,0,0
2021-05-08,2021,BY168,2390,Milvus milvus,1,1
2021-05-08,2021,BY341,2390,Milvus milvus,2,1
2021-05-09,2021,BY332,2390,Milvus milvus,2,1
2021-05-09,2021,BY358,2390,Milvus milvus,1,1
2021-05-10,2021,BY272,2390,Milvus milvus,0,0
2021-05-11,2021,BY181,2390,Milvus milvus,1,1
2021-05-14,2021,BY132,2390,Milvus milvus,0,0
2021-05-14,2021,BY274,2390,Milvus milvus,2,1
2021-05-16,2021,BY269,2390,Milvus milvus,5,1
