DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY272,13354,Muscicapa striata,0,0
2020-03-15,2020,BY133,13354,Muscicapa striata,0,0
2020-03-17,2020,BY362,13354,Muscicapa striata,0,0
2020-03-18,2020,BY173,13354,Muscicapa striata,0,0
2020-03-19,2020,BY114,13354,Muscicapa striata,0,0
2020-03-20,2020,BY286,13354,Muscicapa striata,0,0
2020-03-20,2020,BY31,13354,Muscicapa striata,0,0
2020-03-25,2020,BY238,13354,Muscicapa striata,0,0
2020-03-27,2020,BY120,13354,Muscicapa striata,0,0
2020-03-27,2020,BY139,13354,Muscicapa striata,0,0
2020-03-27,2020,BY453,13354,Muscicapa striata,0,0
2020-03-28,2020,BY332,13354,Muscicapa striata,0,0
2020-03-28,2020,BY65,13354,Muscicapa striata,0,0
2020-04-05,2020,BY286,13354,Muscicapa striata,0,0
2020-04-07,2020,BY114,13354,Muscicapa striata,0,0
2020-04-07,2020,BY388,13354,Muscicapa striata,0,0
2020-04-10,2020,BY133,13354,Muscicapa striata,0,0
2020-04-10,2020,BY272,13354,Muscicapa striata,0,0
2020-04-13,2020,BY274,13354,Muscicapa striata,0,0
2020-04-15,2020,BY173,13354,Muscicapa striata,0,0
2020-04-17,2020,BY31,13354,Muscicapa striata,0,0
2020-04-17,2020,BY362,13354,Muscicapa striata,0,0
2020-04-17,2020,BY65,13354,Muscicapa striata,0,0
2020-04-18,2020,BY120,13354,Muscicapa striata,0,0
2020-04-18,2020,BY161,13354,Muscicapa striata,0,0
2020-04-22,2020,BY453,13354,Muscicapa striata,0,0
2020-04-24,2020,BY139,13354,Muscicapa striata,0,0
2020-04-29,2020,BY238,13354,Muscicapa striata,0,0
2020-04-30,2020,BY424,13354,Muscicapa striata,0,0
2020-05-01,2020,BY114,13354,Muscicapa striata,0,0
2020-05-03,2020,BY274,13354,Muscicapa striata,0,0
2020-05-03,2020,BY286,13354,Muscicapa striata,0,0
2020-05-03,2020,BY332,13354,Muscicapa striata,0,0
2020-05-07,2020,BY65,13354,Muscicapa striata,0,0
2020-05-09,2020,BY272,13354,Muscicapa striata,0,0
2020-05-10,2020,BY133,13354,Muscicapa striata,0,0
2020-05-10,2020,BY388,13354,Muscicapa striata,0,0
2020-05-12,2020,BY173,13354,Muscicapa striata,0,0
2020-05-15,2020,BY139,13354,Muscicapa striata,1,0
2020-05-16,2020,BY120,13354,Muscicapa striata,0,0
2020-05-16,2020,BY31,13354,Muscicapa striata,1,0
2020-05-17,2020,BY362,13354,Muscicapa striata,0,0
2020-05-19,2020,BY238,13354,Muscicapa striata,0,0
2020-05-20,2020,BY453,13354,Muscicapa striata,0,0
2020-05-22,2020,BY388,13354,Muscicapa striata,0,0
2020-05-24,2020,BY286,13354,Muscicapa striata,0,0
2020-05-24,2020,BY332,13354,Muscicapa striata,0,0
2020-05-27,2020,BY424,13354,Muscicapa striata,0,0
2020-05-30,2020,BY274,13354,Muscicapa striata,0,0
2020-06-01,2020,BY133,13354,Muscicapa striata,0,0
2020-06-02,2020,BY65,13354,Muscicapa striata,0,0
2020-06-03,2020,BY238,13354,Muscicapa striata,0,0
2020-06-09,2020,BY31,13354,Muscicapa striata,0,0
2020-06-12,2020,BY139,13354,Muscicapa striata,0,0
2020-06-12,2020,BY272,13354,Muscicapa striata,0,0
2020-06-12,2020,BY388,13354,Muscicapa striata,0,0
2020-06-13,2020,BY114,13354,Muscicapa striata,0,0
2020-06-13,2020,BY332,13354,Muscicapa striata,0,0
2020-06-16,2020,BY173,13354,Muscicapa striata,0,0
2020-06-17,2020,BY453,13354,Muscicapa striata,0,0
2020-06-18,2020,BY120,13354,Muscicapa striata,0,0
2020-06-18,2020,BY362,13354,Muscicapa striata,0,0
2020-06-25,2020,BY424,13354,Muscicapa striata,0,0
2020-07-23,2020,BY424,13354,Muscicapa striata,0,0
2021-03-13,2021,BY113,13354,Muscicapa striata,0,0
2021-03-13,2021,BY165,13354,Muscicapa striata,0,0
2021-03-13,2021,BY237,13354,Muscicapa striata,0,0
2021-03-13,2021,BY302,13354,Muscicapa striata,0,0
2021-03-13,2021,BY332,13354,Muscicapa striata,0,0
2021-03-16,2021,BY110,13354,Muscicapa striata,0,0
2021-03-20,2021,BY181,13354,Muscicapa striata,0,0
2021-03-22,2021,BY31,13354,Muscicapa striata,0,0
2021-03-23,2021,BY205,13354,Muscicapa striata,1,0
2021-03-25,2021,BY272,13354,Muscicapa striata,0,0
2021-03-25,2021,BY453,13354,Muscicapa striata,0,0
2021-03-26,2021,BY132,13354,Muscicapa striata,0,0
2021-03-26,2021,BY160,13354,Muscicapa striata,0,0
2021-03-26,2021,BY464,13354,Muscicapa striata,0,0
2021-03-28,2021,BY133,13354,Muscicapa striata,0,0
2021-03-28,2021,BY139,13354,Muscicapa striata,0,0
2021-03-28,2021,BY217,13354,Muscicapa striata,0,0
2021-03-28,2021,BY349,13354,Muscicapa striata,0,0
2021-03-29,2021,BY201,13354,Muscicapa striata,0,0
2021-03-29,2021,BY238,13354,Muscicapa striata,0,0
2021-03-29,2021,BY342,13354,Muscicapa striata,0,0
2021-03-29,2021,BY65,13354,Muscicapa striata,0,0
2021-03-29,2021,BY901,13354,Muscicapa striata,0,0
2021-03-30,2021,BY122,13354,Muscicapa striata,0,0
2021-04-04,2021,BY113,13354,Muscicapa striata,0,0
2021-04-05,2021,BY302,13354,Muscicapa striata,0,0
2021-04-10,2021,BY132,13354,Muscicapa striata,0,0
2021-04-10,2021,BY165,13354,Muscicapa striata,0,0
2021-04-11,2021,BY133,13354,Muscicapa striata,0,0
2021-04-11,2021,BY237,13354,Muscicapa striata,0,0
2021-04-16,2021,BY110,13354,Muscicapa striata,0,0
2021-04-17,2021,BY181,13354,Muscicapa striata,0,0
