DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY337,15570,Nucifraga caryocatactes,0,0
2020-03-16,2020,BY365,15570,Nucifraga caryocatactes,2,1
2020-03-27,2020,BY460,15570,Nucifraga caryocatactes,1,1
2020-04-08,2020,BY365,15570,Nucifraga caryocatactes,0,0
2020-04-11,2020,BY337,15570,Nucifraga caryocatactes,0,0
2020-04-16,2020,BY460,15570,Nucifraga caryocatactes,0,0
2020-04-28,2020,BY415,15570,Nucifraga caryocatactes,3,2
2020-04-30,2020,BY424,15570,Nucifraga caryocatactes,5,4
2020-05-08,2020,BY492,15570,Nucifraga caryocatactes,1,3
2020-05-12,2020,BY365,15570,Nucifraga caryocatactes,0,0
2020-05-16,2020,BY337,15570,Nucifraga caryocatactes,1,1
2020-05-17,2020,BY460,15570,Nucifraga caryocatactes,0,0
2020-05-20,2020,BY492,15570,Nucifraga caryocatactes,1,3
2020-05-21,2020,BY456,15570,Nucifraga caryocatactes,1,1
2020-05-27,2020,BY415,15570,Nucifraga caryocatactes,1,2
2020-05-27,2020,BY424,15570,Nucifraga caryocatactes,4,4
2020-05-30,2020,BY456,15570,Nucifraga caryocatactes,0,0
2020-06-01,2020,BY337,15570,Nucifraga caryocatactes,0,0
2020-06-03,2020,BY456,15570,Nucifraga caryocatactes,1,1
2020-06-12,2020,BY365,15570,Nucifraga caryocatactes,0,0
2020-06-17,2020,BY460,15570,Nucifraga caryocatactes,0,0
2020-06-24,2020,BY456,15570,Nucifraga caryocatactes,3,1
2020-06-24,2020,BY492,15570,Nucifraga caryocatactes,4,3
2020-06-25,2020,BY424,15570,Nucifraga caryocatactes,4,4
2020-07-09,2020,BY415,15570,Nucifraga caryocatactes,0,0
2020-07-09,2020,BY492,15570,Nucifraga caryocatactes,5,3
2020-07-23,2020,BY424,15570,Nucifraga caryocatactes,9,4
2021-03-26,2021,BY132,15570,Nucifraga caryocatactes,0,0
2021-03-26,2021,BY464,15570,Nucifraga caryocatactes,0,0
2021-03-28,2021,BY133,15570,Nucifraga caryocatactes,0,0
2021-03-29,2021,BY342,15570,Nucifraga caryocatactes,2,2
2021-04-02,2021,BY458,15570,Nucifraga caryocatactes,0,0
2021-04-10,2021,BY132,15570,Nucifraga caryocatactes,0,0
2021-04-11,2021,BY133,15570,Nucifraga caryocatactes,0,0
2021-04-24,2021,BY458,15570,Nucifraga caryocatactes,0,0
2021-04-25,2021,BY342,15570,Nucifraga caryocatactes,0,0
2021-04-29,2021,BY464,15570,Nucifraga caryocatactes,0,0
2021-05-09,2021,BY133,15570,Nucifraga caryocatactes,0,0
2021-05-09,2021,BY456,15570,Nucifraga caryocatactes,0,0
2021-05-10,2021,BY469,15570,Nucifraga caryocatactes,1,1
2021-05-11,2021,BY342,15570,Nucifraga caryocatactes,0,0
2021-05-11,2021,BY415,15570,Nucifraga caryocatactes,5,3
2021-05-14,2021,BY132,15570,Nucifraga caryocatactes,1,1
2021-05-16,2021,BY464,15570,Nucifraga caryocatactes,1,2
2021-05-26,2021,BY458,15570,Nucifraga caryocatactes,1,1
2021-05-29,2021,BY132,15570,Nucifraga caryocatactes,0,0
2021-06-02,2021,BY415,15570,Nucifraga caryocatactes,6,3
2021-06-03,2021,BY133,15570,Nucifraga caryocatactes,1,1
2021-06-03,2021,BY456,15570,Nucifraga caryocatactes,1,3
2021-06-05,2021,BY342,15570,Nucifraga caryocatactes,0,0
2021-06-07,2021,BY458,15570,Nucifraga caryocatactes,2,1
2021-06-13,2021,BY464,15570,Nucifraga caryocatactes,1,2
2021-06-16,2021,BY456,15570,Nucifraga caryocatactes,2,3
2021-06-16,2021,BY469,15570,Nucifraga caryocatactes,0,0
2021-06-19,2021,BY471,15570,Nucifraga caryocatactes,1,1
2021-06-26,2021,BY415,15570,Nucifraga caryocatactes,0,0
2021-06-28,2021,BY469,15570,Nucifraga caryocatactes,0,0
2021-07-10,2021,BY471,15570,Nucifraga caryocatactes,2,1
2021-07-12,2021,BY469,15570,Nucifraga caryocatactes,0,0
2021-07-23,2021,BY415,15570,Nucifraga caryocatactes,2,3
2021-07-29,2021,BY471,15570,Nucifraga caryocatactes,0,0
2022-03-19,2022,BY338,15570,Nucifraga caryocatactes,0,0
2022-03-20,2022,BY163,15570,Nucifraga caryocatactes,0,0
2022-03-26,2022,BY329,15570,Nucifraga caryocatactes,0,0
2022-03-27,2022,BY342,15570,Nucifraga caryocatactes,0,0
2022-03-27,2022,BY458,15570,Nucifraga caryocatactes,0,0
2022-04-17,2022,BY163,15570,Nucifraga caryocatactes,2,1
2022-04-17,2022,BY329,15570,Nucifraga caryocatactes,0,0
2022-04-19,2022,BY338,15570,Nucifraga caryocatactes,0,0
2022-04-21,2022,BY342,15570,Nucifraga caryocatactes,1,1
2022-04-28,2022,BY458,15570,Nucifraga caryocatactes,0,0
2022-04-28,2022,BY469,15570,Nucifraga caryocatactes,0,0
2022-04-29,2022,BY415,15570,Nucifraga caryocatactes,0,0
2022-05-01,2022,BY163,15570,Nucifraga caryocatactes,0,0
2022-05-10,2022,BY383,15570,Nucifraga caryocatactes,2,1
2022-05-14,2022,BY338,15570,Nucifraga caryocatactes,1,1
2022-05-15,2022,BY372,15570,Nucifraga caryocatactes,0,0
