DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,15080,Oriolus oriolus,0,0
2020-03-15,2020,BY113,15080,Oriolus oriolus,0,0
2020-03-15,2020,BY119,15080,Oriolus oriolus,0,0
2020-03-16,2020,BY151,15080,Oriolus oriolus,0,0
2020-03-17,2020,BY362,15080,Oriolus oriolus,0,0
2020-03-19,2020,BY114,15080,Oriolus oriolus,0,0
2020-03-25,2020,BY238,15080,Oriolus oriolus,0,0
2020-03-27,2020,BY271,15080,Oriolus oriolus,0,0
2020-03-28,2020,BY290,15080,Oriolus oriolus,0,0
2020-04-07,2020,BY114,15080,Oriolus oriolus,0,0
2020-04-08,2020,BY151,15080,Oriolus oriolus,0,0
2020-04-09,2020,BY113,15080,Oriolus oriolus,0,0
2020-04-09,2020,BY157,15080,Oriolus oriolus,0,0
2020-04-11,2020,BY290,15080,Oriolus oriolus,0,0
2020-04-12,2020,BY119,15080,Oriolus oriolus,0,0
2020-04-15,2020,BY271,15080,Oriolus oriolus,0,0
2020-04-17,2020,BY362,15080,Oriolus oriolus,0,0
2020-04-18,2020,BY161,15080,Oriolus oriolus,0,0
2020-04-29,2020,BY238,15080,Oriolus oriolus,0,0
2020-05-01,2020,BY114,15080,Oriolus oriolus,0,0
2020-05-02,2020,BY113,15080,Oriolus oriolus,0,0
2020-05-05,2020,BY151,15080,Oriolus oriolus,0,0
2020-05-07,2020,BY157,15080,Oriolus oriolus,0,0
2020-05-07,2020,BY271,15080,Oriolus oriolus,0,0
2020-05-10,2020,BY119,15080,Oriolus oriolus,0,0
2020-05-10,2020,BY290,15080,Oriolus oriolus,0,0
2020-05-17,2020,BY362,15080,Oriolus oriolus,0,0
2020-05-19,2020,BY238,15080,Oriolus oriolus,0,0
2020-05-29,2020,BY271,15080,Oriolus oriolus,0,0
2020-05-31,2020,BY290,15080,Oriolus oriolus,1,0
2020-06-01,2020,BY157,15080,Oriolus oriolus,0,0
2020-06-02,2020,BY157,15080,Oriolus oriolus,0,0
