DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,14640,Parus major,21,29
2020-03-13,2020,BY203,14640,Parus major,4,4
2020-03-14,2020,BY127,14640,Parus major,7,14
2020-03-14,2020,BY272,14640,Parus major,7,12
2020-03-14,2020,BY275,14640,Parus major,12,19
2020-03-15,2020,BY113,14640,Parus major,3,5
2020-03-15,2020,BY119,14640,Parus major,17,14
2020-03-15,2020,BY121,14640,Parus major,21,13
2020-03-15,2020,BY133,14640,Parus major,21,38
2020-03-15,2020,BY230,14640,Parus major,13,13
2020-03-15,2020,BY235,14640,Parus major,4,7
2020-03-15,2020,BY242,14640,Parus major,6,23
2020-03-15,2020,BY337,14640,Parus major,16,29
2020-03-15,2020,BY57,14640,Parus major,3,5
2020-03-16,2020,BY151,14640,Parus major,17,18
2020-03-16,2020,BY365,14640,Parus major,11,16
2020-03-17,2020,BY276,14640,Parus major,12,3
2020-03-17,2020,BY362,14640,Parus major,3,5
2020-03-18,2020,BY173,14640,Parus major,9,13
2020-03-18,2020,BY221,14640,Parus major,14,6
2020-03-18,2020,BY231,14640,Parus major,13,17
2020-03-18,2020,BY243,14640,Parus major,26,37
2020-03-19,2020,BY109,14640,Parus major,0,0
2020-03-19,2020,BY114,14640,Parus major,4,17
2020-03-19,2020,BY124,14640,Parus major,23,44
2020-03-19,2020,BY19,14640,Parus major,54,40
2020-03-19,2020,BY236,14640,Parus major,15,17
2020-03-19,2020,BY237,14640,Parus major,5,10
2020-03-20,2020,BY158,14640,Parus major,26,19
2020-03-20,2020,BY193,14640,Parus major,14,11
2020-03-20,2020,BY286,14640,Parus major,12,22
2020-03-20,2020,BY31,14640,Parus major,6,10
2020-03-20,2020,BY321,14640,Parus major,3,8
2020-03-20,2020,BY454,14640,Parus major,8,15
2020-03-22,2020,BY137,14640,Parus major,12,55
2020-03-22,2020,BY86,14640,Parus major,18,23
2020-03-23,2020,BY138,14640,Parus major,11,9
2020-03-25,2020,BY107,14640,Parus major,6,9
2020-03-25,2020,BY132,14640,Parus major,13,33
2020-03-25,2020,BY238,14640,Parus major,5,5
2020-03-27,2020,BY120,14640,Parus major,28,20
2020-03-27,2020,BY139,14640,Parus major,11,15
2020-03-27,2020,BY271,14640,Parus major,3,0
2020-03-27,2020,BY453,14640,Parus major,24,30
2020-03-27,2020,BY460,14640,Parus major,7,10
2020-03-28,2020,BY290,14640,Parus major,2,9
2020-03-28,2020,BY291,14640,Parus major,14,11
2020-03-28,2020,BY332,14640,Parus major,12,10
2020-03-28,2020,BY65,14640,Parus major,31,39
2020-03-29,2020,BY217,14640,Parus major,26,37
2020-03-31,2020,BY16,14640,Parus major,8,10
2020-03-31,2020,BY169,14640,Parus major,2,1
2020-04-04,2020,BY354,14640,Parus major,4,8
2020-04-05,2020,BY124,14640,Parus major,22,44
2020-04-05,2020,BY127,14640,Parus major,12,14
2020-04-05,2020,BY235,14640,Parus major,10,7
2020-04-05,2020,BY242,14640,Parus major,15,23
2020-04-05,2020,BY275,14640,Parus major,10,19
2020-04-05,2020,BY286,14640,Parus major,8,22
2020-04-06,2020,BY221,14640,Parus major,9,6
2020-04-07,2020,BY114,14640,Parus major,10,17
2020-04-07,2020,BY243,14640,Parus major,20,37
2020-04-07,2020,BY388,14640,Parus major,2,3
2020-04-08,2020,BY151,14640,Parus major,14,18
2020-04-08,2020,BY365,14640,Parus major,10,16
2020-04-09,2020,BY113,14640,Parus major,2,5
2020-04-09,2020,BY157,14640,Parus major,23,29
2020-04-09,2020,BY230,14640,Parus major,8,13
2020-04-10,2020,BY121,14640,Parus major,19,13
2020-04-10,2020,BY133,14640,Parus major,25,38
2020-04-10,2020,BY272,14640,Parus major,6,12
2020-04-11,2020,BY137,14640,Parus major,38,55
2020-04-11,2020,BY236,14640,Parus major,12,17
2020-04-11,2020,BY290,14640,Parus major,10,9
2020-04-11,2020,BY337,14640,Parus major,20,29
2020-04-11,2020,BY454,14640,Parus major,9,15
2020-04-11,2020,BY57,14640,Parus major,0,0
2020-04-12,2020,BY119,14640,Parus major,9,14
2020-04-13,2020,BY274,14640,Parus major,13,19
2020-04-15,2020,BY173,14640,Parus major,4,13
2020-04-15,2020,BY231,14640,Parus major,6,17
2020-04-15,2020,BY271,14640,Parus major,2,0
2020-04-16,2020,BY203,14640,Parus major,4,4
2020-04-16,2020,BY383,14640,Parus major,0,0
2020-04-16,2020,BY460,14640,Parus major,5,10
2020-04-17,2020,BY276,14640,Parus major,12,3
2020-04-17,2020,BY31,14640,Parus major,12,10
2020-04-17,2020,BY321,14640,Parus major,8,8
2020-04-17,2020,BY362,14640,Parus major,5,5
2020-04-17,2020,BY65,14640,Parus major,35,39
2020-04-18,2020,BY120,14640,Parus major,22,20
2020-04-18,2020,BY132,14640,Parus major,15,33
2020-04-18,2020,BY161,14640,Parus major,21,21
2020-04-18,2020,BY169,14640,Parus major,0,0
2020-04-18,2020,BY86,14640,Parus major,14,23
2020-04-19,2020,BY217,14640,Parus major,25,37
2020-04-22,2020,BY453,14640,Parus major,19,30
2020-04-24,2020,BY139,14640,Parus major,12,15
2020-04-24,2020,BY19,14640,Parus major,25,40
2020-04-26,2020,BY109,14640,Parus major,0,0
2020-04-26,2020,BY354,14640,Parus major,10,8
2020-04-27,2020,BY107,14640,Parus major,2,9
2020-04-27,2020,BY16,14640,Parus major,6,10
2020-04-27,2020,BY193,14640,Parus major,15,11
2020-04-28,2020,BY291,14640,Parus major,8,11
2020-04-29,2020,BY238,14640,Parus major,1,5
2020-04-30,2020,BY138,14640,Parus major,7,9
2020-04-30,2020,BY158,14640,Parus major,19,19
2020-04-30,2020,BY424,14640,Parus major,0,0
2020-05-01,2020,BY114,14640,Parus major,11,17
2020-05-01,2020,BY230,14640,Parus major,7,13
2020-05-02,2020,BY113,14640,Parus major,4,5
2020-05-02,2020,BY221,14640,Parus major,5,6
2020-05-03,2020,BY127,14640,Parus major,11,14
2020-05-03,2020,BY274,14640,Parus major,14,19
2020-05-03,2020,BY275,14640,Parus major,10,19
2020-05-03,2020,BY286,14640,Parus major,20,22
2020-05-03,2020,BY332,14640,Parus major,9,10
2020-05-05,2020,BY151,14640,Parus major,6,18
2020-05-07,2020,BY132,14640,Parus major,21,33
2020-05-07,2020,BY157,14640,Parus major,18,29
2020-05-07,2020,BY271,14640,Parus major,1,0
2020-05-07,2020,BY490,14640,Parus major,0,0
2020-05-07,2020,BY57,14640,Parus major,4,5
2020-05-07,2020,BY65,14640,Parus major,36,39
2020-05-08,2020,BY203,14640,Parus major,1,4
2020-05-09,2020,BY124,14640,Parus major,23,44
2020-05-09,2020,BY272,14640,Parus major,4,12
2020-05-09,2020,BY454,14640,Parus major,13,15
2020-05-10,2020,BY119,14640,Parus major,11,14
2020-05-10,2020,BY133,14640,Parus major,21,38
2020-05-10,2020,BY217,14640,Parus major,11,37
2020-05-10,2020,BY235,14640,Parus major,6,7
2020-05-10,2020,BY242,14640,Parus major,11,23
2020-05-10,2020,BY290,14640,Parus major,8,9
2020-05-10,2020,BY388,14640,Parus major,2,3
2020-05-11,2020,BY243,14640,Parus major,11,37
2020-05-11,2020,BY321,14640,Parus major,4,8
2020-05-12,2020,BY173,14640,Parus major,4,13
2020-05-12,2020,BY365,14640,Parus major,5,16
2020-05-14,2020,BY231,14640,Parus major,5,17
2020-05-15,2020,BY139,14640,Parus major,8,15
2020-05-16,2020,BY120,14640,Parus major,13,20
2020-05-16,2020,BY121,14640,Parus major,13,13
2020-05-16,2020,BY137,14640,Parus major,35,55
2020-05-16,2020,BY31,14640,Parus major,4,10
2020-05-16,2020,BY337,14640,Parus major,12,29
2020-05-16,2020,BY86,14640,Parus major,13,23
2020-05-17,2020,BY169,14640,Parus major,0,0
2020-05-17,2020,BY237,14640,Parus major,5,10
2020-05-17,2020,BY276,14640,Parus major,7,3
2020-05-17,2020,BY362,14640,Parus major,2,5
2020-05-17,2020,BY460,14640,Parus major,4,10
2020-05-18,2020,BY16,14640,Parus major,4,10
2020-05-18,2020,BY19,14640,Parus major,26,40
2020-05-18,2020,BY236,14640,Parus major,7,17
2020-05-18,2020,BY383,14640,Parus major,0,0
2020-05-19,2020,BY193,14640,Parus major,9,11
2020-05-19,2020,BY238,14640,Parus major,2,5
2020-05-19,2020,BY291,14640,Parus major,6,11
2020-05-19,2020,BY354,14640,Parus major,4,8
2020-05-20,2020,BY109,14640,Parus major,0,0
2020-05-20,2020,BY138,14640,Parus major,2,9
2020-05-20,2020,BY453,14640,Parus major,12,30
2020-05-21,2020,BY158,14640,Parus major,23,19
2020-05-21,2020,BY456,14640,Parus major,1,4
2020-05-22,2020,BY388,14640,Parus major,2,3
2020-05-24,2020,BY230,14640,Parus major,5,13
2020-05-24,2020,BY235,14640,Parus major,5,7
2020-05-24,2020,BY275,14640,Parus major,10,19
2020-05-24,2020,BY286,14640,Parus major,12,22
2020-05-24,2020,BY332,14640,Parus major,3,10
2020-05-26,2020,BY221,14640,Parus major,4,6
2020-05-27,2020,BY383,14640,Parus major,0,0
2020-05-27,2020,BY424,14640,Parus major,1,1
2020-05-28,2020,BY490,14640,Parus major,1,1
2020-05-29,2020,BY271,14640,Parus major,7,0
2020-05-30,2020,BY132,14640,Parus major,14,33
2020-05-30,2020,BY274,14640,Parus major,7,19
2020-05-30,2020,BY456,14640,Parus major,3,4
2020-05-31,2020,BY137,14640,Parus major,31,55
2020-05-31,2020,BY217,14640,Parus major,19,37
2020-05-31,2020,BY290,14640,Parus major,1,9
2020-06-01,2020,BY124,14640,Parus major,13,44
2020-06-01,2020,BY133,14640,Parus major,15,38
2020-06-01,2020,BY157,14640,Parus major,0,0
2020-06-01,2020,BY337,14640,Parus major,7,29
2020-06-01,2020,BY354,14640,Parus major,3,8
2020-06-01,2020,BY57,14640,Parus major,5,5
2020-06-02,2020,BY157,14640,Parus major,8,29
2020-06-02,2020,BY19,14640,Parus major,18,40
2020-06-02,2020,BY65,14640,Parus major,19,39
2020-06-03,2020,BY238,14640,Parus major,2,5
2020-06-03,2020,BY456,14640,Parus major,0,0
2020-06-08,2020,BY151,14640,Parus major,2,18
2020-06-08,2020,BY243,14640,Parus major,7,37
2020-06-09,2020,BY31,14640,Parus major,6,10
2020-06-12,2020,BY121,14640,Parus major,11,13
2020-06-12,2020,BY139,14640,Parus major,5,15
2020-06-12,2020,BY16,14640,Parus major,3,10
2020-06-12,2020,BY231,14640,Parus major,2,17
2020-06-12,2020,BY242,14640,Parus major,10,23
2020-06-12,2020,BY272,14640,Parus major,5,12
2020-06-12,2020,BY276,14640,Parus major,5,3
2020-06-12,2020,BY365,14640,Parus major,8,16
2020-06-12,2020,BY388,14640,Parus major,0,0
2020-06-13,2020,BY114,14640,Parus major,0,0
2020-06-13,2020,BY119,14640,Parus major,8,14
2020-06-13,2020,BY158,14640,Parus major,10,19
2020-06-13,2020,BY236,14640,Parus major,6,17
2020-06-13,2020,BY237,14640,Parus major,2,10
2020-06-13,2020,BY321,14640,Parus major,1,8
2020-06-13,2020,BY332,14640,Parus major,3,10
2020-06-13,2020,BY454,14640,Parus major,8,15
2020-06-13,2020,BY86,14640,Parus major,10,23
2020-06-14,2020,BY127,14640,Parus major,0,0
2020-06-16,2020,BY173,14640,Parus major,6,13
2020-06-17,2020,BY193,14640,Parus major,9,11
2020-06-17,2020,BY383,14640,Parus major,0,0
2020-06-17,2020,BY453,14640,Parus major,16,30
2020-06-17,2020,BY460,14640,Parus major,1,10
2020-06-18,2020,BY113,14640,Parus major,0,0
