DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-19,2020,BY109,14640,Parus major,0,0
2020-03-27,2020,BY271,14640,Parus major,3,0
2020-04-15,2020,BY271,14640,Parus major,2,0
2020-04-16,2020,BY383,14640,Parus major,0,0
2020-04-26,2020,BY109,14640,Parus major,0,0
2020-05-07,2020,BY271,14640,Parus major,1,0
2020-05-18,2020,BY383,14640,Parus major,0,0
2020-05-20,2020,BY109,14640,Parus major,0,0
2020-05-27,2020,BY383,14640,Parus major,0,0
2020-05-29,2020,BY271,14640,Parus major,7,0
2020-06-17,2020,BY383,14640,Parus major,0,0
2020-06-20,2020,BY109,14640,Parus major,0,0
2021-03-24,2021,BY109,14640,Parus major,0,0
2021-04-24,2021,BY109,14640,Parus major,0,0
2021-04-27,2021,BY383,14640,Parus major,0,0
2021-05-14,2021,BY109,14640,Parus major,0,0
2021-05-16,2021,BY383,14640,Parus major,0,0
2021-06-08,2021,BY383,14640,Parus major,0,0
2021-06-12,2021,BY109,14640,Parus major,0,0
2021-06-20,2021,BY383,14640,Parus major,0,0
2022-03-21,2022,BY324,14640,Parus major,3,0
2022-03-27,2022,BY109,14640,Parus major,1,0
2022-04-27,2022,BY109,14640,Parus major,1,0
2022-04-28,2022,BY350,14640,Parus major,0,0
2022-05-10,2022,BY383,14640,Parus major,0,0
2022-05-15,2022,BY109,14640,Parus major,0,0
2022-05-15,2022,BY372,14640,Parus major,0,0
2022-05-27,2022,BY383,14640,Parus major,0,0
2022-05-29,2022,BY350,14640,Parus major,0,0
2022-06-04,2022,BY383,14640,Parus major,0,0
2022-06-05,2022,BY383,14640,Parus major,0,0
2022-06-12,2022,BY372,14640,Parus major,0,0
2022-06-15,2022,BY383,14640,Parus major,0,0
2022-06-18,2022,BY109,14640,Parus major,0,0
2023-03-22,2023,BY109,14640,Parus major,1,0
2023-04-22,2023,BY109,14640,Parus major,0,0
2023-04-28,2023,BY383,14640,Parus major,1,0
2023-05-16,2023,BY383,14640,Parus major,0,0
2023-05-19,2023,BY109,14640,Parus major,0,0
2023-05-29,2023,BY383,14640,Parus major,0,0
2023-06-13,2023,BY383,14640,Parus major,0,0
2023-06-18,2023,BY109,14640,Parus major,0,0
