DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-16,2020,BY151,15910,Passer domesticus,0,0
2020-03-19,2020,BY109,15910,Passer domesticus,0,0
2020-03-20,2020,BY31,15910,Passer domesticus,0,0
2020-03-27,2020,BY139,15910,Passer domesticus,0,0
2020-04-04,2020,BY354,15910,Passer domesticus,0,0
2020-04-08,2020,BY151,15910,Passer domesticus,0,0
2020-04-17,2020,BY31,15910,Passer domesticus,0,0
2020-04-24,2020,BY139,15910,Passer domesticus,0,0
2020-04-26,2020,BY109,15910,Passer domesticus,0,0
2020-04-26,2020,BY354,15910,Passer domesticus,0,0
2020-05-05,2020,BY151,15910,Passer domesticus,0,0
2020-05-15,2020,BY139,15910,Passer domesticus,0,0
2020-05-16,2020,BY31,15910,Passer domesticus,0,0
2020-05-19,2020,BY354,15910,Passer domesticus,0,0
2020-05-20,2020,BY109,15910,Passer domesticus,0,0
2020-06-01,2020,BY354,15910,Passer domesticus,0,0
2020-06-08,2020,BY151,15910,Passer domesticus,0,0
2020-06-09,2020,BY31,15910,Passer domesticus,0,0
2020-06-12,2020,BY139,15910,Passer domesticus,0,0
2020-06-20,2020,BY109,15910,Passer domesticus,0,0
2021-03-13,2021,BY113,15910,Passer domesticus,0,0
2021-03-13,2021,BY302,15910,Passer domesticus,1,0
2021-03-22,2021,BY31,15910,Passer domesticus,0,0
2021-03-23,2021,BY341,15910,Passer domesticus,0,0
2021-03-24,2021,BY109,15910,Passer domesticus,0,0
2021-03-27,2021,BY269,15910,Passer domesticus,0,0
2021-03-28,2021,BY139,15910,Passer domesticus,0,0
2021-04-04,2021,BY113,15910,Passer domesticus,0,0
2021-04-05,2021,BY302,15910,Passer domesticus,0,0
2021-04-11,2021,BY341,15910,Passer domesticus,0,0
2021-04-24,2021,BY109,15910,Passer domesticus,0,0
2021-04-24,2021,BY139,15910,Passer domesticus,0,0
2021-04-24,2021,BY31,15910,Passer domesticus,0,0
2021-04-25,2021,BY269,15910,Passer domesticus,0,0
2021-05-04,2021,BY113,15910,Passer domesticus,0,0
2021-05-08,2021,BY302,15910,Passer domesticus,4,0
2021-05-08,2021,BY341,15910,Passer domesticus,0,0
2021-05-09,2021,BY139,15910,Passer domesticus,0,0
2021-05-14,2021,BY109,15910,Passer domesticus,0,0
2021-05-16,2021,BY269,15910,Passer domesticus,0,0
2021-05-19,2021,BY31,15910,Passer domesticus,4,0
2021-05-24,2021,BY387,15910,Passer domesticus,0,0
2021-06-01,2021,BY302,15910,Passer domesticus,2,0
2021-06-04,2021,BY341,15910,Passer domesticus,0,0
2021-06-07,2021,BY139,15910,Passer domesticus,0,0
2021-06-10,2021,BY113,15910,Passer domesticus,0,0
2021-06-12,2021,BY109,15910,Passer domesticus,0,0
2021-06-14,2021,BY31,15910,Passer domesticus,0,0
2021-06-15,2021,BY387,15910,Passer domesticus,0,0
2021-06-20,2021,BY269,15910,Passer domesticus,0,0
2022-03-10,2022,BY360,15910,Passer domesticus,0,0
2022-03-12,2022,BY15,15910,Passer domesticus,61,0
2022-03-19,2022,BY139,15910,Passer domesticus,0,0
2022-03-19,2022,BY302,15910,Passer domesticus,0,0
2022-03-19,2022,BY364,15910,Passer domesticus,0,0
2022-03-20,2022,BY341,15910,Passer domesticus,0,0
2022-03-21,2022,BY324,15910,Passer domesticus,0,0
2022-03-22,2022,BY387,15910,Passer domesticus,0,0
2022-03-22,2022,BY7,15910,Passer domesticus,0,0
2022-03-23,2022,BY31,15910,Passer domesticus,0,0
2022-03-23,2022,BY5,15910,Passer domesticus,0,0
2022-03-25,2022,BY151,15910,Passer domesticus,0,0
2022-03-26,2022,BY269,15910,Passer domesticus,0,0
2022-03-27,2022,BY109,15910,Passer domesticus,0,0
2022-03-27,2022,BY183,15910,Passer domesticus,0,0
2022-03-28,2022,BY354,15910,Passer domesticus,0,0
2022-03-31,2022,BY37,15910,Passer domesticus,0,0
2022-04-10,2022,BY5,15910,Passer domesticus,0,0
2022-04-11,2022,BY7,15910,Passer domesticus,0,0
2022-04-12,2022,BY341,15910,Passer domesticus,0,0
2022-04-12,2022,BY37,15910,Passer domesticus,0,0
2022-04-14,2022,BY364,15910,Passer domesticus,0,0
2022-04-15,2022,BY302,15910,Passer domesticus,0,0
2022-04-17,2022,BY15,15910,Passer domesticus,0,0
2022-04-17,2022,BY151,15910,Passer domesticus,0,0
2022-04-18,2022,BY269,15910,Passer domesticus,0,0
2022-04-19,2022,BY139,15910,Passer domesticus,0,0
2022-04-19,2022,BY360,15910,Passer domesticus,0,0
2022-04-19,2022,BY387,15910,Passer domesticus,0,0
2022-04-23,2022,BY354,15910,Passer domesticus,0,0
2022-04-27,2022,BY109,15910,Passer domesticus,0,0
2022-04-27,2022,BY31,15910,Passer domesticus,0,0
2022-04-29,2022,BY183,15910,Passer domesticus,0,0
2022-05-02,2022,BY151,15910,Passer domesticus,0,0
2022-05-02,2022,BY364,15910,Passer domesticus,0,0
2022-05-06,2022,BY7,15910,Passer domesticus,0,0
2022-05-08,2022,BY15,15910,Passer domesticus,0,0
2022-05-08,2022,BY5,15910,Passer domesticus,0,0
2022-05-10,2022,BY341,15910,Passer domesticus,0,0
2022-05-10,2022,BY354,15910,Passer domesticus,0,0
2022-05-10,2022,BY387,15910,Passer domesticus,0,0
2022-05-11,2022,BY360,15910,Passer domesticus,0,0
2022-05-14,2022,BY302,15910,Passer domesticus,6,0
2022-05-15,2022,BY109,15910,Passer domesticus,0,0
2022-05-15,2022,BY31,15910,Passer domesticus,0,0
2022-05-19,2022,BY269,15910,Passer domesticus,0,0
2022-05-19,2022,BY37,15910,Passer domesticus,0,0
2022-05-20,2022,BY139,15910,Passer domesticus,0,0
2022-05-26,2022,BY341,15910,Passer domesticus,0,0
2022-05-27,2022,BY183,15910,Passer domesticus,0,0
2022-05-27,2022,BY387,15910,Passer domesticus,0,0
2022-05-28,2022,BY7,15910,Passer domesticus,0,0
2022-05-31,2022,BY354,15910,Passer domesticus,0,0
2022-06-03,2022,BY364,15910,Passer domesticus,0,0
2022-06-04,2022,BY15,15910,Passer domesticus,0,0
2022-06-04,2022,BY151,15910,Passer domesticus,0,0
2022-06-05,2022,BY5,15910,Passer domesticus,0,0
2022-06-06,2022,BY360,15910,Passer domesticus,0,0
2022-06-09,2022,BY31,15910,Passer domesticus,0,0
2022-06-11,2022,BY139,15910,Passer domesticus,0,0
2022-06-12,2022,BY302,15910,Passer domesticus,0,0
2022-06-13,2022,BY37,15910,Passer domesticus,0,0
2022-06-16,2022,BY183,15910,Passer domesticus,0,0
2022-06-18,2022,BY109,15910,Passer domesticus,0,0
2022-06-19,2022,BY269,15910,Passer domesticus,0,0
2023-03-13,2023,BY360,15910,Passer domesticus,0,0
2023-03-15,2023,BY5,15910,Passer domesticus,43,0
2023-03-17,2023,BY307,15910,Passer domesticus,0,0
2023-03-17,2023,BY31,15910,Passer domesticus,0,0
2023-03-17,2023,BY382,15910,Passer domesticus,0,0
2023-03-18,2023,BY151,15910,Passer domesticus,0,0
2023-03-18,2023,BY387,15910,Passer domesticus,0,0
2023-03-20,2023,BY341,15910,Passer domesticus,0,0
2023-03-26,2023,BY113,15910,Passer domesticus,0,0
2023-03-26,2023,BY269,15910,Passer domesticus,0,0
2023-03-26,2023,BY93,15910,Passer domesticus,0,0
2023-03-31,2023,BY376,15910,Passer domesticus,0,0
2023-04-03,2023,BY193,15910,Passer domesticus,0,0
2023-04-10,2023,BY113,15910,Passer domesticus,0,0
2023-04-10,2023,BY151,15910,Passer domesticus,0,0
2023-04-14,2023,BY5,15910,Passer domesticus,47,0
2023-04-15,2023,BY341,15910,Passer domesticus,0,0
2023-04-17,2023,BY307,15910,Passer domesticus,0,0
2023-04-21,2023,BY382,15910,Passer domesticus,0,0
2023-04-22,2023,BY360,15910,Passer domesticus,0,0
2023-04-22,2023,BY387,15910,Passer domesticus,0,0
2023-04-23,2023,BY93,15910,Passer domesticus,0,0
2023-04-24,2023,BY31,15910,Passer domesticus,0,0
2023-04-26,2023,BY193,15910,Passer domesticus,0,0
2023-04-27,2023,BY376,15910,Passer domesticus,7,0
2023-04-30,2023,BY269,15910,Passer domesticus,0,0
2023-05-01,2023,BY151,15910,Passer domesticus,0,0
2023-05-03,2023,BY341,15910,Passer domesticus,0,0
2023-05-03,2023,BY5,15910,Passer domesticus,65,0
2023-05-04,2023,BY113,15910,Passer domesticus,0,0
2023-05-12,2023,BY307,15910,Passer domesticus,0,0
2023-05-12,2023,BY382,15910,Passer domesticus,0,0
2023-05-14,2023,BY93,15910,Passer domesticus,0,0
2023-05-16,2023,BY193,15910,Passer domesticus,0,0
2023-05-17,2023,BY31,15910,Passer domesticus,0,0
2023-05-18,2023,BY360,15910,Passer domesticus,0,0
2023-05-19,2023,BY376,15910,Passer domesticus,0,0
2023-05-20,2023,BY269,15910,Passer domesticus,0,0
2023-05-20,2023,BY387,15910,Passer domesticus,0,0
2023-05-26,2023,BY307,15910,Passer domesticus,0,0
2023-05-26,2023,BY5,15910,Passer domesticus,38,0
2023-05-28,2023,BY151,15910,Passer domesticus,0,0
2023-05-29,2023,BY341,15910,Passer domesticus,0,0
2023-06-08,2023,BY269,15910,Passer domesticus,0,0
2023-06-09,2023,BY31,15910,Passer domesticus,0,0
2023-06-09,2023,BY382,15910,Passer domesticus,0,0
2023-06-11,2023,BY113,15910,Passer domesticus,0,0
2023-06-11,2023,BY93,15910,Passer domesticus,1,0
2023-06-12,2023,BY193,15910,Passer domesticus,0,0
2023-06-12,2023,BY360,15910,Passer domesticus,0,0
2023-06-17,2023,BY387,15910,Passer domesticus,0,0
2023-06-20,2023,BY376,15910,Passer domesticus,10,0
2024-03-10,2024,BY150,15910,Passer domesticus,0,0
2024-03-11,2024,BY7,15910,Passer domesticus,0,0
2024-03-13,2024,BY31,15910,Passer domesticus,0,0
2024-03-17,2024,BY113,15910,Passer domesticus,0,0
2024-03-21,2024,BY382,15910,Passer domesticus,0,0
2024-03-23,2024,BY151,15910,Passer domesticus,0,0
2024-03-25,2024,BY291,15910,Passer domesticus,0,0
2024-03-30,2024,BY109,15910,Passer domesticus,3,0
2024-03-31,2024,BY376,15910,Passer domesticus,4,0
2024-04-02,2024,BY150,15910,Passer domesticus,0,0
2024-04-06,2024,BY113,15910,Passer domesticus,0,0
2024-04-08,2024,BY7,15910,Passer domesticus,0,0
2024-04-11,2024,BY382,15910,Passer domesticus,0,0
2024-04-12,2024,BY151,15910,Passer domesticus,0,0
2024-04-12,2024,BY291,15910,Passer domesticus,0,0
2024-04-14,2024,BY213,15910,Passer domesticus,5,0
2024-04-22,2024,BY109,15910,Passer domesticus,5,0
2024-04-23,2024,BY31,15910,Passer domesticus,0,0
2024-04-27,2024,BY213,15910,Passer domesticus,1,0
