DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,15980,Passer montanus,5,6
2020-03-14,2020,BY127,15980,Passer montanus,0,0
2020-03-14,2020,BY272,15980,Passer montanus,7,3
2020-03-14,2020,BY275,15980,Passer montanus,2,10
2020-03-15,2020,BY113,15980,Passer montanus,0,0
2020-03-15,2020,BY119,15980,Passer montanus,1,5
2020-03-15,2020,BY133,15980,Passer montanus,3,1
2020-03-15,2020,BY230,15980,Passer montanus,43,9
2020-03-15,2020,BY235,15980,Passer montanus,4,3
2020-03-15,2020,BY242,15980,Passer montanus,37,36
2020-03-16,2020,BY151,15980,Passer montanus,25,4
2020-03-18,2020,BY173,15980,Passer montanus,0,0
2020-03-18,2020,BY221,15980,Passer montanus,20,4
2020-03-18,2020,BY231,15980,Passer montanus,0,0
2020-03-18,2020,BY243,15980,Passer montanus,2,9
2020-03-19,2020,BY114,15980,Passer montanus,2,3
2020-03-19,2020,BY236,15980,Passer montanus,6,6
2020-03-19,2020,BY237,15980,Passer montanus,6,6
2020-03-20,2020,BY158,15980,Passer montanus,9,6
2020-03-20,2020,BY193,15980,Passer montanus,3,6
2020-03-20,2020,BY286,15980,Passer montanus,2,7
2020-03-20,2020,BY31,15980,Passer montanus,0,0
2020-03-20,2020,BY321,15980,Passer montanus,0,0
2020-03-20,2020,BY454,15980,Passer montanus,2,7
2020-03-22,2020,BY137,15980,Passer montanus,10,18
2020-03-22,2020,BY86,15980,Passer montanus,8,9
2020-03-23,2020,BY138,15980,Passer montanus,0,0
2020-03-25,2020,BY238,15980,Passer montanus,12,24
2020-03-27,2020,BY120,15980,Passer montanus,0,0
2020-03-27,2020,BY271,15980,Passer montanus,2,5
2020-03-27,2020,BY453,15980,Passer montanus,0,0
2020-03-28,2020,BY291,15980,Passer montanus,0,0
2020-03-28,2020,BY65,15980,Passer montanus,2,1
2020-03-29,2020,BY217,15980,Passer montanus,4,6
2020-03-31,2020,BY169,15980,Passer montanus,15,6
2020-04-05,2020,BY127,15980,Passer montanus,2,4
2020-04-05,2020,BY235,15980,Passer montanus,8,3
2020-04-05,2020,BY242,15980,Passer montanus,37,36
2020-04-05,2020,BY275,15980,Passer montanus,6,10
2020-04-05,2020,BY286,15980,Passer montanus,5,7
2020-04-06,2020,BY221,15980,Passer montanus,18,4
2020-04-07,2020,BY114,15980,Passer montanus,3,3
2020-04-07,2020,BY243,15980,Passer montanus,11,9
2020-04-08,2020,BY151,15980,Passer montanus,6,4
2020-04-09,2020,BY113,15980,Passer montanus,0,0
2020-04-09,2020,BY230,15980,Passer montanus,12,9
2020-04-10,2020,BY133,15980,Passer montanus,0,0
2020-04-10,2020,BY272,15980,Passer montanus,2,3
2020-04-11,2020,BY137,15980,Passer montanus,13,18
2020-04-11,2020,BY236,15980,Passer montanus,6,6
2020-04-11,2020,BY454,15980,Passer montanus,7,7
2020-04-12,2020,BY119,15980,Passer montanus,5,5
2020-04-15,2020,BY173,15980,Passer montanus,1,1
2020-04-15,2020,BY231,15980,Passer montanus,0,0
2020-04-15,2020,BY271,15980,Passer montanus,4,5
2020-04-16,2020,BY203,15980,Passer montanus,2,6
2020-04-17,2020,BY31,15980,Passer montanus,1,2
2020-04-17,2020,BY321,15980,Passer montanus,0,0
2020-04-17,2020,BY65,15980,Passer montanus,1,1
2020-04-18,2020,BY120,15980,Passer montanus,0,0
2020-04-18,2020,BY169,15980,Passer montanus,15,6
2020-04-18,2020,BY86,15980,Passer montanus,12,9
2020-04-19,2020,BY217,15980,Passer montanus,3,6
2020-04-22,2020,BY453,15980,Passer montanus,0,0
2020-04-27,2020,BY193,15980,Passer montanus,3,6
2020-04-28,2020,BY291,15980,Passer montanus,2,1
2020-04-29,2020,BY238,15980,Passer montanus,5,24
2020-04-30,2020,BY138,15980,Passer montanus,0,0
2020-04-30,2020,BY158,15980,Passer montanus,6,6
2020-05-01,2020,BY114,15980,Passer montanus,2,3
2020-05-01,2020,BY230,15980,Passer montanus,0,0
2020-05-02,2020,BY113,15980,Passer montanus,0,0
2020-05-02,2020,BY221,15980,Passer montanus,2,4
2020-05-03,2020,BY127,15980,Passer montanus,4,4
2020-05-03,2020,BY275,15980,Passer montanus,3,10
2020-05-03,2020,BY286,15980,Passer montanus,5,7
2020-05-05,2020,BY151,15980,Passer montanus,0,0
2020-05-07,2020,BY271,15980,Passer montanus,6,5
2020-05-07,2020,BY65,15980,Passer montanus,2,1
2020-05-08,2020,BY203,15980,Passer montanus,6,6
2020-05-09,2020,BY272,15980,Passer montanus,0,0
2020-05-09,2020,BY454,15980,Passer montanus,7,7
2020-05-10,2020,BY119,15980,Passer montanus,8,5
2020-05-10,2020,BY133,15980,Passer montanus,1,1
2020-05-10,2020,BY217,15980,Passer montanus,4,6
2020-05-10,2020,BY235,15980,Passer montanus,0,0
2020-05-10,2020,BY242,15980,Passer montanus,31,36
2020-05-11,2020,BY243,15980,Passer montanus,9,9
2020-05-11,2020,BY321,15980,Passer montanus,0,0
2020-05-12,2020,BY173,15980,Passer montanus,2,1
2020-05-14,2020,BY231,15980,Passer montanus,1,1
2020-05-16,2020,BY120,15980,Passer montanus,4,4
2020-05-16,2020,BY137,15980,Passer montanus,10,18
2020-05-16,2020,BY31,15980,Passer montanus,3,2
2020-05-16,2020,BY86,15980,Passer montanus,15,9
2020-05-17,2020,BY169,15980,Passer montanus,12,6
2020-05-17,2020,BY237,15980,Passer montanus,8,6
2020-05-18,2020,BY236,15980,Passer montanus,8,6
2020-05-19,2020,BY193,15980,Passer montanus,6,6
2020-05-19,2020,BY238,15980,Passer montanus,15,24
2020-05-19,2020,BY291,15980,Passer montanus,2,1
2020-05-20,2020,BY138,15980,Passer montanus,0,0
2020-05-20,2020,BY453,15980,Passer montanus,2,3
2020-05-21,2020,BY158,15980,Passer montanus,5,6
2020-05-24,2020,BY230,15980,Passer montanus,4,9
2020-05-24,2020,BY235,15980,Passer montanus,5,3
2020-05-24,2020,BY275,15980,Passer montanus,7,10
2020-05-24,2020,BY286,15980,Passer montanus,5,7
2020-05-26,2020,BY221,15980,Passer montanus,15,4
2020-05-29,2020,BY271,15980,Passer montanus,6,5
2020-05-31,2020,BY137,15980,Passer montanus,13,18
2020-05-31,2020,BY217,15980,Passer montanus,2,6
2020-06-01,2020,BY133,15980,Passer montanus,0,0
2020-06-02,2020,BY65,15980,Passer montanus,2,1
2020-06-03,2020,BY238,15980,Passer montanus,13,24
2020-06-08,2020,BY151,15980,Passer montanus,3,4
2020-06-08,2020,BY243,15980,Passer montanus,4,9
2020-06-09,2020,BY31,15980,Passer montanus,5,2
2020-06-12,2020,BY231,15980,Passer montanus,0,0
2020-06-12,2020,BY242,15980,Passer montanus,17,36
2020-06-12,2020,BY272,15980,Passer montanus,0,0
2020-06-13,2020,BY114,15980,Passer montanus,0,0
2020-06-13,2020,BY119,15980,Passer montanus,7,5
2020-06-13,2020,BY158,15980,Passer montanus,3,6
2020-06-13,2020,BY236,15980,Passer montanus,10,6
2020-06-13,2020,BY237,15980,Passer montanus,0,0
2020-06-13,2020,BY321,15980,Passer montanus,2,1
2020-06-13,2020,BY454,15980,Passer montanus,4,7
2020-06-13,2020,BY86,15980,Passer montanus,6,9
2020-06-14,2020,BY127,15980,Passer montanus,0,0
2020-06-16,2020,BY173,15980,Passer montanus,0,0
2020-06-17,2020,BY193,15980,Passer montanus,6,6
2020-06-17,2020,BY453,15980,Passer montanus,2,3
2020-06-18,2020,BY113,15980,Passer montanus,1,1
2020-06-18,2020,BY120,15980,Passer montanus,0,0
2020-06-18,2020,BY203,15980,Passer montanus,0,0
2020-06-19,2020,BY169,15980,Passer montanus,0,0
2020-06-20,2020,BY138,15980,Passer montanus,1,1
2020-06-20,2020,BY291,15980,Passer montanus,1,1
2021-03-12,2021,BY243,15980,Passer montanus,15,9
2021-03-13,2021,BY165,15980,Passer montanus,4,14
2021-03-13,2021,BY237,15980,Passer montanus,13,19
2021-03-13,2021,BY302,15980,Passer montanus,0,0
2021-03-13,2021,BY454,15980,Passer montanus,7,6
2021-03-19,2021,BY117,15980,Passer montanus,6,2
2021-03-20,2021,BY114,15980,Passer montanus,0,0
2021-03-20,2021,BY181,15980,Passer montanus,8,12
2021-03-20,2021,BY241,15980,Passer montanus,2,4
2021-03-21,2021,BY119,15980,Passer montanus,2,16
2021-03-21,2021,BY126,15980,Passer montanus,2,2
2021-03-21,2021,BY127,15980,Passer montanus,2,2
2021-03-21,2021,BY180,15980,Passer montanus,35,46
2021-03-21,2021,BY203,15980,Passer montanus,2,6
2021-03-21,2021,BY235,15980,Passer montanus,6,9
2021-03-21,2021,BY274,15980,Passer montanus,5,2
2021-03-21,2021,BY86,15980,Passer montanus,3,11
2021-03-22,2021,BY221,15980,Passer montanus,14,4
2021-03-22,2021,BY230,15980,Passer montanus,17,19
2021-03-22,2021,BY31,15980,Passer montanus,0,0
2021-03-23,2021,BY205,15980,Passer montanus,3,7
2021-03-23,2021,BY338,15980,Passer montanus,6,13
2021-03-23,2021,BY341,15980,Passer montanus,3,1
2021-03-24,2021,BY170,15980,Passer montanus,0,0
2021-03-24,2021,BY324,15980,Passer montanus,3,2
2021-03-25,2021,BY106,15980,Passer montanus,0,0
2021-03-25,2021,BY193,15980,Passer montanus,7,5
2021-03-25,2021,BY231,15980,Passer montanus,0,0
2021-03-25,2021,BY272,15980,Passer montanus,1,2
2021-03-26,2021,BY105,15980,Passer montanus,11,6
2021-03-26,2021,BY128,15980,Passer montanus,4,2
2021-03-26,2021,BY151,15980,Passer montanus,14,2
2021-03-26,2021,BY160,15980,Passer montanus,9,2
2021-03-26,2021,BY164,15980,Passer montanus,7,7
2021-03-26,2021,BY186,15980,Passer montanus,6,5
2021-03-26,2021,BY242,15980,Passer montanus,59,39
2021-03-26,2021,BY36,15980,Passer montanus,1,1
2021-03-26,2021,BY400,15980,Passer montanus,0,0
2021-03-27,2021,BY137,15980,Passer montanus,18,13
2021-03-27,2021,BY169,15980,Passer montanus,22,7
2021-03-27,2021,BY269,15980,Passer montanus,2,4
2021-03-28,2021,BY133,15980,Passer montanus,2,3
2021-03-28,2021,BY158,15980,Passer montanus,4,5
2021-03-28,2021,BY217,15980,Passer montanus,2,8
2021-03-28,2021,BY236,15980,Passer montanus,7,4
2021-03-28,2021,BY278,15980,Passer montanus,0,0
2021-03-28,2021,BY291,15980,Passer montanus,5,3
2021-03-28,2021,BY82,15980,Passer montanus,0,0
2021-03-29,2021,BY118,15980,Passer montanus,5,10
2021-03-29,2021,BY201,15980,Passer montanus,37,14
2021-03-29,2021,BY238,15980,Passer montanus,14,15
2021-03-29,2021,BY283,15980,Passer montanus,4,3
2021-03-29,2021,BY70,15980,Passer montanus,0,0
2021-03-29,2021,BY901,15980,Passer montanus,45,11
2021-03-30,2021,BY173,15980,Passer montanus,0,0
2021-03-30,2021,BY183,15980,Passer montanus,7,5
2021-03-30,2021,BY234,15980,Passer montanus,2,4
2021-03-31,2021,BY220,15980,Passer montanus,13,13
2021-03-31,2021,BY315,15980,Passer montanus,13,2
2021-04-02,2021,BY127,15980,Passer montanus,2,2
2021-04-02,2021,BY457,15980,Passer montanus,0,0
2021-04-05,2021,BY114,15980,Passer montanus,1,4
2021-04-05,2021,BY230,15980,Passer montanus,21,19
2021-04-05,2021,BY302,15980,Passer montanus,0,0
2021-04-10,2021,BY165,15980,Passer montanus,7,14
2021-04-10,2021,BY170,15980,Passer montanus,0,0
2021-04-11,2021,BY105,15980,Passer montanus,8,6
2021-04-11,2021,BY126,15980,Passer montanus,1,2
2021-04-11,2021,BY133,15980,Passer montanus,4,3
2021-04-11,2021,BY180,15980,Passer montanus,35,46
2021-04-11,2021,BY203,15980,Passer montanus,6,6
2021-04-11,2021,BY221,15980,Passer montanus,15,4
2021-04-11,2021,BY235,15980,Passer montanus,4,9
2021-04-11,2021,BY237,15980,Passer montanus,5,19
2021-04-11,2021,BY242,15980,Passer montanus,53,39
2021-04-11,2021,BY341,15980,Passer montanus,2,1
2021-04-15,2021,BY117,15980,Passer montanus,4,2
2021-04-16,2021,BY118,15980,Passer montanus,8,10
2021-04-16,2021,BY151,15980,Passer montanus,5,2
2021-04-17,2021,BY181,15980,Passer montanus,27,12
2021-04-17,2021,BY241,15980,Passer montanus,4,4
2021-04-17,2021,BY286,15980,Passer montanus,8,5
2021-04-18,2021,BY119,15980,Passer montanus,10,16
2021-04-18,2021,BY86,15980,Passer montanus,8,11
2021-04-20,2021,BY324,15980,Passer montanus,6,2
2021-04-20,2021,BY36,15980,Passer montanus,1,1
2021-04-21,2021,BY128,15980,Passer montanus,3,2
2021-04-21,2021,BY193,15980,Passer montanus,10,5
2021-04-21,2021,BY231,15980,Passer montanus,0,0
2021-04-22,2021,BY278,15980,Passer montanus,7,4
2021-04-23,2021,BY173,15980,Passer montanus,2,2
2021-04-23,2021,BY283,15980,Passer montanus,8,3
2021-04-23,2021,BY338,15980,Passer montanus,6,13
2021-04-24,2021,BY164,15980,Passer montanus,9,7
2021-04-24,2021,BY272,15980,Passer montanus,1,2
2021-04-24,2021,BY274,15980,Passer montanus,2,2
2021-04-24,2021,BY31,15980,Passer montanus,0,0
2021-04-24,2021,BY454,15980,Passer montanus,3,6
2021-04-24,2021,BY457,15980,Passer montanus,1,1
2021-04-25,2021,BY106,15980,Passer montanus,21,10
2021-04-25,2021,BY169,15980,Passer montanus,14,7
2021-04-25,2021,BY183,15980,Passer montanus,5,5
2021-04-25,2021,BY201,15980,Passer montanus,33,14
2021-04-25,2021,BY217,15980,Passer montanus,2,8
2021-04-25,2021,BY234,15980,Passer montanus,7,4
2021-04-25,2021,BY236,15980,Passer montanus,7,4
2021-04-25,2021,BY238,15980,Passer montanus,15,15
2021-04-25,2021,BY243,15980,Passer montanus,9,9
2021-04-25,2021,BY269,15980,Passer montanus,4,4
2021-04-25,2021,BY291,15980,Passer montanus,3,3
2021-04-25,2021,BY315,15980,Passer montanus,1,2
2021-04-25,2021,BY82,15980,Passer montanus,1,2
2021-04-26,2021,BY160,15980,Passer montanus,3,2
2021-04-26,2021,BY186,15980,Passer montanus,9,5
2021-04-26,2021,BY220,15980,Passer montanus,10,13
2021-04-26,2021,BY400,15980,Passer montanus,0,0
2021-04-27,2021,BY158,15980,Passer montanus,9,5
2021-04-27,2021,BY205,15980,Passer montanus,5,7
2021-04-27,2021,BY70,15980,Passer montanus,0,0
2021-04-28,2021,BY137,15980,Passer montanus,17,13
2021-04-28,2021,BY901,15980,Passer montanus,19,11
2021-05-01,2021,BY127,15980,Passer montanus,1,2
2021-05-03,2021,BY170,15980,Passer montanus,0,0
2021-05-04,2021,BY151,15980,Passer montanus,1,2
2021-05-06,2021,BY221,15980,Passer montanus,10,4
2021-05-08,2021,BY165,15980,Passer montanus,12,14
2021-05-08,2021,BY203,15980,Passer montanus,4,6
2021-05-08,2021,BY302,15980,Passer montanus,0,0
