DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,3670,Perdix perdix,0,0
2020-03-15,2020,BY119,3670,Perdix perdix,0,0
2020-04-05,2020,BY127,3670,Perdix perdix,0,0
2020-04-12,2020,BY119,3670,Perdix perdix,0,0
2020-05-03,2020,BY127,3670,Perdix perdix,0,0
2020-05-10,2020,BY119,3670,Perdix perdix,0,0
2020-06-13,2020,BY119,3670,Perdix perdix,0,0
2020-06-14,2020,BY127,3670,Perdix perdix,0,0
2021-03-21,2021,BY119,3670,Perdix perdix,0,0
2021-03-21,2021,BY127,3670,Perdix perdix,0,0
2021-03-21,2021,BY203,3670,Perdix perdix,0,0
2021-03-24,2021,BY109,3670,Perdix perdix,0,0
2021-03-26,2021,BY22,3670,Perdix perdix,0,0
2021-03-26,2021,BY242,3670,Perdix perdix,0,0
2021-03-29,2021,BY118,3670,Perdix perdix,0,0
2021-03-29,2021,BY66,3670,Perdix perdix,0,0
2021-04-02,2021,BY127,3670,Perdix perdix,0,0
2021-04-11,2021,BY203,3670,Perdix perdix,0,0
2021-04-11,2021,BY242,3670,Perdix perdix,0,0
2021-04-16,2021,BY118,3670,Perdix perdix,0,0
2021-04-18,2021,BY119,3670,Perdix perdix,0,0
2021-04-24,2021,BY109,3670,Perdix perdix,0,0
2021-04-24,2021,BY66,3670,Perdix perdix,0,0
2021-04-25,2021,BY22,3670,Perdix perdix,0,0
2021-05-01,2021,BY127,3670,Perdix perdix,0,0
2021-05-08,2021,BY203,3670,Perdix perdix,0,0
2021-05-09,2021,BY242,3670,Perdix perdix,0,0
2021-05-14,2021,BY109,3670,Perdix perdix,0,0
2021-05-14,2021,BY22,3670,Perdix perdix,0,0
2021-05-15,2021,BY119,3670,Perdix perdix,0,0
2021-05-19,2021,BY118,3670,Perdix perdix,0,0
2021-05-24,2021,BY242,3670,Perdix perdix,0,0
2021-05-24,2021,BY66,3670,Perdix perdix,0,0
2021-06-01,2021,BY203,3670,Perdix perdix,0,0
2021-06-08,2021,BY22,3670,Perdix perdix,0,0
2021-06-11,2021,BY118,3670,Perdix perdix,0,0
2021-06-12,2021,BY109,3670,Perdix perdix,0,0
2021-06-12,2021,BY127,3670,Perdix perdix,0,0
2021-06-17,2021,BY66,3670,Perdix perdix,0,0
