DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,3670,Perdix perdix,0,0
2020-03-15,2020,BY242,3670,Perdix perdix,2,1
2020-03-19,2020,BY109,3670,Perdix perdix,0,0
2020-03-22,2020,BY86,3670,Perdix perdix,0,0
2020-03-27,2020,BY139,3670,Perdix perdix,0,0
2020-04-05,2020,BY242,3670,Perdix perdix,0,0
2020-04-16,2020,BY203,3670,Perdix perdix,0,0
2020-04-18,2020,BY86,3670,Perdix perdix,0,0
2020-04-24,2020,BY139,3670,Perdix perdix,0,0
2020-04-26,2020,BY109,3670,Perdix perdix,2,1
2020-05-08,2020,BY203,3670,Perdix perdix,0,0
2020-05-10,2020,BY242,3670,Perdix perdix,0,0
2020-05-15,2020,BY139,3670,Perdix perdix,0,0
2020-05-16,2020,BY86,3670,Perdix perdix,8,2
2020-05-20,2020,BY109,3670,Perdix perdix,0,0
2020-06-12,2020,BY139,3670,Perdix perdix,2,1
2020-06-12,2020,BY242,3670,Perdix perdix,0,0
2020-06-13,2020,BY86,3670,Perdix perdix,1,2
2020-06-18,2020,BY203,3670,Perdix perdix,1,1
2020-06-20,2020,BY109,3670,Perdix perdix,0,0
2021-03-21,2021,BY86,3670,Perdix perdix,0,0
2021-03-28,2021,BY139,3670,Perdix perdix,1,1
2021-04-18,2021,BY86,3670,Perdix perdix,0,0
2021-04-24,2021,BY139,3670,Perdix perdix,0,0
2021-05-09,2021,BY139,3670,Perdix perdix,0,0
2021-05-16,2021,BY86,3670,Perdix perdix,2,1
2021-06-07,2021,BY139,3670,Perdix perdix,0,0
2021-06-13,2021,BY86,3670,Perdix perdix,0,0
2022-03-20,2022,BY127,3670,Perdix perdix,2,1
2022-03-20,2022,BY66,3670,Perdix perdix,1,1
2022-03-20,2022,BY73,3670,Perdix perdix,2,1
2022-03-26,2022,BY86,3670,Perdix perdix,5,1
2022-03-27,2022,BY109,3670,Perdix perdix,2,1
2022-04-15,2022,BY127,3670,Perdix perdix,0,0
2022-04-15,2022,BY73,3670,Perdix perdix,0,0
2022-04-16,2022,BY66,3670,Perdix perdix,0,0
2022-04-27,2022,BY109,3670,Perdix perdix,0,0
2022-05-01,2022,BY127,3670,Perdix perdix,0,0
2022-05-02,2022,BY86,3670,Perdix perdix,0,0
2022-05-06,2022,BY73,3670,Perdix perdix,0,0
2022-05-12,2022,BY66,3670,Perdix perdix,0,0
2022-05-14,2022,BY86,3670,Perdix perdix,1,1
2022-05-15,2022,BY109,3670,Perdix perdix,2,1
2022-06-11,2022,BY73,3670,Perdix perdix,0,0
2022-06-12,2022,BY127,3670,Perdix perdix,0,0
2022-06-12,2022,BY86,3670,Perdix perdix,0,0
2022-06-15,2022,BY66,3670,Perdix perdix,0,0
2022-06-18,2022,BY109,3670,Perdix perdix,0,0
2023-03-15,2023,BY5,3670,Perdix perdix,0,0
2023-03-18,2023,BY119,3670,Perdix perdix,0,0
2023-03-18,2023,BY24,3670,Perdix perdix,0,0
2023-03-18,2023,BY68,3670,Perdix perdix,0,0
2023-03-20,2023,BY118,3670,Perdix perdix,0,0
2023-03-23,2023,BY86,3670,Perdix perdix,0,0
2023-04-14,2023,BY5,3670,Perdix perdix,0,0
2023-04-15,2023,BY24,3670,Perdix perdix,0,0
2023-04-21,2023,BY86,3670,Perdix perdix,0,0
2023-04-22,2023,BY119,3670,Perdix perdix,0,0
2023-04-27,2023,BY68,3670,Perdix perdix,0,0
2023-05-03,2023,BY5,3670,Perdix perdix,2,2
2023-05-04,2023,BY118,3670,Perdix perdix,6,2
2023-05-06,2023,BY24,3670,Perdix perdix,2,1
2023-05-14,2023,BY119,3670,Perdix perdix,1,1
2023-05-14,2023,BY86,3670,Perdix perdix,2,1
2023-05-18,2023,BY68,3670,Perdix perdix,0,0
2023-05-21,2023,BY24,3670,Perdix perdix,0,0
2023-05-26,2023,BY5,3670,Perdix perdix,0,0
2023-06-10,2023,BY118,3670,Perdix perdix,2,2
2023-06-11,2023,BY119,3670,Perdix perdix,0,0
2023-06-14,2023,BY68,3670,Perdix perdix,1,1
2023-06-18,2023,BY86,3670,Perdix perdix,0,0
2023-06-20,2023,BY118,3670,Perdix perdix,2,2
2024-03-19,2024,BY175,3670,Perdix perdix,0,0
2024-03-20,2024,BY68,3670,Perdix perdix,0,0
2024-03-26,2024,BY153,3670,Perdix perdix,0,0
2024-03-26,2024,BY22,3670,Perdix perdix,0,0
2024-03-29,2024,BY214,3670,Perdix perdix,0,0
2024-04-07,2024,BY214,3670,Perdix perdix,2,1
2024-04-13,2024,BY22,3670,Perdix perdix,0,0
2024-04-24,2024,BY68,3670,Perdix perdix,3,2
2024-04-27,2024,BY175,3670,Perdix perdix,2,2
2024-04-28,2024,BY153,3670,Perdix perdix,0,0
2024-05-11,2024,BY22,3670,Perdix perdix,2,1
2024-05-15,2024,BY153,3670,Perdix perdix,2,1
2024-05-16,2024,BY175,3670,Perdix perdix,2,2
2024-05-20,2024,BY68,3670,Perdix perdix,0,0
2024-05-26,2024,BY214,3670,Perdix perdix,0,0
2024-06-09,2024,BY175,3670,Perdix perdix,3,2
2024-06-11,2024,BY22,3670,Perdix perdix,0,0
2024-06-12,2024,BY68,3670,Perdix perdix,0,0
2024-06-16,2024,BY214,3670,Perdix perdix,0,0
2024-06-17,2024,BY153,3670,Perdix perdix,0,0
