DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,14610,Periparus ater,0,0
2020-03-14,2020,BY275,14610,Periparus ater,0,0
2020-03-15,2020,BY230,14610,Periparus ater,1,0
2020-03-17,2020,BY276,14610,Periparus ater,1,0
2020-03-18,2020,BY173,14610,Periparus ater,0,0
2020-03-19,2020,BY19,14610,Periparus ater,0,0
2020-03-20,2020,BY31,14610,Periparus ater,0,0
2020-03-28,2020,BY65,14610,Periparus ater,0,0
2020-04-05,2020,BY127,14610,Periparus ater,0,0
2020-04-05,2020,BY275,14610,Periparus ater,0,0
2020-04-09,2020,BY230,14610,Periparus ater,0,0
2020-04-13,2020,BY274,14610,Periparus ater,0,0
2020-04-15,2020,BY173,14610,Periparus ater,0,0
2020-04-17,2020,BY276,14610,Periparus ater,0,0
2020-04-17,2020,BY31,14610,Periparus ater,0,0
2020-04-17,2020,BY65,14610,Periparus ater,0,0
2020-04-24,2020,BY19,14610,Periparus ater,0,0
2020-05-01,2020,BY230,14610,Periparus ater,0,0
2020-05-03,2020,BY127,14610,Periparus ater,0,0
2020-05-03,2020,BY274,14610,Periparus ater,0,0
2020-05-03,2020,BY275,14610,Periparus ater,0,0
2020-05-07,2020,BY490,14610,Periparus ater,1,0
2020-05-07,2020,BY65,14610,Periparus ater,0,0
2020-05-12,2020,BY173,14610,Periparus ater,0,0
2020-05-16,2020,BY31,14610,Periparus ater,0,0
2020-05-17,2020,BY276,14610,Periparus ater,4,0
2020-05-18,2020,BY19,14610,Periparus ater,0,0
2020-05-24,2020,BY230,14610,Periparus ater,0,0
2020-05-24,2020,BY275,14610,Periparus ater,0,0
2020-05-28,2020,BY490,14610,Periparus ater,1,0
2020-05-30,2020,BY274,14610,Periparus ater,0,0
2020-06-02,2020,BY19,14610,Periparus ater,0,0
2020-06-02,2020,BY65,14610,Periparus ater,0,0
2020-06-09,2020,BY31,14610,Periparus ater,0,0
2020-06-12,2020,BY276,14610,Periparus ater,0,0
2020-06-14,2020,BY127,14610,Periparus ater,0,0
2020-06-16,2020,BY173,14610,Periparus ater,0,0
2020-07-13,2020,BY490,14610,Periparus ater,3,0
2020-07-31,2020,BY490,14610,Periparus ater,1,0
2021-03-13,2021,BY165,14610,Periparus ater,0,0
2021-03-13,2021,BY332,14610,Periparus ater,5,0
2021-03-19,2021,BY117,14610,Periparus ater,0,0
2021-03-20,2021,BY116,14610,Periparus ater,0,0
2021-03-20,2021,BY181,14610,Periparus ater,0,0
2021-03-21,2021,BY274,14610,Periparus ater,0,0
2021-03-22,2021,BY230,14610,Periparus ater,0,0
2021-03-22,2021,BY31,14610,Periparus ater,0,0
2021-03-24,2021,BY138,14610,Periparus ater,2,0
2021-03-24,2021,BY324,14610,Periparus ater,0,0
2021-03-25,2021,BY453,14610,Periparus ater,0,0
2021-03-26,2021,BY164,14610,Periparus ater,0,0
2021-03-26,2021,BY17,14610,Periparus ater,0,0
2021-03-28,2021,BY139,14610,Periparus ater,6,0
2021-03-28,2021,BY278,14610,Periparus ater,1,0
2021-03-28,2021,BY349,14610,Periparus ater,1,0
2021-03-30,2021,BY173,14610,Periparus ater,0,0
2021-03-30,2021,BY234,14610,Periparus ater,1,0
2021-03-31,2021,BY220,14610,Periparus ater,0,0
2021-03-31,2021,BY85,14610,Periparus ater,1,0
2021-04-05,2021,BY230,14610,Periparus ater,0,0
2021-04-10,2021,BY165,14610,Periparus ater,0,0
2021-04-15,2021,BY117,14610,Periparus ater,0,0
2021-04-17,2021,BY181,14610,Periparus ater,0,0
2021-04-17,2021,BY332,14610,Periparus ater,0,0
2021-04-17,2021,BY85,14610,Periparus ater,0,0
2021-04-20,2021,BY324,14610,Periparus ater,0,0
2021-04-20,2021,BY453,14610,Periparus ater,7,0
2021-04-21,2021,BY138,14610,Periparus ater,0,0
2021-04-22,2021,BY278,14610,Periparus ater,0,0
2021-04-23,2021,BY173,14610,Periparus ater,0,0
2021-04-24,2021,BY139,14610,Periparus ater,5,0
2021-04-24,2021,BY164,14610,Periparus ater,0,0
2021-04-24,2021,BY274,14610,Periparus ater,0,0
2021-04-24,2021,BY31,14610,Periparus ater,0,0
2021-04-24,2021,BY349,14610,Periparus ater,0,0
2021-04-25,2021,BY116,14610,Periparus ater,0,0
2021-04-25,2021,BY17,14610,Periparus ater,0,0
2021-04-25,2021,BY234,14610,Periparus ater,0,0
2021-04-26,2021,BY220,14610,Periparus ater,0,0
2021-05-04,2021,BY37,14610,Periparus ater,0,0
2021-05-08,2021,BY165,14610,Periparus ater,0,0
2021-05-08,2021,BY85,14610,Periparus ater,0,0
2021-05-09,2021,BY117,14610,Periparus ater,0,0
2021-05-09,2021,BY139,14610,Periparus ater,3,0
2021-05-09,2021,BY173,14610,Periparus ater,1,0
2021-05-09,2021,BY332,14610,Periparus ater,0,0
2021-05-11,2021,BY164,14610,Periparus ater,0,0
2021-05-11,2021,BY181,14610,Periparus ater,0,0
2021-05-13,2021,BY230,14610,Periparus ater,0,0
2021-05-14,2021,BY274,14610,Periparus ater,0,0
2021-05-14,2021,BY324,14610,Periparus ater,0,0
2021-05-15,2021,BY116,14610,Periparus ater,0,0
2021-05-15,2021,BY278,14610,Periparus ater,0,0
2021-05-16,2021,BY234,14610,Periparus ater,0,0
2021-05-17,2021,BY220,14610,Periparus ater,0,0
2021-05-18,2021,BY138,14610,Periparus ater,0,0
2021-05-19,2021,BY31,14610,Periparus ater,0,0
2021-05-21,2021,BY349,14610,Periparus ater,0,0
2021-05-21,2021,BY453,14610,Periparus ater,0,0
2021-05-22,2021,BY17,14610,Periparus ater,0,0
2021-05-29,2021,BY164,14610,Periparus ater,0,0
2021-05-29,2021,BY230,14610,Periparus ater,0,0
2021-06-02,2021,BY117,14610,Periparus ater,0,0
2021-06-04,2021,BY165,14610,Periparus ater,0,0
2021-06-04,2021,BY173,14610,Periparus ater,0,0
2021-06-05,2021,BY278,14610,Periparus ater,0,0
2021-06-05,2021,BY85,14610,Periparus ater,0,0
2021-06-07,2021,BY139,14610,Periparus ater,1,0
2021-06-09,2021,BY116,14610,Periparus ater,0,0
2021-06-09,2021,BY138,14610,Periparus ater,0,0
2021-06-11,2021,BY324,14610,Periparus ater,0,0
2021-06-11,2021,BY349,14610,Periparus ater,0,0
2021-06-12,2021,BY274,14610,Periparus ater,0,0
2021-06-13,2021,BY332,14610,Periparus ater,0,0
2021-06-13,2021,BY453,14610,Periparus ater,0,0
2021-06-14,2021,BY220,14610,Periparus ater,0,0
2021-06-14,2021,BY31,14610,Periparus ater,0,0
2021-06-16,2021,BY37,14610,Periparus ater,0,0
2021-06-18,2021,BY17,14610,Periparus ater,0,0
2021-06-19,2021,BY181,14610,Periparus ater,0,0
2021-06-20,2021,BY234,14610,Periparus ater,0,0
2022-03-11,2022,BY274,14610,Periparus ater,0,0
2022-03-12,2022,BY15,14610,Periparus ater,0,0
2022-03-14,2022,BY343,14610,Periparus ater,0,0
2022-03-19,2022,BY117,14610,Periparus ater,0,0
2022-03-19,2022,BY17,14610,Periparus ater,1,0
2022-03-19,2022,BY455,14610,Periparus ater,1,0
2022-03-20,2022,BY126,14610,Periparus ater,0,0
2022-03-20,2022,BY349,14610,Periparus ater,0,0
2022-03-20,2022,BY66,14610,Periparus ater,0,0
2022-03-20,2022,BY73,14610,Periparus ater,0,0
2022-03-22,2022,BY38,14610,Periparus ater,0,0
2022-03-22,2022,BY71,14610,Periparus ater,0,0
2022-03-23,2022,BY31,14610,Periparus ater,1,0
2022-03-23,2022,BY5,14610,Periparus ater,0,0
2022-03-25,2022,BY173,14610,Periparus ater,0,0
2022-03-26,2022,BY230,14610,Periparus ater,0,0
2022-03-26,2022,BY278,14610,Periparus ater,0,0
2022-03-27,2022,BY234,14610,Periparus ater,0,0
2022-03-27,2022,BY65,14610,Periparus ater,0,0
2022-04-10,2022,BY126,14610,Periparus ater,0,0
2022-04-10,2022,BY5,14610,Periparus ater,0,0
2022-04-12,2022,BY71,14610,Periparus ater,0,0
2022-04-14,2022,BY343,14610,Periparus ater,0,0
2022-04-14,2022,BY349,14610,Periparus ater,0,0
2022-04-15,2022,BY17,14610,Periparus ater,0,0
2022-04-15,2022,BY173,14610,Periparus ater,0,0
2022-04-15,2022,BY73,14610,Periparus ater,0,0
2022-04-16,2022,BY455,14610,Periparus ater,0,0
2022-04-16,2022,BY66,14610,Periparus ater,0,0
2022-04-17,2022,BY117,14610,Periparus ater,0,0
2022-04-17,2022,BY15,14610,Periparus ater,0,0
2022-04-18,2022,BY230,14610,Periparus ater,0,0
2022-04-19,2022,BY65,14610,Periparus ater,0,0
2022-04-20,2022,BY274,14610,Periparus ater,0,0
2022-04-22,2022,BY38,14610,Periparus ater,0,0
2022-04-23,2022,BY278,14610,Periparus ater,0,0
2022-04-27,2022,BY31,14610,Periparus ater,0,0
2022-05-06,2022,BY73,14610,Periparus ater,0,0
2022-05-08,2022,BY126,14610,Periparus ater,0,0
2022-05-08,2022,BY15,14610,Periparus ater,0,0
2022-05-08,2022,BY5,14610,Periparus ater,0,0
2022-05-08,2022,BY65,14610,Periparus ater,0,0
2022-05-10,2022,BY17,14610,Periparus ater,0,0
2022-05-12,2022,BY173,14610,Periparus ater,0,0
2022-05-12,2022,BY66,14610,Periparus ater,0,0
2022-05-13,2022,BY71,14610,Periparus ater,0,0
2022-05-15,2022,BY278,14610,Periparus ater,0,0
2022-05-15,2022,BY31,14610,Periparus ater,0,0
2022-05-15,2022,BY349,14610,Periparus ater,0,0
2022-05-16,2022,BY117,14610,Periparus ater,0,0
2022-05-16,2022,BY234,14610,Periparus ater,0,0
2022-05-17,2022,BY234,14610,Periparus ater,0,0
2022-05-18,2022,BY343,14610,Periparus ater,0,0
2022-05-20,2022,BY230,14610,Periparus ater,0,0
2022-05-20,2022,BY274,14610,Periparus ater,0,0
2022-05-20,2022,BY38,14610,Periparus ater,0,0
2022-05-20,2022,BY471,14610,Periparus ater,0,0
2022-05-29,2022,BY126,14610,Periparus ater,0,0
2022-05-30,2022,BY234,14610,Periparus ater,0,0
2022-05-30,2022,BY343,14610,Periparus ater,0,0
2022-06-03,2022,BY71,14610,Periparus ater,0,0
2022-06-04,2022,BY15,14610,Periparus ater,1,0
2022-06-04,2022,BY471,14610,Periparus ater,1,0
2022-06-05,2022,BY349,14610,Periparus ater,0,0
2022-06-05,2022,BY5,14610,Periparus ater,0,0
2022-06-08,2022,BY117,14610,Periparus ater,0,0
2022-06-08,2022,BY38,14610,Periparus ater,0,0
2022-06-09,2022,BY31,14610,Periparus ater,0,0
2022-06-11,2022,BY73,14610,Periparus ater,0,0
2022-06-12,2022,BY278,14610,Periparus ater,0,0
2022-06-13,2022,BY173,14610,Periparus ater,0,0
2022-06-14,2022,BY65,14610,Periparus ater,0,0
2022-06-15,2022,BY230,14610,Periparus ater,0,0
2022-06-15,2022,BY455,14610,Periparus ater,0,0
2022-06-15,2022,BY66,14610,Periparus ater,0,0
2022-06-16,2022,BY17,14610,Periparus ater,0,0
2022-06-19,2022,BY234,14610,Periparus ater,0,0
2022-06-20,2022,BY274,14610,Periparus ater,0,0
2023-03-11,2023,BY28,14610,Periparus ater,0,0
2023-03-12,2023,BY126,14610,Periparus ater,0,0
2023-03-12,2023,BY15,14610,Periparus ater,0,0
2023-03-15,2023,BY173,14610,Periparus ater,1,0
2023-03-16,2023,BY274,14610,Periparus ater,1,0
2023-03-17,2023,BY117,14610,Periparus ater,0,0
2023-03-17,2023,BY31,14610,Periparus ater,1,0
2023-03-18,2023,BY302,14610,Periparus ater,0,0
2023-03-18,2023,BY66,14610,Periparus ater,0,0
2023-03-18,2023,BY73,14610,Periparus ater,0,0
2023-03-19,2023,BY127,14610,Periparus ater,0,0
2023-03-19,2023,BY17,14610,Periparus ater,0,0
2023-03-19,2023,BY38,14610,Periparus ater,1,0
2023-03-19,2023,BY65,14610,Periparus ater,0,0
2023-03-21,2023,BY353,14610,Periparus ater,1,0
2023-03-21,2023,BY386,14610,Periparus ater,0,0
2023-03-22,2023,BY220,14610,Periparus ater,0,0
2023-03-23,2023,BY230,14610,Periparus ater,0,0
2023-03-25,2023,BY171,14610,Periparus ater,0,0
2023-03-25,2023,BY308,14610,Periparus ater,0,0
2023-03-28,2023,BY234,14610,Periparus ater,0,0
2023-03-29,2023,BY19,14610,Periparus ater,0,0
2023-03-30,2023,BY276,14610,Periparus ater,0,0
2023-04-01,2023,BY275,14610,Periparus ater,0,0
2023-04-02,2023,BY246,14610,Periparus ater,0,0
2023-04-02,2023,BY268,14610,Periparus ater,2,0
2023-04-04,2023,BY274,14610,Periparus ater,0,0
2023-04-07,2023,BY127,14610,Periparus ater,0,0
2023-04-08,2023,BY230,14610,Periparus ater,0,0
2023-04-10,2023,BY15,14610,Periparus ater,0,0
2023-04-13,2023,BY117,14610,Periparus ater,0,0
2023-04-14,2023,BY65,14610,Periparus ater,0,0
2023-04-15,2023,BY268,14610,Periparus ater,1,0
2023-04-15,2023,BY275,14610,Periparus ater,0,0
2023-04-16,2023,BY302,14610,Periparus ater,0,0
2023-04-16,2023,BY308,14610,Periparus ater,0,0
2023-04-18,2023,BY386,14610,Periparus ater,0,0
2023-04-19,2023,BY173,14610,Periparus ater,0,0
2023-04-21,2023,BY276,14610,Periparus ater,0,0
2023-04-21,2023,BY353,14610,Periparus ater,0,0
2023-04-22,2023,BY126,14610,Periparus ater,0,0
2023-04-22,2023,BY171,14610,Periparus ater,0,0
2023-04-22,2023,BY220,14610,Periparus ater,0,0
2023-04-22,2023,BY28,14610,Periparus ater,0,0
2023-04-22,2023,BY38,14610,Periparus ater,0,0
2023-04-22,2023,BY66,14610,Periparus ater,0,0
2023-04-22,2023,BY73,14610,Periparus ater,0,0
2023-04-24,2023,BY19,14610,Periparus ater,0,0
2023-04-24,2023,BY31,14610,Periparus ater,0,0
2023-04-26,2023,BY17,14610,Periparus ater,0,0
2023-04-30,2023,BY15,14610,Periparus ater,0,0
2023-04-30,2023,BY234,14610,Periparus ater,0,0
2023-04-30,2023,BY246,14610,Periparus ater,0,0
2023-05-01,2023,BY127,14610,Periparus ater,0,0
2023-05-04,2023,BY117,14610,Periparus ater,0,0
2023-05-05,2023,BY220,14610,Periparus ater,0,0
2023-05-05,2023,BY308,14610,Periparus ater,0,0
2023-05-06,2023,BY275,14610,Periparus ater,0,0
2023-05-06,2023,BY28,14610,Periparus ater,0,0
2023-05-06,2023,BY302,14610,Periparus ater,0,0
2023-05-06,2023,BY308,14610,Periparus ater,0,0
2023-05-07,2023,BY126,14610,Periparus ater,0,0
2023-05-09,2023,BY353,14610,Periparus ater,0,0
2023-05-13,2023,BY171,14610,Periparus ater,0,0
