DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY157,14610,Periparus ater,2,9
2020-03-15,2020,BY133,14610,Periparus ater,10,14
2020-03-15,2020,BY337,14610,Periparus ater,13,23
2020-03-15,2020,BY57,14610,Periparus ater,1,4
2020-03-16,2020,BY151,14610,Periparus ater,2,2
2020-03-16,2020,BY365,14610,Periparus ater,2,10
2020-03-17,2020,BY362,14610,Periparus ater,2,8
2020-03-18,2020,BY231,14610,Periparus ater,2,9
2020-03-18,2020,BY243,14610,Periparus ater,6,8
2020-03-19,2020,BY114,14610,Periparus ater,0,0
2020-03-19,2020,BY124,14610,Periparus ater,4,34
2020-03-19,2020,BY236,14610,Periparus ater,0,0
2020-03-20,2020,BY158,14610,Periparus ater,1,1
2020-03-20,2020,BY193,14610,Periparus ater,2,1
2020-03-20,2020,BY286,14610,Periparus ater,2,11
2020-03-20,2020,BY321,14610,Periparus ater,4,11
2020-03-20,2020,BY454,14610,Periparus ater,2,3
2020-03-22,2020,BY137,14610,Periparus ater,2,10
2020-03-23,2020,BY138,14610,Periparus ater,2,6
2020-03-25,2020,BY107,14610,Periparus ater,2,5
2020-03-25,2020,BY132,14610,Periparus ater,6,18
2020-03-27,2020,BY139,14610,Periparus ater,0,0
2020-03-27,2020,BY453,14610,Periparus ater,5,5
2020-03-27,2020,BY460,14610,Periparus ater,4,8
2020-03-28,2020,BY290,14610,Periparus ater,1,9
2020-03-28,2020,BY291,14610,Periparus ater,1,4
2020-03-28,2020,BY332,14610,Periparus ater,2,3
2020-03-31,2020,BY16,14610,Periparus ater,9,7
2020-04-04,2020,BY354,14610,Periparus ater,1,4
2020-04-05,2020,BY124,14610,Periparus ater,11,34
2020-04-05,2020,BY286,14610,Periparus ater,7,11
2020-04-07,2020,BY114,14610,Periparus ater,3,3
2020-04-07,2020,BY243,14610,Periparus ater,4,8
2020-04-07,2020,BY388,14610,Periparus ater,4,4
2020-04-08,2020,BY151,14610,Periparus ater,1,2
2020-04-08,2020,BY365,14610,Periparus ater,4,10
2020-04-09,2020,BY157,14610,Periparus ater,5,9
2020-04-10,2020,BY133,14610,Periparus ater,9,14
2020-04-11,2020,BY137,14610,Periparus ater,6,10
2020-04-11,2020,BY236,14610,Periparus ater,1,4
2020-04-11,2020,BY290,14610,Periparus ater,3,9
2020-04-11,2020,BY337,14610,Periparus ater,10,23
2020-04-11,2020,BY454,14610,Periparus ater,3,3
2020-04-11,2020,BY57,14610,Periparus ater,4,4
2020-04-15,2020,BY231,14610,Periparus ater,7,9
2020-04-16,2020,BY383,14610,Periparus ater,7,10
2020-04-16,2020,BY460,14610,Periparus ater,9,8
2020-04-17,2020,BY321,14610,Periparus ater,6,11
2020-04-17,2020,BY362,14610,Periparus ater,5,8
2020-04-18,2020,BY132,14610,Periparus ater,8,18
2020-04-18,2020,BY161,14610,Periparus ater,6,5
2020-04-22,2020,BY453,14610,Periparus ater,2,5
2020-04-24,2020,BY139,14610,Periparus ater,1,3
2020-04-26,2020,BY354,14610,Periparus ater,3,4
2020-04-27,2020,BY107,14610,Periparus ater,4,5
2020-04-27,2020,BY16,14610,Periparus ater,7,7
2020-04-27,2020,BY193,14610,Periparus ater,3,1
2020-04-28,2020,BY291,14610,Periparus ater,2,4
2020-04-28,2020,BY415,14610,Periparus ater,14,15
2020-04-30,2020,BY138,14610,Periparus ater,4,6
2020-04-30,2020,BY158,14610,Periparus ater,0,0
2020-04-30,2020,BY424,14610,Periparus ater,6,9
2020-05-01,2020,BY114,14610,Periparus ater,2,3
