DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY337,2310,Pernis apivorus,0,0
2020-03-19,2020,BY114,2310,Pernis apivorus,0,0
2020-03-20,2020,BY454,2310,Pernis apivorus,0,0
2020-03-22,2020,BY86,2310,Pernis apivorus,0,0
2020-04-07,2020,BY114,2310,Pernis apivorus,0,0
2020-04-11,2020,BY337,2310,Pernis apivorus,0,0
2020-04-11,2020,BY454,2310,Pernis apivorus,0,0
2020-04-18,2020,BY86,2310,Pernis apivorus,0,0
2020-05-01,2020,BY114,2310,Pernis apivorus,0,0
2020-05-08,2020,BY492,2310,Pernis apivorus,0,0
2020-05-09,2020,BY454,2310,Pernis apivorus,0,0
2020-05-16,2020,BY337,2310,Pernis apivorus,0,0
2020-05-16,2020,BY86,2310,Pernis apivorus,1,0
2020-05-20,2020,BY492,2310,Pernis apivorus,1,0
2020-06-01,2020,BY337,2310,Pernis apivorus,0,0
2020-06-13,2020,BY114,2310,Pernis apivorus,0,0
2020-06-13,2020,BY454,2310,Pernis apivorus,0,0
2020-06-13,2020,BY86,2310,Pernis apivorus,0,0
2020-06-24,2020,BY492,2310,Pernis apivorus,0,0
2020-07-09,2020,BY492,2310,Pernis apivorus,0,0
2021-03-13,2021,BY454,2310,Pernis apivorus,0,0
2021-03-20,2021,BY114,2310,Pernis apivorus,0,0
2021-03-20,2021,BY116,2310,Pernis apivorus,0,0
2021-03-20,2021,BY337,2310,Pernis apivorus,0,0
2021-03-21,2021,BY86,2310,Pernis apivorus,0,0
2021-03-26,2021,BY105,2310,Pernis apivorus,0,0
2021-03-26,2021,BY36,2310,Pernis apivorus,0,0
2021-03-29,2021,BY283,2310,Pernis apivorus,0,0
2021-04-05,2021,BY114,2310,Pernis apivorus,0,0
2021-04-10,2021,BY337,2310,Pernis apivorus,0,0
2021-04-11,2021,BY105,2310,Pernis apivorus,0,0
2021-04-18,2021,BY86,2310,Pernis apivorus,0,0
2021-04-20,2021,BY36,2310,Pernis apivorus,0,0
2021-04-23,2021,BY283,2310,Pernis apivorus,0,0
2021-04-24,2021,BY454,2310,Pernis apivorus,0,0
2021-04-25,2021,BY116,2310,Pernis apivorus,0,0
2021-05-09,2021,BY114,2310,Pernis apivorus,0,0
2021-05-14,2021,BY105,2310,Pernis apivorus,0,0
2021-05-14,2021,BY283,2310,Pernis apivorus,0,0
2021-05-15,2021,BY116,2310,Pernis apivorus,0,0
2021-05-16,2021,BY337,2310,Pernis apivorus,0,0
2021-05-16,2021,BY454,2310,Pernis apivorus,0,0
2021-05-16,2021,BY86,2310,Pernis apivorus,0,0
2021-05-23,2021,BY36,2310,Pernis apivorus,0,0
2021-06-03,2021,BY337,2310,Pernis apivorus,0,0
2021-06-04,2021,BY283,2310,Pernis apivorus,0,0
2021-06-09,2021,BY116,2310,Pernis apivorus,0,0
2021-06-12,2021,BY105,2310,Pernis apivorus,0,0
