DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-15,2020,BY113,11220,Phoenicurus phoenicurus,0,0
2020-03-16,2020,BY151,11220,Phoenicurus phoenicurus,0,0
2020-03-17,2020,BY276,11220,Phoenicurus phoenicurus,0,0
2020-03-18,2020,BY173,11220,Phoenicurus phoenicurus,0,0
2020-03-18,2020,BY221,11220,Phoenicurus phoenicurus,0,0
2020-03-18,2020,BY231,11220,Phoenicurus phoenicurus,0,0
2020-03-19,2020,BY114,11220,Phoenicurus phoenicurus,0,0
2020-03-19,2020,BY124,11220,Phoenicurus phoenicurus,0,0
2020-03-20,2020,BY31,11220,Phoenicurus phoenicurus,0,0
2020-03-20,2020,BY454,11220,Phoenicurus phoenicurus,0,0
2020-03-25,2020,BY238,11220,Phoenicurus phoenicurus,0,0
2020-03-27,2020,BY120,11220,Phoenicurus phoenicurus,0,0
2020-03-28,2020,BY291,11220,Phoenicurus phoenicurus,0,0
2020-03-31,2020,BY16,11220,Phoenicurus phoenicurus,0,0
2020-04-05,2020,BY124,11220,Phoenicurus phoenicurus,0,0
2020-04-06,2020,BY221,11220,Phoenicurus phoenicurus,0,0
2020-04-07,2020,BY114,11220,Phoenicurus phoenicurus,0,0
2020-04-07,2020,BY388,11220,Phoenicurus phoenicurus,0,0
2020-04-08,2020,BY151,11220,Phoenicurus phoenicurus,2,0
2020-04-09,2020,BY113,11220,Phoenicurus phoenicurus,1,0
2020-04-11,2020,BY454,11220,Phoenicurus phoenicurus,0,0
2020-04-13,2020,BY274,11220,Phoenicurus phoenicurus,0,0
2020-04-15,2020,BY173,11220,Phoenicurus phoenicurus,0,0
2020-04-15,2020,BY231,11220,Phoenicurus phoenicurus,1,0
2020-04-17,2020,BY276,11220,Phoenicurus phoenicurus,0,0
2020-04-17,2020,BY31,11220,Phoenicurus phoenicurus,0,0
2020-04-18,2020,BY120,11220,Phoenicurus phoenicurus,0,0
2020-04-18,2020,BY161,11220,Phoenicurus phoenicurus,0,0
2020-04-27,2020,BY16,11220,Phoenicurus phoenicurus,0,0
2020-04-28,2020,BY291,11220,Phoenicurus phoenicurus,0,0
2020-04-29,2020,BY238,11220,Phoenicurus phoenicurus,0,0
2020-04-30,2020,BY424,11220,Phoenicurus phoenicurus,0,0
2020-05-01,2020,BY114,11220,Phoenicurus phoenicurus,0,0
2020-05-02,2020,BY113,11220,Phoenicurus phoenicurus,0,0
2020-05-02,2020,BY221,11220,Phoenicurus phoenicurus,0,0
2020-05-03,2020,BY274,11220,Phoenicurus phoenicurus,0,0
2020-05-05,2020,BY151,11220,Phoenicurus phoenicurus,0,0
2020-05-09,2020,BY124,11220,Phoenicurus phoenicurus,0,0
2020-05-09,2020,BY454,11220,Phoenicurus phoenicurus,0,0
2020-05-10,2020,BY388,11220,Phoenicurus phoenicurus,0,0
2020-05-12,2020,BY173,11220,Phoenicurus phoenicurus,0,0
2020-05-14,2020,BY231,11220,Phoenicurus phoenicurus,0,0
2020-05-16,2020,BY120,11220,Phoenicurus phoenicurus,0,0
2020-05-16,2020,BY31,11220,Phoenicurus phoenicurus,0,0
2020-05-17,2020,BY276,11220,Phoenicurus phoenicurus,0,0
2020-05-18,2020,BY16,11220,Phoenicurus phoenicurus,0,0
2020-05-19,2020,BY238,11220,Phoenicurus phoenicurus,0,0
2020-05-19,2020,BY291,11220,Phoenicurus phoenicurus,0,0
2020-05-22,2020,BY388,11220,Phoenicurus phoenicurus,0,0
2020-05-26,2020,BY221,11220,Phoenicurus phoenicurus,0,0
2020-05-27,2020,BY424,11220,Phoenicurus phoenicurus,0,0
2020-05-30,2020,BY274,11220,Phoenicurus phoenicurus,0,0
2020-06-01,2020,BY124,11220,Phoenicurus phoenicurus,0,0
2020-06-03,2020,BY238,11220,Phoenicurus phoenicurus,0,0
2020-06-08,2020,BY151,11220,Phoenicurus phoenicurus,0,0
2020-06-09,2020,BY31,11220,Phoenicurus phoenicurus,0,0
2020-06-12,2020,BY16,11220,Phoenicurus phoenicurus,0,0
2020-06-12,2020,BY231,11220,Phoenicurus phoenicurus,0,0
2020-06-12,2020,BY276,11220,Phoenicurus phoenicurus,0,0
2020-06-12,2020,BY388,11220,Phoenicurus phoenicurus,0,0
2020-06-13,2020,BY114,11220,Phoenicurus phoenicurus,0,0
2020-06-13,2020,BY454,11220,Phoenicurus phoenicurus,0,0
2020-06-16,2020,BY173,11220,Phoenicurus phoenicurus,0,0
2020-06-18,2020,BY113,11220,Phoenicurus phoenicurus,0,0
2020-06-18,2020,BY120,11220,Phoenicurus phoenicurus,0,0
2020-06-20,2020,BY291,11220,Phoenicurus phoenicurus,0,0
2020-06-25,2020,BY424,11220,Phoenicurus phoenicurus,0,0
2020-07-23,2020,BY424,11220,Phoenicurus phoenicurus,0,0
2021-03-13,2021,BY113,11220,Phoenicurus phoenicurus,0,0
2021-03-13,2021,BY302,11220,Phoenicurus phoenicurus,0,0
2021-03-13,2021,BY454,11220,Phoenicurus phoenicurus,0,0
2021-03-15,2021,BY297,11220,Phoenicurus phoenicurus,0,0
2021-03-20,2021,BY124,11220,Phoenicurus phoenicurus,0,0
2021-03-21,2021,BY126,11220,Phoenicurus phoenicurus,1,0
2021-03-21,2021,BY180,11220,Phoenicurus phoenicurus,0,0
2021-03-21,2021,BY274,11220,Phoenicurus phoenicurus,0,0
2021-03-22,2021,BY221,11220,Phoenicurus phoenicurus,0,0
2021-03-22,2021,BY31,11220,Phoenicurus phoenicurus,0,0
2021-03-23,2021,BY205,11220,Phoenicurus phoenicurus,0,0
2021-03-23,2021,BY338,11220,Phoenicurus phoenicurus,0,0
2021-03-24,2021,BY324,11220,Phoenicurus phoenicurus,0,0
2021-03-24,2021,BY358,11220,Phoenicurus phoenicurus,0,0
2021-03-24,2021,BY8,11220,Phoenicurus phoenicurus,0,0
2021-03-25,2021,BY231,11220,Phoenicurus phoenicurus,0,0
2021-03-26,2021,BY128,11220,Phoenicurus phoenicurus,0,0
2021-03-26,2021,BY186,11220,Phoenicurus phoenicurus,0,0
