DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2021-03-31,2021,BY246,13118,Phylloscopus collybita,0,0
2021-04-24,2021,BY246,13118,Phylloscopus collybita,0,0
2021-05-16,2021,BY246,13118,Phylloscopus collybita,0,0
2021-06-19,2021,BY246,13118,Phylloscopus collybita,0,0
2022-03-20,2022,BY464,13118,Phylloscopus collybita,0,0
2022-03-21,2022,BY324,13118,Phylloscopus collybita,0,0
2022-03-24,2022,BY271,13118,Phylloscopus collybita,0,0
2022-03-26,2022,BY340,13118,Phylloscopus collybita,0,0
2022-04-11,2022,BY271,13118,Phylloscopus collybita,0,0
2022-04-24,2022,BY464,13118,Phylloscopus collybita,1,0
2022-04-28,2022,BY340,13118,Phylloscopus collybita,0,0
2022-05-02,2022,BY271,13118,Phylloscopus collybita,0,0
2022-05-14,2022,BY340,13118,Phylloscopus collybita,0,0
2022-05-18,2022,BY464,13118,Phylloscopus collybita,0,0
2022-05-26,2022,BY271,13118,Phylloscopus collybita,0,0
2022-05-29,2022,BY340,13118,Phylloscopus collybita,0,0
2022-06-16,2022,BY464,13118,Phylloscopus collybita,0,0
2023-03-18,2023,BY63,13118,Phylloscopus collybita,1,0
2023-03-21,2023,BY72,13118,Phylloscopus collybita,0,0
2023-03-25,2023,BY171,13118,Phylloscopus collybita,0,0
2023-04-04,2023,BY106,13118,Phylloscopus collybita,0,0
2023-04-19,2023,BY72,13118,Phylloscopus collybita,0,0
2023-04-22,2023,BY171,13118,Phylloscopus collybita,0,0
2023-04-26,2023,BY106,13118,Phylloscopus collybita,0,0
2023-04-27,2023,BY63,13118,Phylloscopus collybita,2,0
2023-05-09,2023,BY72,13118,Phylloscopus collybita,0,0
2023-05-13,2023,BY171,13118,Phylloscopus collybita,0,0
2023-05-16,2023,BY63,13118,Phylloscopus collybita,4,0
2023-05-20,2023,BY106,13118,Phylloscopus collybita,0,0
2023-05-30,2023,BY106,13118,Phylloscopus collybita,0,0
2023-05-30,2023,BY72,13118,Phylloscopus collybita,0,0
2023-06-09,2023,BY63,13118,Phylloscopus collybita,2,0
2023-06-17,2023,BY171,13118,Phylloscopus collybita,0,0
2024-03-10,2024,BY171,13118,Phylloscopus collybita,0,0
2024-04-07,2024,BY171,13118,Phylloscopus collybita,1,0
2024-05-05,2024,BY171,13118,Phylloscopus collybita,1,0
2024-06-16,2024,BY171,13118,Phylloscopus collybita,0,0
