DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-14,2020,BY127,13080,Phylloscopus sibilatrix,0,0
2020-03-15,2020,BY337,13080,Phylloscopus sibilatrix,0,0
2020-03-15,2020,BY57,13080,Phylloscopus sibilatrix,0,0
2020-03-16,2020,BY151,13080,Phylloscopus sibilatrix,0,0
2020-03-17,2020,BY362,13080,Phylloscopus sibilatrix,0,0
2020-03-18,2020,BY173,13080,Phylloscopus sibilatrix,0,0
2020-03-19,2020,BY19,13080,Phylloscopus sibilatrix,0,0
2020-03-20,2020,BY158,13080,Phylloscopus sibilatrix,0,0
2020-03-20,2020,BY193,13080,Phylloscopus sibilatrix,0,0
2020-03-20,2020,BY286,13080,Phylloscopus sibilatrix,0,0
2020-03-20,2020,BY31,13080,Phylloscopus sibilatrix,0,0
2020-03-22,2020,BY137,13080,Phylloscopus sibilatrix,0,0
2020-03-25,2020,BY132,13080,Phylloscopus sibilatrix,0,0
2020-03-25,2020,BY238,13080,Phylloscopus sibilatrix,0,0
2020-03-27,2020,BY120,13080,Phylloscopus sibilatrix,0,0
2020-03-27,2020,BY139,13080,Phylloscopus sibilatrix,0,0
2020-03-27,2020,BY453,13080,Phylloscopus sibilatrix,0,0
2020-03-28,2020,BY65,13080,Phylloscopus sibilatrix,0,0
2020-03-29,2020,BY217,13080,Phylloscopus sibilatrix,0,0
2020-03-31,2020,BY16,13080,Phylloscopus sibilatrix,0,0
2020-04-05,2020,BY127,13080,Phylloscopus sibilatrix,0,0
2020-04-05,2020,BY286,13080,Phylloscopus sibilatrix,0,0
2020-04-07,2020,BY388,13080,Phylloscopus sibilatrix,0,0
2020-04-08,2020,BY151,13080,Phylloscopus sibilatrix,0,0
2020-04-11,2020,BY137,13080,Phylloscopus sibilatrix,0,0
2020-04-11,2020,BY337,13080,Phylloscopus sibilatrix,0,0
2020-04-11,2020,BY57,13080,Phylloscopus sibilatrix,0,0
2020-04-15,2020,BY173,13080,Phylloscopus sibilatrix,0,0
2020-04-17,2020,BY31,13080,Phylloscopus sibilatrix,1,2
2020-04-17,2020,BY362,13080,Phylloscopus sibilatrix,0,0
2020-04-17,2020,BY65,13080,Phylloscopus sibilatrix,3,2
2020-04-18,2020,BY120,13080,Phylloscopus sibilatrix,0,0
2020-04-18,2020,BY132,13080,Phylloscopus sibilatrix,0,0
2020-04-18,2020,BY161,13080,Phylloscopus sibilatrix,0,0
2020-04-19,2020,BY217,13080,Phylloscopus sibilatrix,4,0
2020-04-22,2020,BY453,13080,Phylloscopus sibilatrix,1,2
2020-04-24,2020,BY139,13080,Phylloscopus sibilatrix,0,0
2020-04-24,2020,BY19,13080,Phylloscopus sibilatrix,8,7
2020-04-27,2020,BY16,13080,Phylloscopus sibilatrix,5,9
2020-04-27,2020,BY193,13080,Phylloscopus sibilatrix,1,0
2020-04-29,2020,BY238,13080,Phylloscopus sibilatrix,0,0
2020-04-30,2020,BY158,13080,Phylloscopus sibilatrix,0,0
2020-04-30,2020,BY424,13080,Phylloscopus sibilatrix,0,0
2020-05-03,2020,BY127,13080,Phylloscopus sibilatrix,0,0
2020-05-03,2020,BY286,13080,Phylloscopus sibilatrix,0,0
2020-05-05,2020,BY151,13080,Phylloscopus sibilatrix,2,2
2020-05-07,2020,BY132,13080,Phylloscopus sibilatrix,0,0
2020-05-07,2020,BY57,13080,Phylloscopus sibilatrix,0,0
2020-05-07,2020,BY65,13080,Phylloscopus sibilatrix,2,2
2020-05-10,2020,BY217,13080,Phylloscopus sibilatrix,0,0
2020-05-10,2020,BY388,13080,Phylloscopus sibilatrix,0,0
