DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-04-07,2020,BY388,8980,Picoides tridactylus,1,0
2020-04-16,2020,BY383,8980,Picoides tridactylus,0,0
2020-05-10,2020,BY388,8980,Picoides tridactylus,0,0
2020-05-18,2020,BY383,8980,Picoides tridactylus,0,0
2020-05-22,2020,BY388,8980,Picoides tridactylus,0,0
2020-05-27,2020,BY383,8980,Picoides tridactylus,0,0
2020-06-12,2020,BY388,8980,Picoides tridactylus,0,0
2020-06-17,2020,BY383,8980,Picoides tridactylus,0,0
2021-04-27,2021,BY383,8980,Picoides tridactylus,0,0
2021-05-09,2021,BY456,8980,Picoides tridactylus,0,0
2021-05-16,2021,BY383,8980,Picoides tridactylus,0,0
2021-06-03,2021,BY456,8980,Picoides tridactylus,0,0
2021-06-08,2021,BY383,8980,Picoides tridactylus,0,0
2021-06-16,2021,BY456,8980,Picoides tridactylus,0,0
2021-06-20,2021,BY383,8980,Picoides tridactylus,0,0
2022-05-15,2022,BY456,8980,Picoides tridactylus,0,0
2022-06-05,2022,BY456,8980,Picoides tridactylus,0,0
2022-06-19,2022,BY456,8980,Picoides tridactylus,0,0
2023-04-28,2023,BY383,8980,Picoides tridactylus,0,0
2023-05-07,2023,BY456,8980,Picoides tridactylus,0,0
2023-05-16,2023,BY383,8980,Picoides tridactylus,0,0
2023-05-29,2023,BY383,8980,Picoides tridactylus,0,0
2023-05-30,2023,BY456,8980,Picoides tridactylus,0,0
2023-06-13,2023,BY383,8980,Picoides tridactylus,0,0
2023-06-25,2023,BY456,8980,Picoides tridactylus,0,0
2023-07-15,2023,BY456,8980,Picoides tridactylus,0,0
2024-05-06,2024,BY456,8980,Picoides tridactylus,0,0
2024-05-10,2024,BY388,8980,Picoides tridactylus,0,0
2024-05-20,2024,BY456,8980,Picoides tridactylus,0,0
2024-06-05,2024,BY388,8980,Picoides tridactylus,0,0
2024-06-20,2024,BY388,8980,Picoides tridactylus,0,0
2024-06-28,2024,BY388,8980,Picoides tridactylus,0,0
