DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-04-28,2020,BY415,8980,Picoides tridactylus,1,2
2020-04-30,2020,BY424,8980,Picoides tridactylus,1,1
2020-05-21,2020,BY456,8980,Picoides tridactylus,0,0
2020-05-27,2020,BY415,8980,Picoides tridactylus,0,0
2020-05-27,2020,BY424,8980,Picoides tridactylus,0,0
2020-05-30,2020,BY456,8980,Picoides tridactylus,0,0
2020-06-03,2020,BY456,8980,Picoides tridactylus,0,0
2020-06-24,2020,BY456,8980,Picoides tridactylus,1,1
2020-06-25,2020,BY424,8980,Picoides tridactylus,0,0
2020-07-09,2020,BY415,8980,Picoides tridactylus,1,2
2020-07-23,2020,BY424,8980,Picoides tridactylus,0,0
2021-03-25,2021,BY355,8980,Picoides tridactylus,3,2
2021-04-23,2021,BY355,8980,Picoides tridactylus,2,2
2021-04-25,2021,BY388,8980,Picoides tridactylus,2,1
2021-05-11,2021,BY388,8980,Picoides tridactylus,0,0
2021-05-11,2021,BY415,8980,Picoides tridactylus,1,1
2021-05-15,2021,BY355,8980,Picoides tridactylus,0,0
2021-06-01,2021,BY388,8980,Picoides tridactylus,1,1
2021-06-02,2021,BY415,8980,Picoides tridactylus,0,0
2021-06-11,2021,BY355,8980,Picoides tridactylus,0,0
2021-06-15,2021,BY388,8980,Picoides tridactylus,0,0
2021-06-26,2021,BY415,8980,Picoides tridactylus,1,1
2021-07-23,2021,BY415,8980,Picoides tridactylus,1,1
2022-03-10,2022,BY355,8980,Picoides tridactylus,1,1
2022-04-11,2022,BY355,8980,Picoides tridactylus,2,1
2022-04-29,2022,BY415,8980,Picoides tridactylus,2,2
2022-05-10,2022,BY383,8980,Picoides tridactylus,1,1
2022-05-11,2022,BY355,8980,Picoides tridactylus,0,0
2022-05-22,2022,BY424,8980,Picoides tridactylus,1,1
2022-05-27,2022,BY383,8980,Picoides tridactylus,0,0
2022-05-31,2022,BY355,8980,Picoides tridactylus,0,0
2022-06-04,2022,BY383,8980,Picoides tridactylus,0,0
2022-06-05,2022,BY383,8980,Picoides tridactylus,0,0
2022-06-13,2022,BY415,8980,Picoides tridactylus,0,0
2022-06-14,2022,BY415,8980,Picoides tridactylus,0,0
2022-06-15,2022,BY383,8980,Picoides tridactylus,1,1
2023-03-23,2023,BY355,8980,Picoides tridactylus,1,2
2023-04-26,2023,BY355,8980,Picoides tridactylus,0,0
2023-04-30,2023,BY424,8980,Picoides tridactylus,0,0
2023-05-05,2023,BY415,8980,Picoides tridactylus,1,2
2023-05-19,2023,BY355,8980,Picoides tridactylus,0,0
2023-05-24,2023,BY415,8980,Picoides tridactylus,1,2
2023-05-29,2023,BY424,8980,Picoides tridactylus,0,0
2023-06-15,2023,BY355,8980,Picoides tridactylus,3,2
2023-06-20,2023,BY415,8980,Picoides tridactylus,1,2
2023-07-08,2023,BY424,8980,Picoides tridactylus,1,1
2023-07-18,2023,BY415,8980,Picoides tridactylus,2,2
2024-04-29,2024,BY424,8980,Picoides tridactylus,1,1
2024-05-10,2024,BY355,8980,Picoides tridactylus,0,0
2024-05-26,2024,BY424,8980,Picoides tridactylus,0,0
2024-06-04,2024,BY355,8980,Picoides tridactylus,0,0
2024-06-13,2024,BY355,8980,Picoides tridactylus,1,1
2024-07-19,2024,BY424,8980,Picoides tridactylus,1,1
