DATE,YEAR,SiteID,EuringId,SpeciesName,Number_of_individuals,Number_of_territories
2020-03-13,2020,BY203,8550,Picus canus,0,0
2020-03-15,2020,BY235,8550,Picus canus,1,2
2020-03-15,2020,BY337,8550,Picus canus,2,1
2020-03-16,2020,BY365,8550,Picus canus,4,2
2020-03-17,2020,BY362,8550,Picus canus,2,3
2020-03-18,2020,BY173,8550,Picus canus,1,1
2020-03-22,2020,BY137,8550,Picus canus,0,0
2020-04-05,2020,BY235,8550,Picus canus,1,2
2020-04-07,2020,BY388,8550,Picus canus,0,0
2020-04-08,2020,BY365,8550,Picus canus,1,2
2020-04-11,2020,BY137,8550,Picus canus,0,0
2020-04-11,2020,BY337,8550,Picus canus,1,1
2020-04-13,2020,BY274,8550,Picus canus,1,1
2020-04-15,2020,BY173,8550,Picus canus,0,0
2020-04-16,2020,BY203,8550,Picus canus,0,0
2020-04-17,2020,BY362,8550,Picus canus,2,3
2020-04-28,2020,BY415,8550,Picus canus,0,0
2020-05-03,2020,BY274,8550,Picus canus,0,0
2020-05-08,2020,BY203,8550,Picus canus,1,1
2020-05-10,2020,BY235,8550,Picus canus,0,0
2020-05-10,2020,BY388,8550,Picus canus,0,0
2020-05-12,2020,BY173,8550,Picus canus,0,0
2020-05-12,2020,BY365,8550,Picus canus,0,0
2020-05-16,2020,BY137,8550,Picus canus,0,0
2020-05-16,2020,BY337,8550,Picus canus,0,0
2020-05-17,2020,BY362,8550,Picus canus,1,3
2020-05-21,2020,BY456,8550,Picus canus,1,2
2020-05-22,2020,BY388,8550,Picus canus,1,1
2020-05-24,2020,BY235,8550,Picus canus,0,0
2020-05-27,2020,BY415,8550,Picus canus,0,0
2020-05-30,2020,BY274,8550,Picus canus,0,0
2020-05-30,2020,BY456,8550,Picus canus,1,2
2020-05-31,2020,BY137,8550,Picus canus,1,1
2020-06-01,2020,BY337,8550,Picus canus,1,1
2020-06-03,2020,BY456,8550,Picus canus,0,0
2020-06-12,2020,BY365,8550,Picus canus,0,0
2020-06-12,2020,BY388,8550,Picus canus,0,0
2020-06-16,2020,BY173,8550,Picus canus,1,1
2020-06-18,2020,BY203,8550,Picus canus,0,0
2020-06-18,2020,BY362,8550,Picus canus,0,0
2020-06-24,2020,BY456,8550,Picus canus,0,0
2020-07-09,2020,BY415,8550,Picus canus,1,1
2021-03-13,2021,BY454,8550,Picus canus,2,2
